Company,companyname,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment
ZEELEARN,Zee Learn Limited,General Updates,Zee Learn Limited has informed the Exchange about General Updates,30-Dec-2025 16:59:03,https://nsearchives.nseindia.com/corporate/corpaffairs_30122025165851_Intimation_for_imposition_of_fine_signed.pdf,0.93,0.06666666666666668,-0.1481909602880478,0.09064652944604551,Neutral
MUKKA,Mukka Proteins Limited,Trading Window,"Mukka Proteins Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",30-Dec-2025 16:59:20,https://nsearchives.nseindia.com/corporate/MUKKA_30122025165821_Closure_of_trading_window_Q3_2025-26.pdf,0.5719,-0.05848214285714286,-0.08238591253757477,0.18931123694607188,Neutral
INFOBEAN,InfoBeans Technologies Limited,Trading Window,"InfoBeans Techno. Ltd. has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",30-Dec-2025 16:58:21,https://nsearchives.nseindia.com/corporate/INFOBEAN_30122025165811_Closure_of_Trading_Window.pdf,-0.5719,-0.06160714285714286,0.14024583995342255,0.4202312492532389,Negative
IZMO,IZMO Limited,Trading Window,"IZMO Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",30-Dec-2025 16:56:41,https://nsearchives.nseindia.com/corporate/IZMO_30122025165613_Closure_of_Trading_Window.pdf,0.8316,0.03968253968253968,-0.05169541388750076,0.09708564680299114,Neutral
TITAN,Titan Company Limited,Resignation,"Titan Company Limited has informed the Exchange regarding Resignation of  Mr. Sandeep Nanduri as Non- Executive Director of the company w.e.f. January 04, 2026.",30-Dec-2025 16:56:21,https://nsearchives.nseindia.com/corporate/TITAN_30122025165608_SEIntimation_30Dec_2025-_Resignation_Sandeep_Nanduri_final.pdf,-0.8381,0.029308390022675743,-0.05919251963496208,0.5184524218005219,Negative
IFCI,IFCI Limited,Updates,"IFCI Limited has informed the Exchange regarding ''Sale of Stake in North Eastern Development Finance Corporation (NEDFi)""",30-Dec-2025 16:56:15,https://nsearchives.nseindia.com/corporate/IFCI_30122025164946_STX_NEDFi.pdf,0.4404,-0.012987012987012986,0.2455701231956482,0.13110308365914727,Neutral
GREAVESCOT,Greaves Cotton Limited,Trading Window,"Greaves Cotton Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",30-Dec-2025 16:55:29,https://nsearchives.nseindia.com/corporate/GREAVESCOT_30122025165517_SE_Intimation_-_Closure_of_Trading_Window.pdf,0.3182,0.03730158730158731,0.09955361485481262,0.18808350472090735,Neutral
GUFICBIO,Gufic Biosciences Limited,Trading Window,"Gufic Biosciences Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",30-Dec-2025 16:55:49,https://nsearchives.nseindia.com/corporate/GUFIC_30122025165446_Tradingwindointimationfinal.pdf,0.4939,0.025793650793650792,0.03653281554579735,0.16221872507728755,Neutral
MASTEK,Mastek Limited,Allotment of Securities,"Mastek Limited has informed the Exchange regarding Allotment of 3,013 equity securities pursuant to ESOP/ESPS.",30-Dec-2025 16:54:29,https://nsearchives.nseindia.com/corporate/MASTEK12_30122025165256_SRCOutcomeLot_144__part_2__sd.pdf,0.9957,-0.05102040816326531,-0.04652630165219307,0.07290847551570256,Neutral
CUBEXTUB,Cubex Tubings Limited,Price movement,"Significant movement in price has been observed in Cubex Tubings Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so that the interest of the investors is safeguarded, has written to the company. The response from the company is awaited.",30-Dec-2025 16:52:39,-,0.8,0.3008928571428572,0.12604030966758728,0.008121379230703551,Neutral
