"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"VALUEIND","Value Industries Limited","Corporate Insolvency Resolution Process","Value Industries Limited has informed the Exchange about Corporate Insolvency Resolution Process","11-Sep-2025 14:37:46","2025-09-11 14:37:46","11-Sep-2025 14:37:47","00:00:01","https://nsearchives.nseindia.com/corporate/VALUEIND_11092025143726_VAL_53rd_CoC_intimation_12_Sept_Revised.pdf"
"ERIS","Eris Lifesciences Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Eris Lifesciences Limited has informed the Exchange about Schedule of meet","11-Sep-2025 14:36:39","2025-09-11 14:36:39","11-Sep-2025 14:36:40","00:00:01","https://nsearchives.nseindia.com/corporate/ERIS_11092025140512_Intimationsigned.pdf"
"PHOENIXLTD","The Phoenix Mills Limited","Analysts/Institutional Investor Meet/Con. Call Updates","The Phoenix Mills Limited has informed the Exchange about Schedule of meet","11-Sep-2025 14:32:27","2025-09-11 14:32:27","11-Sep-2025 14:32:29","00:00:02","https://nsearchives.nseindia.com/corporate/PHOENIXLTD5_11092025143218_PML_AnalystInvestorMeet_17092025_sd.pdf"
"PHOENIXLTD","The Phoenix Mills Limited","General Updates","Intimation regarding 100 days campaign-  Saksham Niveshak","11-Sep-2025 14:27:33","2025-09-11 14:27:33","11-Sep-2025 14:27:34","00:00:01","https://nsearchives.nseindia.com/corporate/PHOENIXLTD5_11092025142713_PML_Intimation_Sakshamniveshak_sd.pdf"
"FLUOROCHEM","Gujarat Fluorochemicals Limited","General Updates","Gujarat Fluorochemicals Limited has informed the Exchange about General Updates","11-Sep-2025 14:21:34","2025-09-11 14:21:34","11-Sep-2025 14:21:36","00:00:02","https://nsearchives.nseindia.com/corporate/FLUOROCHEM_11092025142124_General.pdf"
"JWL","Jupiter Wagons Limited","Press Release","Jupiter Wagons Limited has informed the Exchange regarding a press release dated September 11, 2025, titled ""Jupiter Tatravagonka Railwheel Factory, a subsidiary of Jupiter Wagons Ltd., Bags INR 113 Crore Order from the Ministry of Railways"".","11-Sep-2025 14:10:36","2025-09-11 14:10:36","11-Sep-2025 14:10:37","00:00:01","https://nsearchives.nseindia.com/corporate/CEBBCO_11092025141022_SEPRESSRELEASE11092025.pdf"
"RAMCOSYS","Ramco Systems Limited","Action(s) initiated or orders passed","Ramco Systems Limited has informed the Exchange about Action(s) initiated or orders passed","11-Sep-2025 14:10:32","2025-09-11 14:10:32","11-Sep-2025 14:10:33","00:00:01","https://nsearchives.nseindia.com/corporate/RAMCOSYS_11092025134913_11092025IntimationofActionsInitiated.pdf"
"NILASPACES","Nila Spaces Limited","Copy of Newspaper Publication","Nila Spaces Limited has informed the Exchange about Copy of Newspaper Publication","11-Sep-2025 14:00:37","2025-09-11 14:00:37","11-Sep-2025 14:00:38","00:00:01","https://nsearchives.nseindia.com/corporate/NILASPACES_11092025140028_Image123_075.pdf"
"BALAJITELE","Balaji Telefilms Limited","Copy of Newspaper Publication","Balaji Telefilms Limited has informed the Exchange about Copy of Newspaper Publication regarding the 100 Days Campaign-  Saksham Niveshak","11-Sep-2025 13:56:14","2025-09-11 13:56:14","11-Sep-2025 13:56:15","00:00:01","https://nsearchives.nseindia.com/corporate/BALAJITELE_11092025135550_covlet.pdf"
"VERANDA","Veranda Learning Solutions Limited","Press Release","Veranda Learning Solutions Limited has informed the Exchange regarding a press release dated September 11, 2025.","11-Sep-2025 13:50:17","2025-09-11 13:50:17","11-Sep-2025 13:50:18","00:00:01","https://nsearchives.nseindia.com/corporate/Verandaipo_11092025134908_REG30PRESS11092025.pdf"
"KSB","Ksb Limited","Investor Presentation","Ksb Limited has informed the Exchange about Investor Presentation","11-Sep-2025 13:37:33","2025-09-11 13:37:33","11-Sep-2025 13:37:34","00:00:01","https://nsearchives.nseindia.com/corporate/KSB_11092025133705_KSBInvestorPresentationGermanySigned.pdf"
"PNB","Punjab National Bank","General Updates","Punjab National Bank has informed the Exchange about Certificate of Compliance with Cybersecurity and Cyber Resilience Framework for SEBI Regulated Entities","11-Sep-2025 13:36:25","2025-09-11 13:36:25","11-Sep-2025 13:36:26","00:00:01","https://nsearchives.nseindia.com/corporate/pnb2_11092025133030_intimation_cyber_resilience_11092025_DS.pdf"
"PNBGILTS","PNB Gilts Limited","Appointment","PNB GILTS LTD. has informed the Exchange regarding Appointment of  M/s RAJ HAR GOPAL&CO, M/s K VENKATACHALAM AIYER&CO as Other of the company w.e.f. September 10, 2025.","11-Sep-2025 13:35:25","2025-09-11 13:35:25","11-Sep-2025 13:35:25","00:00:00","https://nsearchives.nseindia.com/corporate/PNBGILTSSB_11092025133506_STX.pdf"
"TICL","Twamev Construction and Infrastructure Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Twamev Construction and Infrastructure Limited has informed the Exchange about Intimation of Schedule of Analyst / Institutional Investor Meet with EverFlow Partners.","11-Sep-2025 13:33:56","2025-09-11 13:33:56","11-Sep-2025 13:33:57","00:00:01","https://nsearchives.nseindia.com/corporate/TCLCONS_11092025133251_IntimationOfInstitutionalInvestorsMeet16092025.pdf"
"NILAINFRA","Nila Infrastructures Limited","Copy of Newspaper Publication","Nila Infrastructures Limited has informed the Exchange about Copy of Newspaper Publication","11-Sep-2025 13:33:42","2025-09-11 13:33:42","11-Sep-2025 13:33:44","00:00:02","https://nsearchives.nseindia.com/corporate/NILAINFRA_11092025133328_Image123_074.pdf"
"EXCEL","Excel Realty N Infra Limited","Shareholders meeting","Excel Realty N Infra Limited has informed the Exchange regarding Proceedings of Extraordinary General Meeting held on September 11, 2025","11-Sep-2025 13:25:12","2025-09-11 13:25:12","11-Sep-2025 13:25:12","00:00:00","https://nsearchives.nseindia.com/corporate/EXCEL_11092025132457_Proceedings_EGM.pdf"
"NPST","Network People Services Technologies Limited","Record Date","Network People Services Technologies Limited has informed the Exchange that Record date for the purpose of Dividend  is 12-Sep-2025.","11-Sep-2025 13:21:59","2025-09-11 13:21:59","11-Sep-2025 13:22:00","00:00:01","https://nsearchives.nseindia.com/corporate/NPST_11092025132047_SE_intimation_11092025_Record_date_and_book_closure_signed.pdf"
"LLOYDSENGG","LLOYDS ENGINEERING WORKS LIMITED","Credit Rating- New","LLOYDS ENGINEERING WORKS LIMITED has informed the Exchange about Credit Rating assigned by India Ratings and Research Private Limited","11-Sep-2025 13:21:42","2025-09-11 13:21:42","11-Sep-2025 13:21:43","00:00:01","https://nsearchives.nseindia.com/corporate/LSIL_11092025132133_InitmationofIndiaRatingssigned.pdf"
"AGARWALEYE","Dr. Agarwal's Health Care Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Dr. Agarwal's Health Care Limited has informed the Exchange about Schedule of meet","11-Sep-2025 13:15:01","2025-09-11 13:15:01","11-Sep-2025 13:15:02","00:00:01","https://nsearchives.nseindia.com/corporate/DRAGARWALS_11092025131452_C37_Analyst_Meet_Intimation.pdf"
"CYBERMEDIA","Cyber Media (India) Limited","Copy of Newspaper Publication","Cyber Media (India) Limited has informed the Exchange about Copy of Post Issue Newspaper Publication.","11-Sep-2025 13:14:10","2025-09-11 13:14:10","11-Sep-2025 13:14:11","00:00:01","https://nsearchives.nseindia.com/corporate/CYBERMEDIA_11092025131354_psotissueadvertisement.pdf"
"SDBL","Som Distilleries & Breweries Limited","Updates","Som Distilleries & Breweries Limited has informed the Exchange regarding 'INTIMATION FOR BOOK CLOSURE AND RECORD DATE FOR THE PURPOSE OF 32ND ANNUAL GENERAL MEETING OF THE COMPANY TO BE HELD ON THE 29TH DAY OF SEPTEMBER, 2025. From Tuesday, September 23, 2025 to Monday, September 29, 2025 (both days inclusive)'.","11-Sep-2025 13:13:58","2025-09-11 13:13:58","11-Sep-2025 13:13:58","00:00:00","https://nsearchives.nseindia.com/corporate/SDBL_11092025131345_bookclosure110925sd.pdf"
"SABTNL","Sri Adhikari Brothers Television Network Limited","Reply to Clarification- Financial results","The Exchange had sought clarification from Sri Adhikari Brothers Television Network Limited for the quarter ended 31-Mar-2024 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company was required to clarify the following:   -1. Financial results submitted is not as per format prescribed by SEBI The response of the Company is enclosed.","11-Sep-2025 13:10:15","2025-09-11 13:10:15","11-Sep-2025 13:10:15","00:00:00","https://nsearchives.nseindia.com/corporate/SABTNL_04072024213824_Financials_merged.pdf"
"TECHIN","Techindia Nirman Limited","Reply to Clarification- Financial results","The Exchange had sought clarification from Techindia Nirman Limited for the quarter ended 31-Mar-2024 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company was required to clarify the following:   -1. Financial results not signed by authorized signatory/ies The response of the Company is enclosed.","11-Sep-2025 13:07:41","2025-09-11 13:07:41","11-Sep-2025 13:07:42","00:00:01","https://nsearchives.nseindia.com/corporate/TECHIN_22052025170313_TNL_FR_CR_310324_SIGN.pdf"
"WESTLIFE","WESTLIFE FOODWORLD LIMITED","Shareholders meeting","Revised Gist of proceeding of the 42nd Annual General Meeting held on 10th September 2025.","11-Sep-2025 13:07:16","2025-09-11 13:07:16","11-Sep-2025 13:07:16","00:00:00","https://nsearchives.nseindia.com/corporate/RadhaWestlife_11092025130311_WFL_-_revised_Gist_of_Proceedings_AGM_2025.pdf"
"PROSTARM","Prostarm Info Systems Limited","General Updates","Prostarm Info Systems Limited has informed the Exchange about General Updates","11-Sep-2025 13:06:28","2025-09-11 13:06:28","11-Sep-2025 13:06:29","00:00:01","https://nsearchives.nseindia.com/corporate/PROSTARM_11092025130619_SE_CCTNS.pdf"
"VERANDA","Veranda Learning Solutions Limited","Outcome of Board Meeting","Veranda Learning Solutions Limited has informed the Exchange regarding Outcome of Board Meeting held on September 11, 2025.","11-Sep-2025 13:04:34","2025-09-11 13:04:34","11-Sep-2025 13:04:35","00:00:01","https://nsearchives.nseindia.com/corporate/Verandaipo_11092025130413_Outcome11092025.pdf"
"SANDUMA","Sandur Manganese & Iron Ores Limited","Shareholders meeting","Sandur Manganese & Iron Ores Limited has informed the Exchange regarding Proceedings of Postal Ballot","11-Sep-2025 13:04:09","2025-09-11 13:04:09","11-Sep-2025 13:04:09","00:00:00","https://nsearchives.nseindia.com/corporate/SANDUR_11092025130337_Ltr2SEsProceedings.pdf"
"PRABHA","Prabha Energy Limited","Resignation of Independent director","PRABHA ENERGY LIMITED has informed the Exchange about Resignation of Independent director.","11-Sep-2025 13:04:03","2025-09-11 13:04:03","11-Sep-2025 13:04:05","00:00:02","https://nsearchives.nseindia.com/corporate/PRABHA_ROID_66139_KMP_Doc.zip"
"SAMBHAAV","Sambhaav Media Limited","Copy of Newspaper Publication","Sambhaav Media Limited has informed the Exchange about Copy of Newspaper Publication","11-Sep-2025 13:02:59","2025-09-11 13:02:59","11-Sep-2025 13:03:00","00:00:01","https://nsearchives.nseindia.com/corporate/SAMBHAAV_11092025130238_Intimation_.pdf"
"INDOCO","Indoco Remedies Limited","Shareholders meeting","Indoco Remedies Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 11, 2025","11-Sep-2025 13:02:52","2025-09-11 13:02:52","11-Sep-2025 13:02:52","00:00:00","https://nsearchives.nseindia.com/corporate/INDOCO_11092025130202_IntimationAGMProceedings110925.pdf"
"NTPC","NTPC Limited","Copy of Newspaper Publication","NTPC Limited has informed the Exchange about copy of Newspaper Publication pursuant to SEBI Circular No. SEBI/HO/MIRSD/MIRSD-PoD/P/CIR/2025/197 dated 2nd July 2025","11-Sep-2025 12:59:55","2025-09-11 12:59:55","11-Sep-2025 12:59:55","00:00:00","https://nsearchives.nseindia.com/corporate/NTPC2_11092025125909_NTPC_SE_NP_11092025.pdf"
"JLHL","Jupiter Life Line Hospitals Limited","Scheme of Arrangement","Order passed by Hon ble National Company Law Tribunal, Mumbai Bench ( NCLT ), in relation to the Scheme of Amalgamation","11-Sep-2025 12:58:39","2025-09-11 12:58:39","11-Sep-2025 12:58:40","00:00:01","https://nsearchives.nseindia.com/corporate/JUPITER2023_11092025125825_Reg_30_NCLT_Order__1_.pdf"
"DPSCLTD","DPSC Limited","Reply to Clarification- Financial results","The Exchange had sought clarification from DPSC Limited for the quarter ended 30-Jun-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company was required to clarify the following:   -1. Financial results submitted in XBRL with discrepancies The response of the Company is enclosed.","11-Sep-2025 12:44:59","2025-09-11 12:44:59","11-Sep-2025 12:45:00","00:00:01","https://nsearchives.nseindia.com/corporate/DPSCLTD_05092025124311_ReplytoNSEClarification.pdf"
"EVEREADY","Eveready Industries India Limited","Copy of Newspaper Publication","Eveready Industries India Limited has informed the Exchange about Copy of Newspaper Publication","11-Sep-2025 12:44:31","2025-09-11 12:44:31","11-Sep-2025 12:44:33","00:00:02","https://nsearchives.nseindia.com/corporate/EVEREADY_11092025124420_SEIntimation-Intimation_of_Newspaper_Publication.pdf"
"EICHERMOT","Eicher Motors Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Eicher Motors Limited has informed the Exchange about Schedule of meet","11-Sep-2025 12:43:44","2025-09-11 12:43:44","11-Sep-2025 12:43:45","00:00:01","https://nsearchives.nseindia.com/corporate/EICHERMOT_11092025124331_EMLInvestorsCallIntimation11092025Signed.pdf"
"XPROINDIA","Xpro India Limited","Reply to Clarification- Financial results","The Exchange had sought clarification from Xpro India Limited for the quarter ended 30-Jun-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company was required to clarify the following:   -1. Financial results submitted is not as per format prescribed by SEBI The response of the Company is enclosed.","11-Sep-2025 12:43:25","2025-09-11 12:43:25","11-Sep-2025 12:43:26","00:00:01","https://nsearchives.nseindia.com/corporate/XPROINDIA_09092025131710_Clarification_09092025.pdf"
"SANDUMA","Sandur Manganese & Iron Ores Limited","Shareholders meeting","Sandur Manganese & Iron Ores Limited has submitted the Exchange a copy of Voting Results and Srutinizer's report of Postal Ballot","11-Sep-2025 12:43:18","2025-09-11 12:43:18","11-Sep-2025 12:43:18","00:00:00","https://nsearchives.nseindia.com/corporate/SANDUR_11092025124159_Ltr2SEsScrutinizerReportSigned.pdf"
"IMPAL","India Motor Parts and Accessories Limited","Change in Company Secretary/Compliance Officer","India Motor Parts and Accessories Limited has informed the Exchange about Change in Company Secretary & Compliance Officer","11-Sep-2025 12:42:44","2025-09-11 12:42:44","11-Sep-2025 12:42:45","00:00:01","https://nsearchives.nseindia.com/corporate/IMPAL_11092025124135_IMPALNSEDISCREG3011092025SD.pdf"
"PRABHA","Prabha Energy Limited","Change in Management","Prabha Energy Limited has informed the Exchange about change in Management","11-Sep-2025 12:41:44","2025-09-11 12:41:44","11-Sep-2025 12:41:46","00:00:02","https://nsearchives.nseindia.com/corporate/PRABHAENR_11092025124130_Intimation.pdf"
"SKMEGGPROD","SKM Egg Products Export (India) Limited","Reply to Clarification- Financial results","The Exchange had sought clarification from SKM Egg Products Export (India) Limited for the quarter ended 30-Jun-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company was required to clarify the following:   -1. Segment details not submitted The response of the Company is enclosed.","11-Sep-2025 12:41:20","2025-09-11 12:41:20","11-Sep-2025 12:41:21","00:00:01","https://nsearchives.nseindia.com/corporate/SKMEGGPROD_10092025095316_SKMEGGNSERTQ10092025FFF.pdf"
"DIXON","Dixon Technologies (India) Limited","Reply to Clarification- Financial results","The Exchange had sought clarification from Dixon Technologies (India) Limited for the quarter ended 30-Jun-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company was required to clarify the following:   -1. Segment details not submitted -2. Financial results submitted in XBRL with discrepancies The response of the Company is enclosed.","11-Sep-2025 12:40:29","2025-09-11 12:40:29","11-Sep-2025 12:40:30","00:00:01","https://nsearchives.nseindia.com/corporate/DIXON_09092025165640_Clarification.pdf"
"HINDZINC","Hindustan Zinc Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Hindustan Zinc Limited has informed the Exchange about Schedule of meet","11-Sep-2025 12:40:19","2025-09-11 12:40:19","11-Sep-2025 12:40:20","00:00:01","https://nsearchives.nseindia.com/corporate/HINDZINCNSE_11092025124007_SEESGIntimation.pdf"
"PRABHA","Prabha Energy Limited","Change in Director(s)","Prabha Energy Limited has informed the Exchange regarding Change in Director(s) of the company.","11-Sep-2025 12:40:14","2025-09-11 12:40:14","11-Sep-2025 12:40:15","00:00:01","https://nsearchives.nseindia.com/corporate/PRABHAENR_11092025124001_Intimation.pdf"
"VINATIORGA","Vinati Organics Limited","General Updates","Vinati Organics Limited has informed the Exchange about General Updates","11-Sep-2025 12:38:52","2025-09-11 12:38:52","11-Sep-2025 12:38:53","00:00:01","https://nsearchives.nseindia.com/corporate/VINATIORGA_11092025123804_524200_Reg_30_Restructuring_11092025.pdf"
"HINDALCO","Hindalco Industries Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Hindalco Industries Limited has informed the Exchange about Schedule of meet","11-Sep-2025 12:38:34","2025-09-11 12:38:34","11-Sep-2025 12:38:35","00:00:01","https://nsearchives.nseindia.com/corporate/HINDALCOIND_11092025122557_Investor_Meet_Intimation_Jefferies_1Sep2025_signed.pdf"
"PRABHA","Prabha Energy Limited","Cessation","Prabha Energy Limited has informed the Exchange regarding Cessation of Mr Navin Chandra Pandey as Non- Executive Independent Director of the company w.e.f. September 12, 2025.","11-Sep-2025 12:38:22","2025-09-11 12:38:22","11-Sep-2025 12:38:23","00:00:01","https://nsearchives.nseindia.com/corporate/PRABHAENR_11092025123809_Intimation.pdf"
"DGCONTENT","Digicontent Limited","Reply to Clarification- Financial results","The Exchange had sought clarification from Digicontent Limited for the quarter ended 30-Jun-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company was required to clarify the following:   -1. Financial results not signed by authorized signatory/ies The response of the Company is enclosed.","11-Sep-2025 12:38:19","2025-09-11 12:38:19","11-Sep-2025 12:38:20","00:00:01","https://nsearchives.nseindia.com/corporate/DGCONTENT_09092025162149_DCL_Clarification_letter_-_09th_Sep_2025.pdf"
"CUPID","Cupid Limited","General Updates","Cupid Limited has informed the Exchange about General Updates on IEPF Notice sent to Shareholders.","11-Sep-2025 12:36:24","2025-09-11 12:36:24","11-Sep-2025 12:36:25","00:00:01","https://nsearchives.nseindia.com/corporate/CUPID_11092025123611_Intimation_IEPF_Notice_to_Shareholders.pdf"
"BAJAJHIND","Bajaj Hindusthan Sugar Limited","Shareholders meeting","Bajaj Hindusthan Sugar Limited has informed the Exchange about Gist of the proceedings of the 93rd Annual General Meeting of Bajaj Hindusthan Sugar Limited held on September 11, 2025","11-Sep-2025 12:36:06","2025-09-11 12:36:06","11-Sep-2025 12:36:07","00:00:01","https://nsearchives.nseindia.com/corporate/BAJAJNEAPS1_11092025123504_93rd_AGM_Proceedings_to_Stock_Exchanges.pdf"
"HINDWAREAP","Hindware Home Innovation Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Hindware Home Innovation Limited has informed the Exchange about Schedule of meet","11-Sep-2025 12:32:58","2025-09-11 12:32:58","11-Sep-2025 12:32:59","00:00:01","https://nsearchives.nseindia.com/corporate/SHIL_11092025123204_Intimation_regarding_investor_meet.pdf"
"PAISALO","Paisalo Digital Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Paisalo Digital Limited has informed the Exchange about Schedule of meet","11-Sep-2025 12:30:33","2025-09-11 12:30:33","11-Sep-2025 12:30:34","00:00:01","https://nsearchives.nseindia.com/corporate/PAISALO_11092025122958_BSE_NSE_Intimation_11092025.pdf"
"NLCINDIA","NLC India Limited","Change in Auditors","NLC India Limited has informed the Exchange regarding Change in Auditors of the company.","11-Sep-2025 12:27:12","2025-09-11 12:27:12","11-Sep-2025 12:27:13","00:00:01","https://nsearchives.nseindia.com/corporate/NLCINDIA_11092025122654_SEIntimationAppointmentofStatutoryAuditor11092025SIGNED.pdf"
"ESSARSHPNG","Essar Shipping Limited","Reply to Clarification- Financial results","The Exchange had sought clarification from Essar Shipping Limited for the quarter ended 30-Jun-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company was required to clarify the following:   -1. Financial results not signed by authorized signatory/ies The response of the Company is enclosed.","11-Sep-2025 12:26:54","2025-09-11 12:26:54","11-Sep-2025 12:26:55","00:00:01","https://nsearchives.nseindia.com/corporate/ESSARSHPNG_10092025204943_ESL_NSE_Response_to_Query_100925.pdf"
"BGRENERGY","BGR Energy Systems Limited","Reply to Clarification- Financial results","The Exchange had sought clarification from BGR Energy Systems Limited for the quarter ended 30-Jun-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company was required to clarify the following:   -1. Consolidated limited review report not submitted The response of the Company is enclosed.","11-Sep-2025 12:25:26","2025-09-11 12:25:26","11-Sep-2025 12:25:27","00:00:01","https://nsearchives.nseindia.com/corporate/BGRENERGYSYS_10092025171749_BGR__OUTCOME_v1_1009_sd.pdf"
"KPIGREEN","KPI Green Energy Limited","Allotment of Securities","KPI Green Energy Limited has informed the Exchange about Allotment of secured, listed, rated, senior, redeemable, transferable, non-convertible certified green bonds aggregating INR 670,00,00,000 (Indian Rupees Six Hundred and Seventy Crores only) ( Debentures ), in dematerialised form, on a private placement basis to identified investors. Disclosure is attached herewith.","11-Sep-2025 12:25:07","2025-09-11 12:25:07","11-Sep-2025 12:25:08","00:00:01","https://nsearchives.nseindia.com/corporate/KPIGLOBAL_11092025122449_KPI_Reg30_Allotment_of_NCD_11092025_Signed.pdf"
"MUFIN","Mufin Green Finance Limited","Allotment of Securities","Mufin Green Finance Limited has informed the Exchange regarding allotment of 5000 securities pursuant to Private Placement at its meeting held on September 11, 2025","11-Sep-2025 12:25:05","2025-09-11 12:25:05","11-Sep-2025 12:25:06","00:00:01","https://nsearchives.nseindia.com/corporate/MUFIN_11092025122458_Intimation_Allotmemt.pdf"
"KREBSBIO","Krebs Biochemicals and Industries Limited","Updates","The Company has enclosed herewith RTA Report on re-lodgement of transfer of physical shares upto 31.08.2025.","11-Sep-2025 12:24:44","2025-09-11 12:24:44","11-Sep-2025 12:24:45","00:00:01","https://nsearchives.nseindia.com/corporate/KREBSBIO_11092025122313_Intimation_Re-lodgement_of_transfer_requests_of_physical_sharessigned.pdf"
"ANSALAPI","Ansal Properties & Infrastructure Limited","General Updates","The Company informed the Stock exchange about the intimation of the ( bi-monthly) Newspaper advertisement dated the 10th September, 2025 for opening of Special Window for Re-lodgment of Transfer Requests of Physical Shares, in compliance with SEBI Circular dated the 02nd July, 2025.","11-Sep-2025 12:23:56","2025-09-11 12:23:56","11-Sep-2025 12:23:58","00:00:02","https://nsearchives.nseindia.com/corporate/ANSALAPI_11092025122346_Intimation_Newspaper_Advertisement_11092025.pdf"
"RAYMONDREL","Raymond Realty Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Raymond Realty Limited has informed the Exchange about Schedule of meet","11-Sep-2025 12:23:26","2025-09-11 12:23:26","11-Sep-2025 12:23:27","00:00:01","https://nsearchives.nseindia.com/corporate/RRL_11092025122254_SE_Analyst_Meet.pdf"
"BHEL","Bharat Heavy Electricals Limited","General Updates","Bharat Heavy Electricals Limited has informed the Exchange about General Updates","11-Sep-2025 12:22:32","2025-09-11 12:22:32","11-Sep-2025 12:22:33","00:00:01","https://nsearchives.nseindia.com/corporate/BHELCC_11092025121851_InformationAuditors.pdf"
"RAYMOND","Raymond Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Raymond Limited has informed the Exchange about Schedule of meet","11-Sep-2025 12:21:35","2025-09-11 12:21:35","11-Sep-2025 12:21:36","00:00:01","https://nsearchives.nseindia.com/corporate/RAYMOND_11092025121753_RLSeintimationsigned.pdf"
