"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"KSL","Kalyani Steels Limited","General Updates","Announcement U/R 30 of SEBI LODR - Update regarding Subsidiary","11-Sep-2025 14:55:20","2025-09-11 14:55:20","11-Sep-2025 14:55:21","00:00:01","https://nsearchives.nseindia.com/corporate/KSL_11092025145459_DGM_Subsidiary_11_Sept_2025_Third_FCD_Conversion_.pdf"
"STERTOOLS","Sterling Tools Limited","Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company","Sterling Tools Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company","11-Sep-2025 14:54:30","2025-09-11 14:54:30","11-Sep-2025 14:54:31","00:00:01","https://nsearchives.nseindia.com/corporate/STERTOOLS_11092025145328_STLIntimationshowcausesign.pdf"
"BANKINDIA","Bank of India","Analysts/Institutional Investor Meet/Con. Call Updates","Bank Of India has informed the Exchange about Analyst/Investor meet on 11.09.2025","11-Sep-2025 14:51:14","2025-09-11 14:51:14","11-Sep-2025 14:51:16","00:00:02","https://nsearchives.nseindia.com/corporate/BANKINDIA2_11092025145049_Millenium.pdf"
"ANUHPHR","Anuh Pharma Limited","Copy of Newspaper Publication","Anuh Pharma Limited has informed the Exchange about Copy of Newspaper Publication for 100 days Campaign - ""Saksham Niveshak.""","11-Sep-2025 14:49:34","2025-09-11 14:49:34","11-Sep-2025 14:49:35","00:00:01","https://nsearchives.nseindia.com/corporate/ANUHNSE_11092025144917_Covering_Newspaper_publication_for_100_days.pdf"
"WESTLIFE","WESTLIFE FOODWORLD LIMITED","Shareholders meeting","WESTLIFE FOODWORLD LIMITED has submitted the Exchange a copy Srutinizers report of 42nd Annual General Meeting held on September 10, 2025. Further, the company has informed the Exchange regarding voting results.","11-Sep-2025 14:47:25","2025-09-11 14:47:25","11-Sep-2025 14:47:25","00:00:00","https://nsearchives.nseindia.com/corporate/RadhaWestlife_11092025144444_Combined_voting_Result_of_42_AGM.pdf"
"ENGINERSIN","Engineers India Limited","Copy of Newspaper Publication","Engineers India Limited has informed the Exchange about Copy of Newspaper Publication","11-Sep-2025 14:47:15","2025-09-11 14:47:15","11-Sep-2025 14:47:15","00:00:00","https://nsearchives.nseindia.com/corporate/ENGINERSIN_11092025144606_newspaperadvt110925.pdf"
"MARSHALL","Marshall Machines Limited","Corporate Insolvency Resolution Process","Marshall Machines Limited has informed the Exchange about Corporate Insolvency Resolution Process","11-Sep-2025 14:46:36","2025-09-11 14:46:36","11-Sep-2025 14:46:37","00:00:01","https://nsearchives.nseindia.com/corporate/MARSHALL_11092025143953_Certified_copy_of_CIRP_order_Marshall.pdf"
"MANINFRA","Man Infraconstruction Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Man Infraconstruction Limited has informed the Exchange about Intimation of Analysts/ Institutional Investors Meeting","11-Sep-2025 14:43:35","2025-09-11 14:43:35","11-Sep-2025 14:43:36","00:00:01","https://nsearchives.nseindia.com/corporate/vishaladhav_11092025144324_MICL.pdf"
"SENCO","Senco Gold Limited","Updates","Intimation under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( SEBI Listing Regulations )","11-Sep-2025 14:42:17","2025-09-11 14:42:17","11-Sep-2025 14:42:18","00:00:01","https://nsearchives.nseindia.com/corporate/Sencogold_11092025144105_SE_Intimation.pdf"
"NILKAMAL","Nilkamal Limited","Copy of Newspaper Publication","Nilkamal Limited has informed the Exchange about Copy of Newspaper Publication regarding potential transfer of Equity Shares to Investor Education and Protection Fund (IEPF) Account","11-Sep-2025 14:40:04","2025-09-11 14:40:04","11-Sep-2025 14:40:05","00:00:01","https://nsearchives.nseindia.com/corporate/NILKAMAL_11092025143942_SE_Letter_11092025.pdf"
