"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"M&MFIN","Mahindra & Mahindra Financial Services Limited","Updates","Mahindra & Mahindra Financial Services Limited has informed the Exchange regarding 'Business Update for Q1 FY26.'.","02-Jul-2025 21:24:01","2025-07-02 21:24:01","02-Jul-2025 21:24:02","00:00:01","https://nsearchives.nseindia.com/corporate/M_MFIN_02072025212318_Q4businessupdatesigned.pdf","358 KB"
"KOTAKBANK","Kotak Mahindra Bank Limited","General Updates","Kotak Mahindra Bank Limited has informed the Exchange about General Updates","02-Jul-2025 21:20:55","2025-07-02 21:20:55","02-Jul-2025 21:20:56","00:00:01","https://nsearchives.nseindia.com/corporate/KMBLTAB_02072025212003_SEIntimationlettertoshareholdersforKYC.pdf","3.54 MB"
"DENTA","Denta Water and Infra Solutions Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","DENTA WATER AND INFRA SOLUTIONS LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","02-Jul-2025 21:16:23","2025-07-02 21:16:23","02-Jul-2025 21:16:24","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CIM_58937_1476665_02072025091622_WEB.xml","3 KB"
"CHEMBOND","Chembond Material Technologies Limited","Credit Rating- Revision","Chembond Material Technologies Limited has informed the Exchange about Credit Rating- Revision","02-Jul-2025 21:14:30","2025-07-02 21:14:30","02-Jul-2025 21:14:32","00:00:02","https://nsearchives.nseindia.com/corporate/CHEMBOND_02072025210051_RevisedCreditRatingIntimationSigned.pdf","2.51 MB"
"MAPMYINDIA","C.E. Info Systems Limited","Notice Of Shareholders Meetings-XBRL","C.E. Info Systems Limited has informed the Exchange about Notice of Shareholders Meeting for Annual General Meeting to be held on 25-Jul-2025","02-Jul-2025 21:14:24","2025-07-02 21:14:24","02-Jul-2025 21:14:24","00:00:00","https://nsearchives.nseindia.com/corporate/xbrl/NOTICE_OF_SHAREHOLDERS_MEETINGS_1476662_02072025091423_WEB.xml","24 KB"
"TATAPOWER","Tata Power Company Limited","Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company","Tata Power Company Limited has informed the Exchange about Update on Litigation","02-Jul-2025 21:09:17","2025-07-02 21:09:17","02-Jul-2025 21:09:18","00:00:01","https://nsearchives.nseindia.com/corporate/VPTPCL_02072025210823_Reg30.pdf","232 KB"
"BAJAJFINSV","Bajaj Finserv Limited","Notice Of Shareholders Meetings-XBRL","BAJAJ FINSERV LIMITED has informed the Exchange about Notice of Shareholders Meeting for Annual General Meeting to be held on 25-Jul-2025","02-Jul-2025 21:09:14","2025-07-02 21:09:14","02-Jul-2025 21:09:16","00:00:02","https://nsearchives.nseindia.com/corporate/xbrl/NOTICE_OF_SHAREHOLDERS_MEETINGS_1476661_02072025090914_WEB.xml","12 KB"
"BAJAJFINSV","Bajaj Finserv Limited","Updates","Bajaj Finserv Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Report ( BRSR ) for the financial year ended 31 March 2025'.","02-Jul-2025 21:06:58","2025-07-02 21:06:58","02-Jul-2025 21:06:59","00:00:01","https://nsearchives.nseindia.com/corporate/walimbelk_02072025210631_BRSRIntimationSD.pdf","3.63 MB"
"WELCORP","Welspun Corp Limited","Credit Rating- Revision","Welspun Corp Limited has informed the Exchange about Credit Rating- Revision","02-Jul-2025 21:03:20","2025-07-02 21:03:20","02-Jul-2025 21:03:21","00:00:01","https://nsearchives.nseindia.com/corporate/WELCORP_02072025210304_SEcrisil.pdf","692 KB"
"EMUDHRA","eMudhra Limited","Analysts/Institutional Investor Meet/Con. Call Updates","eMudhra Limited has informed the Exchange about Link of Recording","02-Jul-2025 20:52:13","2025-07-02 20:52:13","02-Jul-2025 20:52:14","00:00:01","https://nsearchives.nseindia.com/corporate/EMUDHRA2008_02072025205109_Audio_02072025.pdf","2.68 MB"
"CGPOWER","CG Power and Industrial Solutions Limited","Notice Of Shareholders Meetings-XBRL","CG POWER AND INDUSTRIAL SOLUTIONS LIMITED has informed the Exchange about Notice of Shareholders Meeting for Annual General Meeting to be held on 24-Jul-2025","02-Jul-2025 20:51:03","2025-07-02 20:51:03","02-Jul-2025 20:51:03","00:00:00","https://nsearchives.nseindia.com/corporate/xbrl/NOTICE_OF_SHAREHOLDERS_MEETINGS_1476660_02072025085102_WEB.xml","20 KB"
"SOBHA","Sobha Limited","Record Date","Sobha Limited has informed the Exchange that Record date for the purpose of Dividend  is 11-Jul-2025.","02-Jul-2025 20:50:46","2025-07-02 20:50:46","02-Jul-2025 20:50:48","00:00:02","https://nsearchives.nseindia.com/corporate/SOBHA_02072025204850_Intimation_of_Record_date.pdf","533 KB"
"CGPOWER","CG Power and Industrial Solutions Limited","Shareholders meeting","CG Power and Industrial Solutions Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 24, 2025","02-Jul-2025 20:48:50","2025-07-02 20:48:50","02-Jul-2025 20:48:50","00:00:00","https://nsearchives.nseindia.com/corporate/CGPOWER_02072025204834_Disclosure_Notice_AR2024_25.pdf","10.27 MB"
"BAJAJFINSV","Bajaj Finserv Limited","Shareholders meeting","Bajaj Finserv Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 25, 2025","02-Jul-2025 20:47:55","2025-07-02 20:47:55","02-Jul-2025 20:47:55","00:00:00","https://nsearchives.nseindia.com/corporate/walimbelk_02072025204728_BFSAnnualReportIntimationSD.pdf","13.42 MB"
"MAPMYINDIA","C.E. Info Systems Limited","Shareholders meeting","C.E. Info Systems Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 25, 2025","02-Jul-2025 20:46:41","2025-07-02 20:46:41","02-Jul-2025 20:46:41","00:00:00","https://nsearchives.nseindia.com/corporate/MAPMYINDIA_02072025204634_MMI_AGM_NOTICE_25_July_2025.pdf","888 KB"
"PFIZER","Pfizer Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","PFIZER LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","02-Jul-2025 20:46:17","2025-07-02 20:46:17","02-Jul-2025 20:46:18","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CIM_58936_1476659_02072025084616_WEB.xml","6 KB"
"PFIZER","Pfizer Limited","Change in Management","Intimation regarding change in Senior Management Personnel of the Company.","02-Jul-2025 20:45:14","2025-07-02 20:45:14","02-Jul-2025 20:45:15","00:00:01","https://nsearchives.nseindia.com/corporate/PFIZER_02072025204502_Stock_Exchange_Intimation-Change_in_SMP.pdf","289 KB"
"DENTA","Denta Water and Infra Solutions Limited","Resignation","Denta Water and Infra Solutions Limited has informed the Exchange regarding Resignation of  Pramatha Suremane K as Other of the company w.e.f. July 02, 2025.","02-Jul-2025 20:41:34","2025-07-02 20:41:34","02-Jul-2025 20:41:35","00:00:01","https://nsearchives.nseindia.com/corporate/DENTA_02072025204121_Resignation_Senior_Finance_Officer.pdf","673 KB"
