"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"VOLTAS","Voltas Limited","Shareholders meeting","Voltas Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on July 08, 2025","08-Jul-2025 21:34:27","2025-07-08 21:34:27","08-Jul-2025 21:34:27","00:00:00","https://nsearchives.nseindia.com/corporate/VOLTAS_RB_08072025213330_Signed_Proceedings_final_1.pdf","1.87 MB"
"GMMPFAUDLR","GMM Pfaudler Limited","Record Date","GMM Pfaudler Limited has informed the Exchange that Record date for the purpose of Final Dividend  is 25-Jul-2025.","08-Jul-2025 21:30:35","2025-07-08 21:30:35","08-Jul-2025 21:30:42","00:00:07","https://nsearchives.nseindia.com/corporate/GMMPFAUDLR_08072025212730_GMM_Annual_Report_FY25.pdf","7.87 MB"
"VOLTAS","Voltas Limited","Shareholders meeting","Voltas Limited has submitted the Exchange a copy Srutinizers report along with Voting Results of Annual General Meeting held on July 08, 2025","08-Jul-2025 21:27:31","2025-07-08 21:27:31","08-Jul-2025 21:27:31","00:00:00","https://nsearchives.nseindia.com/corporate/VOLTAS_RB_08072025212342_SignedCoveringVotingResults.pdf","3.94 MB"
"AVADHSUGAR","Avadh Sugar & Energy Limited","Notice Of Shareholders Meetings-XBRL","AVADH SUGAR & ENERGY LIMITED has informed the Exchange about Notice of Shareholders Meeting for Annual General Meeting to be held on 30-Jul-2025","08-Jul-2025 21:24:38","2025-07-08 21:24:38","08-Jul-2025 21:24:39","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/NOTICE_OF_SHAREHOLDERS_MEETINGS_1479024_08072025092437_WEB.xml","16 KB"
"PCBL","PCBL Chemical Limited","Updates","PCBL Chemical Limited has informed the Exchange regarding 'Disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( SEBI Listing Regulations )   ESG Rating   '.","08-Jul-2025 21:15:21","2025-07-08 21:15:21","08-Jul-2025 21:15:21","00:00:00","https://nsearchives.nseindia.com/corporate/PCBL_08072025211505_IntimationonESGRatingbyPCBLChemicalLimited.pdf","442 KB"
"GMMPFAUDLR","GMM Pfaudler Limited","Shareholders meeting","GMM Pfaudler Limited has informed the Exchange about Shareholders meeting","08-Jul-2025 21:14:41","2025-07-08 21:14:41","08-Jul-2025 21:14:41","00:00:00","https://nsearchives.nseindia.com/corporate/GMMPFAUDLR_08072025211314_GMM_Annual_Report_FY25.pdf","7.87 MB"
"SHAREINDIA","Share India Securities Limited","Acquisition","Please be informed that the Finance Committee of the Board of Directors of the Company at its meeting held today i.e., July 08, 2025, approved an additional investment in Metropolitan Stock Exchange of India Limited.","08-Jul-2025 21:10:44","2025-07-08 21:10:44","08-Jul-2025 21:10:45","00:00:01","https://nsearchives.nseindia.com/corporate/SISL_08072025210938_Reg30AcquisitionMSE.pdf","476 KB"
"NURECA","Nureca Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","NURECA LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","08-Jul-2025 21:08:23","2025-07-08 21:08:23","08-Jul-2025 21:08:24","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CIM_59299_1479017_08072025090822_WEB.xml","3 KB"
"ICRA","ICRA Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","ICRA Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","08-Jul-2025 21:05:59","2025-07-08 21:05:59","08-Jul-2025 21:06:00","00:00:01","https://nsearchives.nseindia.com/corporate/ICRA_08072025210449_BSER7408072025.pdf","247 KB"
"TMB","Tamilnad Mercantile Bank Limited","Board Meeting Intimation","TAMILNAD MERCANTILE BANK LIMITED has informed the Exchange about Board Meeting to be held on 25-Jul-2025 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended June 2025 .","08-Jul-2025 20:55:38","2025-07-08 20:55:38","08-Jul-2025 20:55:39","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_59298_1479015_08072025085537_WEB.xml","2 KB"
"ARVSMART","Arvind SmartSpaces Limited","Updates","Arvind SmartSpaces Limited has informed the Exchange regarding 'Communication to the Shareholders holding shares in physical mode for updating their KYC details.'.","08-Jul-2025 20:52:54","2025-07-08 20:52:54","08-Jul-2025 20:52:56","00:00:02","https://nsearchives.nseindia.com/corporate/539301_08072025205246_Intimation_-_Inland_Letter_-_KYC.pdf","699 KB"
"NH","Narayana Hrudayalaya Ltd.","Updates","Narayana Hrudayalaya Ltd. has informed the Exchange regarding 'Communication To Shareholders - Intimation On Tax Deduction On Dividend'.","08-Jul-2025 20:51:55","2025-07-08 20:51:55","08-Jul-2025 20:51:56","00:00:01","https://nsearchives.nseindia.com/corporate/Narayana_08072025205115_NHLIntimationofTDSondividend08072025.pdf","1.56 MB"
"UJJIVANSFB","Ujjivan Small Finance Bank Limited","Alteration Of Capital and Fund Raising-XBRL","UJJIVAN SMALL FINANCE BANK LIMITED has informed the Exchange regarding Allotment of Securities","08-Jul-2025 20:50:42","2025-07-08 20:50:42","08-Jul-2025 20:50:43","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1479012_08072025085042_WEB.xml","4 KB"
"AVADHSUGAR","Avadh Sugar & Energy Limited","Shareholders meeting","Avadh Sugar & Energy Limited has informed the Exchange about Shareholders meeting","08-Jul-2025 20:47:19","2025-07-08 20:47:19","08-Jul-2025 20:47:19","00:00:00","https://nsearchives.nseindia.com/corporate/AVADHSUGAR_08072025204612_ASEL_AGM_Notice.pdf","2.68 MB"
"UJJIVANSFB","Ujjivan Small Finance Bank Limited","ESOP/ESOS/ESPS","Ujjivan Small Finance Bank Limited has informed the Exchange regarding Allotment of 289961  Shares.","08-Jul-2025 20:46:12","2025-07-08 20:46:12","08-Jul-2025 20:46:15","00:00:03","https://nsearchives.nseindia.com/corporate/UJJIVANBANK_08072025204604_45_ESOP_Allotment_08072025_Signed.pdf","240 KB"
"TOLINS","Tolins Tyres Limited","General Updates","Tolins Tyres Limited has informed the Exchange about General Updates, With reference to above mentioned subject matter and pursuant to Regulation 30 of SEBI (Listing Obligation and Disclosures Requirements) Regulations, 2015, pursuant to our earlier communication dated May 28, 2025 w.r.t Formation of wholly owned Subsidiary Company for new line of Business in rubber Industry, we wish to inform you that the wholly owned subsidiary ( WOS ) of the Company ( Tolins Tyres Limited) in the name and style of  Terra Rubber Private Limited  is proposed to be incorporated. The Board of Directors of the company in their meeting held on 08.07.2025 has approved for making investment in proposed Wholly Owned subsidiary.","08-Jul-2025 20:45:42","2025-07-08 20:45:42","08-Jul-2025 20:45:43","00:00:01","https://nsearchives.nseindia.com/corporate/tolins_08072025204446_WOS_INTIMATION.pdf","417 KB"
"NURECA","Nureca Limited","Resignation","Nureca Limited has informed the Exchange regarding Resignation of Mr Vivek Gupta as  Chief Officer Sales and Supply Chain of the company w.e.f. July 19, 2025.","08-Jul-2025 20:45:26","2025-07-08 20:45:26","08-Jul-2025 20:45:27","00:00:01","https://nsearchives.nseindia.com/corporate/NURECA_08072025204434_StockExchangeIntimationResignationVivekGuptaSigned.pdf","582 KB"
"LEMONTREE","Lemon Tree Hotels Limited","Spurt in Volume","Significant increase in volume has been observed in Lemon Tree Hotels Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so that the interest of the investors is safeguarded, had written to the company. Lemon Tree Hotels Limited has submitted their response.","08-Jul-2025 20:33:15","2025-07-08 20:33:15","08-Jul-2025 20:33:16","00:00:01","https://nsearchives.nseindia.com/corporate/LEMONTREE_08072025203236_Reply_for_Clarification.pdf","167 KB"
"VISAKAIND","Visaka Industries Limited","General Updates","Business Responsibility and Sustainability Report for the FY 2024-25.","08-Jul-2025 20:25:20","2025-07-08 20:25:20","08-Jul-2025 20:25:22","00:00:02","https://nsearchives.nseindia.com/corporate/VISAKAIND_08072025202506_BRSR_to_Stock_Exchange__signed.pdf","1.07 MB"
"WELCORP","Welspun Corp Limited","General Updates","Welspun Corp Limited has informed the Exchange about General Updates-The date of Payment of Dividend","08-Jul-2025 20:16:54","2025-07-08 20:16:54","08-Jul-2025 20:16:55","00:00:01","https://nsearchives.nseindia.com/corporate/WELCORP_08072025201619_SEAGMBOOKCLOSURE.pdf","412 KB"
"ADSL","Allied Digital Services Limited","Alteration Of Capital and Fund Raising-XBRL","Allied Digital Services Limited has informed the Exchange regarding Allotment of Securities","08-Jul-2025 20:15:47","2025-07-08 20:15:47","08-Jul-2025 20:15:48","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1479005_08072025081546_WEB.xml","4 KB"
