"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"KAJARIACER","Kajaria Ceramics Limited","General Updates","Appointment of Mrs. Ambika Sharma as an independent Director of the Company","27-Jun-2025 15:22:41","2025-06-27 15:22:41","27-Jun-2025 15:22:42","00:00:01","https://nsearchives.nseindia.com/corporate/KAJARIACER_27062025152150_Appointment.pdf","701 KB"
"BPCL","Bharat Petroleum Corporation Limited","Copy of Newspaper Publication","Bharat Petroleum Corporation Limited has informed the Exchange about Copy of Newspaper Publication","27-Jun-2025 15:22:35","2025-06-27 15:22:35","27-Jun-2025 15:22:37","00:00:02","https://nsearchives.nseindia.com/corporate/BPCL_27062025152224_stexchipef25s.pdf","5.10 MB"
"BORANA","Borana Weaves Limited","Trading Window","Borana Weaves Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 15:21:39","2025-06-27 15:21:39","27-Jun-2025 15:21:40","00:00:01","https://nsearchives.nseindia.com/corporate/BORANA_27062025152125_trading_window.pdf","852 KB"
"PDMJEPAPER","Pudumjee Paper Products Limited","Trading Window-XBRL","PUDUMJEE PAPER PRODUCTS LIMITED has informed the Exchange about Closure of Trading Window","27-Jun-2025 15:20:58","2025-06-27 15:20:58","27-Jun-2025 15:20:59","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1473005_27062025032058_WEB.xml","2 KB"
"TVSSCS","TVS Supply Chain Solutions Limited","Trading Window","Tvs Supply Chain Solutions Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 15:20:12","2025-06-27 15:20:12","27-Jun-2025 15:20:12","00:00:00","https://nsearchives.nseindia.com/corporate/CSCOMPLIANCE_27062025151725_TVS_SCS_Trading_Window_Closure_Q1.pdf","337 KB"
"GTLINFRA","GTL Infrastructure Limited","Trading Window-XBRL","GTL INFRASTRUCTURE LIMITED has informed the Exchange about Closure of Trading Window","27-Jun-2025 15:19:45","2025-06-27 15:19:45","27-Jun-2025 15:19:47","00:00:02","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1473004_27062025031945_WEB.xml","2 KB"
"HINDCOMPOS","Hindustan Composites Limited","Trading Window-XBRL","HINDUSTAN COMPOSITES LIMITED has informed the Exchange about Closure of Trading Window","27-Jun-2025 15:19:41","2025-06-27 15:19:41","27-Jun-2025 15:19:42","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1473003_27062025031940_WEB.xml","2 KB"
"SHREERAMA","Shree Rama Multi-Tech Limited","Trading Window","Shree Rama Multi-Tech Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 15:19:39","2025-06-27 15:19:39","27-Jun-2025 15:19:40","00:00:01","https://nsearchives.nseindia.com/corporate/SHREERAMA_27062025151607_IntimationTradingWindowClosure.pdf","419 KB"
"ANIKINDS","Anik Industries Limited","Trading Window-XBRL","ANIK INDUSTRIES LIMITED has informed the Exchange about Closure of Trading Window","27-Jun-2025 15:19:31","2025-06-27 15:19:31","27-Jun-2025 15:19:32","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1473002_27062025031930_WEB.xml","2 KB"
"BORANA","Borana Weaves Limited","Trading Window-XBRL","Borana Weaves Limited has informed the Exchange about Closure of Trading Window","27-Jun-2025 15:19:15","2025-06-27 15:19:15","27-Jun-2025 15:19:16","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1473001_27062025031915_WEB.xml","3 KB"
"ARVIND","Arvind Limited","Updates","Arvind Limited has informed the Exchange regarding 'Communication to Shareholders &#8208; Intimation on Tax Deduction on Dividend'.","27-Jun-2025 15:19:09","2025-06-27 15:19:09","27-Jun-2025 15:19:09","00:00:00","https://nsearchives.nseindia.com/corporate/ARVIND1_27062025151849_TDS_SE_Intimation_27062025.pdf","934 KB"
"GATECHDVR","GACM Technologies Limited","Trading Window-XBRL","GACM TECHNOLOGIES LIMITED has informed the Exchange about Closure of Trading Window","27-Jun-2025 15:18:47","2025-06-27 15:18:47","27-Jun-2025 15:18:48","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1473000_27062025031847_WEB.xml","3 KB"
"ANIKINDS","Anik Industries Limited","Trading Window","Anik Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 15:17:59","2025-06-27 15:17:59","27-Jun-2025 15:18:00","00:00:01","https://nsearchives.nseindia.com/corporate/ANIKINDS_27062025151740_IntimationtoStockExchangeTradingWindow30062025_signed.pdf","691 KB"
"BHARATRAS","Bharat Rasayan Limited","Trading Window","Bharat Rasayan Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 15:17:19","2025-06-27 15:17:19","27-Jun-2025 15:17:20","00:00:01","https://nsearchives.nseindia.com/corporate/BHARATRAS_27062025151659_Intimation_Letter_Trading_Window_Closure__BHARATRAS.pdf","464 KB"
"ITC","ITC Limited","General Updates","ITC Limited has informed the Exchange about Business Responsibility and Sustainability Report of the Company for the financial year ended 31st March, 2025","27-Jun-2025 15:16:58","2025-06-27 15:16:58","27-Jun-2025 15:16:59","00:00:01","https://nsearchives.nseindia.com/corporate/ITC_27062025151648_SE_BRSR_.pdf","3.12 MB"
"JGCHEM","J.G.Chemicals Limited","Dividend","J.G.Chemicals Limited has informed the Exchange that Board of Directors at its meeting held on Jun 27, 2025, recommended Final Dividend of 1 per equity share.","27-Jun-2025 15:16:56","2025-06-27 15:16:56","27-Jun-2025 15:16:58","00:00:02","https://nsearchives.nseindia.com/corporate/9903318000_27062025151616_Outcome_of_Board_meeting.pdf","729 KB"
"GATECHDVR","GACM Technologies Limited","Trading Window","GACM Technologies Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 15:16:50","2025-06-27 15:16:50","27-Jun-2025 15:16:51","00:00:01","https://nsearchives.nseindia.com/corporate/SCAPDVR_27062025151641_Closure_of_trading_Window_Q1.pdf","171 KB"
"GTLINFRA","GTL Infrastructure Limited","Trading Window","GTL Infrastructure Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 15:16:45","2025-06-27 15:16:45","27-Jun-2025 15:16:47","00:00:02","https://nsearchives.nseindia.com/corporate/GTLINFRA1_27062025151614_GIL_Closing_Trading_Window_Jun_2025.pdf","478 KB"
"AFFORDABLE","Affordable Robotic & Automation Limited","Trading Window-XBRL","AFFORDABLE ROBOTIC & AUTOMATION LIMITED has informed the Exchange about Closure of Trading Window","27-Jun-2025 15:16:16","2025-06-27 15:16:16","27-Jun-2025 15:16:17","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1472997_27062025031615_WEB.xml","2 KB"
"HINDCOMPOS","Hindustan Composites Limited","Trading Window","Hindustan Composites Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 15:15:58","2025-06-27 15:15:58","27-Jun-2025 15:15:59","00:00:01","https://nsearchives.nseindia.com/corporate/HINDCOMPOS_27062025151445_Trading_Window_Closure_June_2025.pdf","239 KB"
"COALINDIA","Coal India Limited","Trading Window","Coal India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 15:15:12","2025-06-27 15:15:12","27-Jun-2025 15:15:13","00:00:01","https://nsearchives.nseindia.com/corporate/COALINDIA_27062025151459_letter_to_stock_exchange.pdf","827 KB"
"GPTINFRA","GPT Infraprojects Limited","Trading Window","GPT Infraprojects Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 15:15:07","2025-06-27 15:15:07","27-Jun-2025 15:15:08","00:00:01","https://nsearchives.nseindia.com/corporate/GPTINFRA_27062025151443_SETrading_windowQ1FY26SGD.pdf","778 KB"
"ANGELONE","Angel One Limited","Alteration Of Capital and Fund Raising-XBRL","ANGEL ONE LIMITED has informed the Exchange regarding Allotment of Securities","27-Jun-2025 15:15:04","2025-06-27 15:15:04","27-Jun-2025 15:15:05","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1472995_27062025031503_WEB.xml","4 KB"
"PDMJEPAPER","Pudumjee Paper Products Limited","Trading Window","Pudumjee Paper Products Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 15:14:53","2025-06-27 15:14:53","27-Jun-2025 15:14:54","00:00:01","https://nsearchives.nseindia.com/corporate/PDMJEPAPER_27062025151429_PPPLClosureofTradingWindow27062025.pdf","586 KB"
"ORTINGLOBE","ORTIN GLOBAL LIMITED","Trading Window","ORTIN GLOBAL LIMITED has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 15:14:41","2025-06-27 15:14:41","27-Jun-2025 15:14:42","00:00:01","https://nsearchives.nseindia.com/corporate/ORTINLAB_27062025151428_Closure_of_Trading_Window__1_.pdf","357 KB"
"GATECH","GACM Technologies Limited","Trading Window-XBRL","GACM TECHNOLOGIES LIMITED has informed the Exchange about Closure of Trading Window","27-Jun-2025 15:14:04","2025-06-27 15:14:04","27-Jun-2025 15:14:05","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1472994_27062025031403_WEB.xml","3 KB"
"COALINDIA","Coal India Limited","Trading Window-XBRL","COAL INDIA LIMITED has informed the Exchange about Closure of Trading Window","27-Jun-2025 15:13:45","2025-06-27 15:13:45","27-Jun-2025 15:13:46","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1472993_27062025031344_WEB.xml","2 KB"
"ZENSARTECH","Zensar Technologies Limited","Copy of Newspaper Publication","Zensar Technologies Limited has informed the Exchange about Copy of Newspaper Publication","27-Jun-2025 15:13:27","2025-06-27 15:13:27","27-Jun-2025 15:13:28","00:00:01","https://nsearchives.nseindia.com/corporate/ZENSARTECH_27062025151224_SEIntimationNP.pdf","997 KB"
"IFBIND","IFB Industries Limited","Trading Window","IFB Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 15:13:17","2025-06-27 15:13:17","27-Jun-2025 15:13:18","00:00:01","https://nsearchives.nseindia.com/corporate/IFBIND_27062025151248_Trading_Window_Q1FY26.pdf","710 KB"
"GATECH","GACM Technologies Limited","Trading Window","GACM Technologies Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 15:13:02","2025-06-27 15:13:02","27-Jun-2025 15:13:03","00:00:01","https://nsearchives.nseindia.com/corporate/STAMPEDE_27062025151250_Closure_of_trading_Window_Q1.pdf","171 KB"
"ITC","ITC Limited","Shareholders meeting","ITC Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 25, 2025","27-Jun-2025 15:12:41","2025-06-27 15:12:41","27-Jun-2025 15:12:41","00:00:00","https://nsearchives.nseindia.com/corporate/ITC_27062025151216_SERA.pdf","22.47 MB"
"ANGELONE","Angel One Limited","ESOP/ESOS/ESPS","Angel One Limited has informed the Exchange regarding Allotment of 68486  Shares.","27-Jun-2025 15:12:33","2025-06-27 15:12:33","27-Jun-2025 15:12:34","00:00:01","https://nsearchives.nseindia.com/corporate/ANGEL8896_27062025151035_June272025intimationofallotment.pdf","369 KB"
"TIPSMUSIC","Tips Music Limited","Trading Window-XBRL","TIPS MUSIC LIMITED has informed the Exchange about Closure of Trading Window","27-Jun-2025 15:12:29","2025-06-27 15:12:29","27-Jun-2025 15:12:30","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1472992_27062025031229_WEB.xml","2 KB"
"OILCOUNTUB","Oil Country Tubular Limited","Trading Window","Oil Country Tubular Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 15:11:41","2025-06-27 15:11:41","27-Jun-2025 15:11:42","00:00:01","https://nsearchives.nseindia.com/corporate/OILCOUNTUB_27062025151116_OCTLClosureofTradingWindow.pdf","350 KB"
"ORTINGLOBE","ORTIN GLOBAL LIMITED","Trading Window-XBRL","Ortin Global Limited has informed the Exchange about Closure of Trading Window","27-Jun-2025 15:11:19","2025-06-27 15:11:19","27-Jun-2025 15:11:20","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1472989_27062025031118_WEB.xml","2 KB"
"FAZE3Q","Faze Three Limited","Trading Window-XBRL","FAZE THREE LIMITED has informed the Exchange about Closure of Trading Window","27-Jun-2025 15:11:10","2025-06-27 15:11:10","27-Jun-2025 15:11:11","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1472988_27062025031109_WEB.xml","2 KB"
"KOTARISUG","Kothari Sugars And Chemicals Limited","Appointment","Kothari Sugars And Chemicals Limited has informed the Exchange regarding Appointment of Mr. Abdul Kareem Sait as Non- Executive Independent Director of the company w.e.f. Jun 27, 2025.","27-Jun-2025 15:10:43","2025-06-27 15:10:43","27-Jun-2025 15:10:44","00:00:01","https://nsearchives.nseindia.com/corporate/KOTARISUG_27062025150822_IntimationofappointmentofID.pdf","227 KB"
"OILCOUNTUB","Oil Country Tubular Limited","Trading Window-XBRL","OIL COUNTRY TUBULAR LIMITED has informed the Exchange about Closure of Trading Window","27-Jun-2025 15:09:36","2025-06-27 15:09:36","27-Jun-2025 15:09:36","00:00:00","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1472985_27062025030935_WEB.xml","2 KB"
"TIPSMUSIC","Tips Music Limited","Trading Window","Tips Music Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 15:09:15","2025-06-27 15:09:15","27-Jun-2025 15:09:16","00:00:01","https://nsearchives.nseindia.com/corporate/TIPSINDLTD_27062025150237_TIPSMUSICtwcP.pdf","583 KB"
"EQUITASBNK","Equitas Small Finance Bank Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","EQUITAS SMALL FINANCE BANK LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","27-Jun-2025 15:08:45","2025-06-27 15:08:45","27-Jun-2025 15:08:46","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CIM_58500_1472984_27062025030844_WEB.xml","9 KB"
"SINDHUTRAD","Sindhu Trade Links Limited","Trading Window","Sindhu Trade Links Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 15:08:41","2025-06-27 15:08:41","27-Jun-2025 15:08:42","00:00:01","https://nsearchives.nseindia.com/corporate/SINDHUTRAD_27062025150810_PITSigned.pdf","435 KB"
