"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"MELSTAR","Melstar Information Technologies Limited","Clarification - Financial Results","The Exchange has sought clarification from Melstar Information Technologies Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Financial results submitted is not as per format prescribed by SEBI -2. The company has not submitted the Statement of Impact of Audit Qualifications in case of modified opinion(s) The response of the Company is awaited.","22-Jun-2025 21:14:07","2025-06-22 21:14:07","22-Jun-2025 21:14:08","00:00:01","-","-"
"PNGJL","P N Gadgil Jewellers Limited","Updates","P N Gadgil Jewellers Limited has informed the Exchange regarding 'Intimation of Store Opening'.","22-Jun-2025 19:49:24","2025-06-22 19:49:24","22-Jun-2025 19:49:25","00:00:01","https://nsearchives.nseindia.com/corporate/PNGJEWELLERS_22062025194907_IntimationofStoreOpening.pdf","310 KB"
"PREMIERENE","Premier Energies Limited","Clarification - Financial Results","The Exchange has sought clarification from Premier Energies Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Financial results submitted in XBRL with discrepancies The response of the Company is awaited.","22-Jun-2025 17:55:55","2025-06-22 17:55:55","22-Jun-2025 17:55:56","00:00:01","-","-"
"QUINTEGRA","Quintegra Solutions Limited","Clarification - Financial Results","The Exchange has sought clarification from Quintegra Solutions Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Standalone Statement of Cash Flow not submitted The response of the Company is awaited.","22-Jun-2025 17:54:06","2025-06-22 17:54:06","22-Jun-2025 17:54:07","00:00:01","-","-"
"SEMAC","SEMAC CONSULTANTS LIMITED","Trading Window-XBRL","SEMAC CONSULTANTS LIMITED has informed the Exchange about Closure of Trading Window","22-Jun-2025 17:38:54","2025-06-22 17:38:54","22-Jun-2025 17:38:55","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1469455_22062025053854_WEB.xml","2 KB"
"SEMAC","SEMAC CONSULTANTS LIMITED","Trading Window","SEMAC CONSULTANTS LIMITED has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","22-Jun-2025 17:35:55","2025-06-22 17:35:55","22-Jun-2025 17:35:56","00:00:01","https://nsearchives.nseindia.com/corporate/REVATHI_22062025173523_IntimationfortradingwindowclosureQ130062025sd.pdf","772 KB"
"ZEEL","Zee Entertainment Enterprises Limited","General Updates","Zee Entertainment Enterprises Limited has informed the Exchange about Investor Presentation","22-Jun-2025 17:07:14","2025-06-22 17:07:14","22-Jun-2025 17:07:14","00:00:00","https://nsearchives.nseindia.com/corporate/ZEEL_22062025170639_SEIntimationinvpres22Jun25.pdf","1.36 MB"
"TERASOFT","Tera Software Limited","Clarification - Financial Results","The Exchange has sought clarification from Tera Software Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Financial results submitted is not as per format prescribed by SEBI The response of the Company is awaited.","22-Jun-2025 16:53:33","2025-06-22 16:53:33","22-Jun-2025 16:53:34","00:00:01","-","-"
"CENTRUM","Centrum Capital Limited","Copy of Newspaper Publication","Centrum Capital Limited has informed the Exchange about Copy of Newspaper Publication","22-Jun-2025 16:46:52","2025-06-22 16:46:52","22-Jun-2025 16:46:52","00:00:00","https://nsearchives.nseindia.com/corporate/CENTRUM_22062025164427_BSENSEPostalBallot.pdf","4.16 MB"
"MEDPLUS","Medplus Health Services Limited","General Updates","Update under Regulation 30 read with Para A Part A of Schedule III of SEBI (Listing Obligations andDisclosure Requirements) Regulations, 2015","22-Jun-2025 14:57:34","2025-06-22 14:57:34","22-Jun-2025 14:57:35","00:00:01","https://nsearchives.nseindia.com/corporate/MEDPLUS_22062025145720_Intimation.pdf","2.41 MB"
"MOLDTKPAC","Mold-Tek Packaging Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Mold-Tek Packaging Limited has informed the Exchange about Schedule of meet","22-Jun-2025 14:53:11","2025-06-22 14:53:11","22-Jun-2025 14:53:12","00:00:01","https://nsearchives.nseindia.com/corporate/MOLDTKPAC_22062025145303_IntimationAnalystMeet.pdf","333 KB"
"IDFCFIRSTB","IDFC First Bank Limited","Alteration Of Capital and Fund Raising-XBRL","IDFC FIRST Bank Limited has informed the Exchange regarding Allotment of Securities","22-Jun-2025 13:37:35","2025-06-22 13:37:35","22-Jun-2025 13:37:36","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1469450_22062025013734_WEB.xml","4 KB"
"IDFCFIRSTB","IDFC First Bank Limited","ESOP/ESOS/ESPS","IDFC First Bank Limited has informed the Exchange regarding Allotment of 1216013  Shares.","22-Jun-2025 13:26:10","2025-06-22 13:26:10","22-Jun-2025 13:26:11","00:00:01","https://nsearchives.nseindia.com/corporate/IDFCFIRSTB_22062025132507_ESOP_Allotment_June_22_2025.pdf","279 KB"
"ZENTEC","Zen Technologies Limited","Press Release","Zen Technologies Limited has informed the Exchange regarding a press release dated Jun 22, 2025, titled ""Zen Technologies Limited announces Strategic Acquisition of Majority Stake in TISA Aerospace Private Limited"".","22-Jun-2025 13:20:06","2025-06-22 13:20:06","22-Jun-2025 13:20:07","00:00:01","https://nsearchives.nseindia.com/corporate/ZENTEC_22062025131851_PR_CL.pdf","872 KB"
"AARTIDRUGS","Aarti Drugs Limited","Clarification - Financial Results","The Exchange has sought clarification from Aarti Drugs Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Financial results submitted is not as per format prescribed by SEBI -2. Financial results submitted is not as per format prescribed under Schedule III of the Companies Act, 2013 or as per Indian Accounting Standard The response of the Company is awaited.","22-Jun-2025 13:05:52","2025-06-22 13:05:52","22-Jun-2025 13:05:53","00:00:01","-","-"
"STALLION","Stallion India Fluorochemicals Limited","Clarification - Financial Results","The Exchange has sought clarification from Stallion India Fluorochemicals Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Financial results submitted is not as per format prescribed by SEBI The response of the Company is awaited.","22-Jun-2025 13:03:45","2025-06-22 13:03:45","22-Jun-2025 13:03:47","00:00:02","-","-"
"TATATECH","Tata Technologies Limited","Trading Window-XBRL","TATA TECHNOLOGIES LIMITED has informed the Exchange about Closure of Trading Window","22-Jun-2025 13:02:45","2025-06-22 13:02:45","22-Jun-2025 13:02:46","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1469449_22062025010244_WEB.xml","2 KB"
"AROGRANITE","Aro Granite Industries Limited","Clarification - Financial Results","The Exchange has sought clarification from Aro Granite Industries Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Financial results submitted is not as per format prescribed by SEBI The response of the Company is awaited.","22-Jun-2025 13:02:11","2025-06-22 13:02:11","22-Jun-2025 13:02:12","00:00:01","-","-"
"TATATECH","Tata Technologies Limited","Trading Window","Tata Technologies Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","22-Jun-2025 13:00:53","2025-06-22 13:00:53","22-Jun-2025 13:00:54","00:00:01","https://nsearchives.nseindia.com/corporate/TTLNSE_22062025130028_Tradingwindowclosure24062025.pdf","131 KB"
"NLCINDIA","NLC India Limited","General Updates","NLC India Limited has informed the Exchange about NLC India Renewables Limited, a Wholly Owned Subsidiary of NLC India Limited, has received a Letter of Award (LoA) from Tamil Nadu Green Energy Corporation Limited (TNGECL) for the development of three (3) standalone Battery Energy Storage System (BESS) projects with an aggregate capacity of 250 MW/500 MWh","22-Jun-2025 12:58:43","2025-06-22 12:58:43","22-Jun-2025 12:58:44","00:00:01","https://nsearchives.nseindia.com/corporate/NLCINDIA_22062025125829_LoAtoNIRL250MWBSESTNGECL22062025.pdf","515 KB"
"TATACONSUM","TATA CONSUMER PRODUCTS LIMITED","Trading Window-XBRL","Tata Consumer Products Limited has informed the Exchange about Closure of Trading Window","22-Jun-2025 12:50:46","2025-06-22 12:50:46","22-Jun-2025 12:50:47","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1469448_22062025125045_WEB.xml","2 KB"
"VIPULLTD","Vipul Limited","Updates","Vipul Limited has informed the Exchange regarding 'DIVERSIFIACATION/DISINVESTMENT'.","22-Jun-2025 12:47:19","2025-06-22 12:47:19","22-Jun-2025 12:47:20","00:00:01","https://nsearchives.nseindia.com/corporate/VIPULLTD_22062025124556_CL30REGARDINGHCPL__1_.pdf","1.18 MB"
"KFINTECH","Kfin Technologies Limited","Alteration Of Capital and Fund Raising-XBRL","KFIN TECHNOLOGIES LIMITED has informed the Exchange regarding Allotment of Securities","22-Jun-2025 12:33:39","2025-06-22 12:33:39","22-Jun-2025 12:33:40","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1469447_22062025123338_WEB.xml","4 KB"
