"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"AURIONPRO","Aurionpro Solutions Limited","Shareholders meeting","Aurionpro Solutions Limited has informed the Exchange regarding Notice of Postal Ballot","30-Dec-2025 16:17:33","2025-12-30 16:17:33","30-Dec-2025 16:17:34","00:00:01","https://nsearchives.nseindia.com/corporate/AURIONPRO_30122025161716_ASL_Postal_Ballot__Notice_30_12_2025_Sd.pdf"
"NAVNETEDUL","Navneet Education Limited","Trading Window","Navneet Education Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:15:24","2025-12-30 16:15:24","30-Dec-2025 16:15:25","00:00:01","https://nsearchives.nseindia.com/corporate/NAVNETEDUL_30122025161511_TW_31125__1_.pdf"
"PILANIINVS","Pilani Investment and Industries Corporation Limited","Updates","Pilani Investment and Industries Corporation Limited has informed the Exchange regarding 'Disclosure under Regulation 7 (2) of SEBI (Prohibition of Insider Trading) Regulations, 2015'.","30-Dec-2025 16:13:27","2025-12-30 16:13:27","30-Dec-2025 16:13:27","00:00:00","https://nsearchives.nseindia.com/corporate/PILANIINVS_30122025161318_Pilani_Essel_FormC_30122025.pdf"
"TTKHLTCARE","TTK Healthcare Limited","Disclosure under SEBI Takeover Regulations"," Ms. Sarayu Thiruvallur Thattai  has submitted to the Exchange a copy of Disclosures under Regulation 10(6)-Report to stock Exchange in respect of any acquisition made in reliance upon exemption provided for in regulation 10 of SEBI (SAST) Regulations, 2011","30-Dec-2025 16:13:21","2025-12-30 16:13:21","30-Dec-2025 16:13:22","00:00:01","https://nsearchives.nseindia.com/corporate/team_bbodade_30122025155902_TTKHLTCARE106_1.pdf"
"GRMOVER","GRM Overseas Limited","Trading Window","GRM Overseas Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:13:18","2025-12-30 16:13:18","30-Dec-2025 16:13:18","00:00:00","https://nsearchives.nseindia.com/corporate/GRMOVER_30122025161306_Covering.pdf"
"CIFL","Capital India Finance Limited","Appointment","Capital India Finance Limited has informed the Exchange regarding Appointment of  Mr. Mohit Sirpurkar  as Other of the company w.e.f. December 30, 2025.","30-Dec-2025 16:11:54","2025-12-30 16:11:54","30-Dec-2025 16:11:55","00:00:01","https://nsearchives.nseindia.com/corporate/CIFL_30122025161029_Exchange_Intimation.pdf"
"PILANIINVS","Pilani Investment and Industries Corporation Limited","Updates","Pilani Investment and Industries Corporation Limited has informed the Exchange regarding 'Disclosure under Regulation 7 (1) (b) of SEBI (Prohibition of Insider Trading) Regulations, 2015'.","30-Dec-2025 16:11:33","2025-12-30 16:11:33","30-Dec-2025 16:11:34","00:00:01","https://nsearchives.nseindia.com/corporate/PILANIINVS_30122025161122_Pilani_Essel_FormB_30122025.pdf"
"KUNDANMM","Kundan Minerals and Metals Limited","Trading Window","Kundan Minerals and Metals Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:10:26","2025-12-30 16:10:26","30-Dec-2025 16:10:27","00:00:01","https://nsearchives.nseindia.com/corporate/EASTSUGIND_30122025161017_KMM_NEW.pdf"
"VCL","Vaxtex Cotfab Limited","Resignation of Independent director","VAXTEX COTFAB LIMITED has informed the Exchange about Resignation of Independent director.","30-Dec-2025 16:08:45","2025-12-30 16:08:45","30-Dec-2025 16:08:46","00:00:01","https://nsearchives.nseindia.com/corporate/VCL_ROID_74525_KMP_Doc.zip"
"ALKEM","Alkem Laboratories Limited","Action(s) initiated or orders passed","Alkem Laboratories Limited has informed the Exchange about Action(s) initiated or orders passed","30-Dec-2025 16:08:13","2025-12-30 16:08:13","30-Dec-2025 16:08:14","00:00:01","https://nsearchives.nseindia.com/corporate/ALKEM_30122025160612_Reg30RegulatoryOrder3012025_Signed.pdf"
"REFEX","Refex Industries Limited","Cessation","Refex Industries Limited has informed the Exchange regarding Cessation of Mr. Gagan Bihari Pattnaik as Vice-President (ESG & Sustainability), in the category of  senior managerial person .w.e.f. December 29, 2025.","30-Dec-2025 16:08:11","2025-12-30 16:08:11","30-Dec-2025 16:08:12","00:00:01","https://nsearchives.nseindia.com/corporate/REFEX2002_30122025160802_RIL_Reg30_SMP_Resign_Dec2025_sd.pdf"
"NYKAA","FSN E-Commerce Ventures Limited","Copy of Newspaper Publication","FSN E Commerce Ventures Limited has informed the Exchange about Copy of Newspaper Publication pertaining to the Notice of Postal Ballot.","30-Dec-2025 16:08:00","2025-12-30 16:08:00","30-Dec-2025 16:08:01","00:00:01","https://nsearchives.nseindia.com/corporate/NYKAA_30122025160745_Newspaper_Publication_FN_Reappointment.pdf"
"POCL","Pondy Oxides & Chemicals Limited","Copy of Newspaper Publication","Pondy Oxides & Chemicals Limited has informed the Exchange about Copy of Newspaper Publication","30-Dec-2025 16:07:18","2025-12-30 16:07:18","30-Dec-2025 16:07:19","00:00:01","https://nsearchives.nseindia.com/corporate/POCL_30122025160633_3rdNewspaperADsd.pdf"
"SOLARWORLD","Solarworld Energy Solutions Limited","Trading Window","Solarworld Energy Solutions Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:07:13","2025-12-30 16:07:13","30-Dec-2025 16:07:14","00:00:01","https://nsearchives.nseindia.com/corporate/SUNSHINE123_30122025160658_TradingWindowClosureIntimation.pdf"
"SHAH","Shah Metacorp Limited","General Updates","Shah Metacorp Limited has informed the Exchange about General Updates","30-Dec-2025 16:03:58","2025-12-30 16:03:58","30-Dec-2025 16:03:59","00:00:01","https://nsearchives.nseindia.com/corporate/GAL_30122025160206_Intimation_for_receipt_of_TP_.pdf"
