"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"SAGARDEEP","Sagardeep Alloys Limited","Trading Window","Sagardeep Alloys Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:45:43","2025-12-30 16:45:43","30-Dec-2025 16:45:44","00:00:01","https://nsearchives.nseindia.com/corporate/SAGARDEEP_30122025164525_ClosureofTradingWindowDecember312025.pdf"
"EMUDHRA","eMudhra Limited","Trading Window","eMudhra Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:45:32","2025-12-30 16:45:32","30-Dec-2025 16:45:33","00:00:01","https://nsearchives.nseindia.com/corporate/EMUDHRA2008_30122025164502_cover_letter_Intimation_of_Trading_window.pdf"
"ORIENTTECH","Orient Technologies Limited","Record Date","Orient Technologies Limited has informed the Exchange that Record date for the purpose of Bonus  is 05-Jan-2026.","30-Dec-2025 16:45:01","2025-12-30 16:45:01","30-Dec-2025 16:45:02","00:00:01","https://nsearchives.nseindia.com/corporate/Orient97_30122025164421_Intimation_of_Record_Date_signed.pdf"
"TNPETRO","Tamilnadu PetroProducts Limited","Shareholders meeting","Tamilnadu PetroProducts Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot","30-Dec-2025 16:44:38","2025-12-30 16:44:38","30-Dec-2025 16:44:40","00:00:02","https://nsearchives.nseindia.com/corporate/TPLSECTL_30122025164319_SE_PB_Results.PDF"
"BALUFORGE","Balu Forge Industries Limited","Allotment of Securities","Balu Forge Industries Limited has informed the Exchange regarding allotment of 10,00,000 Equity Shares fully paid up upon exercising the option available with the Share Warrant Holder (person belonging to the Non-Promoter group) to convert 10,00,000 (Ten Lakhs) Convertible Warrants pursuant to Preferential Issue at its meeting held on December 30, 2025","30-Dec-2025 16:44:31","2025-12-30 16:44:31","30-Dec-2025 16:44:32","00:00:01","https://nsearchives.nseindia.com/corporate/BALUFORGE_30122025164205_Intimation.pdf"
"ZEELEARN","Zee Learn Limited","Change in Management","Zee Learn Limited has informed the Exchange about change in Management","30-Dec-2025 16:44:16","2025-12-30 16:44:16","30-Dec-2025 16:44:18","00:00:02","https://nsearchives.nseindia.com/corporate/corpaffairs_30122025164407_upload.pdf"
"GMDCLTD","Gujarat Mineral Development Corporation Limited","Trading Window","Gujarat Mineral Development Corporation Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Dec-2025 16:44:01","2025-12-30 16:44:01","30-Dec-2025 16:44:02","00:00:01","https://nsearchives.nseindia.com/corporate/GMDCLTD_30122025164346_sstock_exchange_letter_trading_window_closure.pdf"
"THEMISMED","Themis Medicare Limited","Copy of Newspaper Publication","Themis Medicare Limited has informed the Exchange about Copy of Newspaper Publication","30-Dec-2025 16:43:27","2025-12-30 16:43:27","30-Dec-2025 16:43:27","00:00:00","https://nsearchives.nseindia.com/corporate/THEMISMED_30122025164318_NewspaperpublicationTML.pdf"
"ZEELEARN","Zee Learn Limited","Outcome of Board Meeting","Zee Learn Limited has informed the Exchange regarding Outcome of Board Meeting held on December 30, 2025.","30-Dec-2025 16:42:19","2025-12-30 16:42:19","30-Dec-2025 16:42:20","00:00:01","https://nsearchives.nseindia.com/corporate/corpaffairs_30122025164206_upload.pdf"
"CAMS","Computer Age Management Services Limited","Copy of Newspaper Publication","Computer Age Management Services Limited has informed the Exchange about Copy of Newspaper Publication dated 30th December 2025","30-Dec-2025 16:41:46","2025-12-30 16:41:46","30-Dec-2025 16:41:47","00:00:01","https://nsearchives.nseindia.com/corporate/Jaiganesh_30122025164135_Newspaper_publication_final.pdf"
"PRECWIRE","Precision Wires India Limited","Spurt in Volume","Significant increase in volume has been observed in Precision Wires India Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so that the interest of the investors is safeguarded, had written to the company. Precision Wires India Limited has submitted their response.","30-Dec-2025 16:41:26","2025-12-30 16:41:26","30-Dec-2025 16:41:27","00:00:01","https://nsearchives.nseindia.com/corporate/PRECWIRE_29122025182536_Clarificationregardingvolume.pdf"
"POWERINDIA","Hitachi Energy India Limited","Action(s) taken or orders passed","Hitachi Energy India Limited has informed the Exchange about Action(s) taken or orders passed","30-Dec-2025 16:40:40","2025-12-30 16:40:40","30-Dec-2025 16:40:41","00:00:01","https://nsearchives.nseindia.com/corporate/HitachiEnergy_30122025163941_StockExchangeintimationTN.pdf"
