"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"ATGL","Adani Total Gas Limited","Change in Director(s)","Adani Total Gas Limited has informed the Exchange regarding Change in Director(s) of the company.","01-Jul-2025 13:28:13","2025-07-01 13:28:13","01-Jul-2025 13:28:14","00:00:01","https://nsearchives.nseindia.com/corporate/ATGL2024_01072025132756_ATGL_Intimation_SE_Reg_30_Change_Director.pdf","185 KB"
"BAJAJHFL","Bajaj Housing Finance Limited","Alteration Of Capital and Fund Raising-XBRL","BAJAJ HOUSING FINANCE LIMITED has informed the Exchange regarding Allotment of Securities","01-Jul-2025 13:28:03","2025-07-01 13:28:03","01-Jul-2025 13:28:04","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1475565_01072025012803_WEB.xml","4 KB"
"BAJAJHFL","Bajaj Housing Finance Limited","Alteration Of Capital and Fund Raising-XBRL","BAJAJ HOUSING FINANCE LIMITED has informed the Exchange regarding Allotment of Securities","01-Jul-2025 13:26:48","2025-07-01 13:26:48","01-Jul-2025 13:26:49","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1475564_01072025012648_WEB.xml","4 KB"
"ONESOURCE","Onesource Specialty Pharma Limited","Copy of Newspaper Publication","Onesource Specialty Pharma Limited has informed the Exchange about Copy of Newspaper Publication","01-Jul-2025 13:25:50","2025-07-01 13:25:50","01-Jul-2025 13:25:52","00:00:02","https://nsearchives.nseindia.com/corporate/ONESOURCECDMO_01072025132532_OS_Newspaper_Ad_PB.pdf","8.19 MB"
"INDUSTOWER","Indus Towers Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","INDUS TOWERS LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","01-Jul-2025 13:25:21","2025-07-01 13:25:21","01-Jul-2025 13:25:22","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CIM_58741_1475563_01072025012520_WEB.xml","3 KB"
"EICHERMOT","Eicher Motors Limited","Monthly Business Updates","Eicher Motors Limited has informed the Exchange regarding Monthly Business Updates for the month of June 2025 of VE Commercial Vehicles, an unlisted material subsidiary of Eicher Motors Limited","01-Jul-2025 13:25:19","2025-07-01 13:25:19","01-Jul-2025 13:25:20","00:00:01","https://nsearchives.nseindia.com/corporate/Navneetnse_01072025132429_VECVJune25salesUpdate1stJuly25UpdatedSigned.pdf","235 KB"
"NHPC","NHPC Limited","Change in Management","NHPC Limited has informed the Exchange about change in Senior Management Personnel (one level below Board of Directors) of NHPC Limited.","01-Jul-2025 13:24:31","2025-07-01 13:24:31","01-Jul-2025 13:24:33","00:00:02","https://nsearchives.nseindia.com/corporate/NHPC_01072025132348_Intimation_change_Mgt_01072025.pdf","2.03 MB"
"BOHRAIND","Bohra Industries Limited","Clarification - Financial Results","The Exchange has sought clarification from Bohra Industries Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Financial results not signed by authorized signatory/ies The response of the Company is awaited.","01-Jul-2025 13:22:51","2025-07-01 13:22:51","01-Jul-2025 13:22:52","00:00:01","-","-"
"INDUSTOWER","Indus Towers Limited","Resignation","Indus Towers Limited has informed the Exchange regarding Change in Senior Management","01-Jul-2025 13:22:37","2025-07-01 13:22:37","01-Jul-2025 13:22:38","00:00:01","https://nsearchives.nseindia.com/corporate/BHARTIINFRATEL_01072025132206_SEIntimationResignationSMP.pdf","321 KB"
"MEGASOFT","Megasoft Limited","Clarification - Financial Results","The Exchange has sought clarification from Megasoft Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Segment details not submitted The response of the Company is awaited.","01-Jul-2025 13:22:23","2025-07-01 13:22:23","01-Jul-2025 13:22:24","00:00:01","-","-"
"SANWARIA","Sanwaria Consumer Limited","Clarification - Financial Results","The Exchange has sought clarification from Sanwaria Consumer Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Financial results submitted is not as per format prescribed by SEBI The response of the Company is awaited.","01-Jul-2025 13:21:57","2025-07-01 13:21:57","01-Jul-2025 13:21:58","00:00:01","-","-"
"BAJAJHFL","Bajaj Housing Finance Limited","Issue of Securities","Bajaj Housing Finance Limited has informed the Exchange about issue of Securities","01-Jul-2025 13:21:31","2025-07-01 13:21:31","01-Jul-2025 13:21:32","00:00:01","https://nsearchives.nseindia.com/corporate/BHFL_01072025131915_SE_intimation_allotment_under_S32T11.pdf","2.77 MB"
"SHALBY","Shalby Limited","Clarification - Financial Results","The Exchange has sought clarification from Shalby Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Financial results submitted in XBRL with discrepancies The response of the Company is awaited.","01-Jul-2025 13:20:44","2025-07-01 13:20:44","01-Jul-2025 13:20:45","00:00:01","-","-"
"CANDC","C & C Constructions Limited","Clarification - Financial Results","The Exchange has sought clarification from C & C Constructions Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Limited Review Report/ Independent Auditor's Report is not in the format prescribed by SEBI -2. Segment details not submitted The response of the Company is awaited.","01-Jul-2025 13:20:13","2025-07-01 13:20:13","01-Jul-2025 13:20:14","00:00:01","-","-"
"MFML","Mahalaxmi Fabric Mills Limited","Clarification - Financial Results","The Exchange has sought clarification from Mahalaxmi Fabric Mills Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Financial results submitted in XBRL with discrepancies The response of the Company is awaited.","01-Jul-2025 13:19:39","2025-07-01 13:19:39","01-Jul-2025 13:19:40","00:00:01","-","-"
"RAILTEL","Railtel Corporation Of India Limited","Bagging/Receiving of orders/contracts","Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts","01-Jul-2025 13:19:36","2025-07-01 13:19:36","01-Jul-2025 13:19:37","00:00:01","https://nsearchives.nseindia.com/corporate/RAILTEL_01072025131926_Order_Book_Company_Report.pdf","401 KB"
"RAJMET","Rajnandini Metal Limited","Clarification - Financial Results","The Exchange has sought clarification from Rajnandini Metal Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Segment details not submitted The response of the Company is awaited.","01-Jul-2025 13:19:07","2025-07-01 13:19:07","01-Jul-2025 13:19:08","00:00:01","-","-"
"BALKRISHNA","Balkrishna Paper Mills Limited","Clarification - Financial Results","The Exchange has sought clarification from Balkrishna Paper Mills Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Financial results submitted is not as per format prescribed by SEBI The response of the Company is awaited.","01-Jul-2025 13:18:42","2025-07-01 13:18:42","01-Jul-2025 13:18:43","00:00:01","-","-"
"GICRE","General Insurance Corporation of India","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","GENERAL INSURANCE CORPORATION OF INDIA has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","01-Jul-2025 13:18:36","2025-07-01 13:18:36","01-Jul-2025 13:18:37","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CIM_58740_1475558_01072025011835_WEB.xml","3 KB"
"INDLMETER","IMP Powers Limited","Clarification - Financial Results","The Exchange has sought clarification from IMP Powers Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Financial results submitted is not as per format prescribed by SEBI -2. Limited Review Report/ Independent Auditor's Report is not in the format prescribed by SEBI The response of the Company is awaited.","01-Jul-2025 13:18:03","2025-07-01 13:18:03","01-Jul-2025 13:18:04","00:00:01","-","-"
"OBCL","Orissa Bengal Carrier Limited","Credit Rating- Others","Orissa Bengal Carrier Limited has informed the Exchange about Credit Rating- Others","01-Jul-2025 13:18:00","2025-07-01 13:18:00","01-Jul-2025 13:18:01","00:00:01","https://nsearchives.nseindia.com/corporate/OBCL_01072025131747_Credit_Rating_Disclosure_to_Stx.pdf","868 KB"
"HIRECT","Hind Rectifiers Limited","Updates","Hind Rectifiers Limited has informed the Exchange regarding 'Total pending Order Book of the Company'.","01-Jul-2025 13:17:08","2025-07-01 13:17:08","01-Jul-2025 13:17:09","00:00:01","https://nsearchives.nseindia.com/corporate/HIRECT_01072025131659_TotalOrderBook.pdf","471 KB"
"SKMEGGPROD","SKM Egg Products Export (India) Limited","Clarification - Financial Results","The Exchange has sought clarification from SKM Egg Products Export (India) Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Segment details not submitted The response of the Company is awaited.","01-Jul-2025 13:16:49","2025-07-01 13:16:49","01-Jul-2025 13:16:50","00:00:01","-","-"
