"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"PAKKA","PAKKA LIMITED","Analysts/Institutional Investor Meet/Con. Call Updates","PAKKA LIMITED has informed the Exchange about Schedule of meet","25-Jun-2025 22:27:45","2025-06-25 22:27:45","25-Jun-2025 22:27:46","00:00:01","https://nsearchives.nseindia.com/corporate/yashpakka_25062025222724_2506_Investor_Call_Intimation_Q4_FY25.pdf","5.75 MB"
"JPASSOCIAT","Jaiprakash Associates Limited","Board Meeting Intimation","JAIPRAKASH ASSOCIATES LIMITED has informed the Exchange about Board Meeting to be held on 30-Jun-2025 to inter-alia consider and approve the Audited Financial results of the Company for the Yearly ended March 2025 .","25-Jun-2025 22:23:32","2025-06-25 22:23:32","25-Jun-2025 22:23:33","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_58431_1471409_25062025102331_WEB.xml","2 KB"
"M&M","Mahindra & Mahindra Limited","Investor Presentation","Mahindra & Mahindra Limited has informed the Exchange about Investor Presentation","25-Jun-2025 22:20:59","2025-06-25 22:20:59","25-Jun-2025 22:21:00","00:00:01","https://nsearchives.nseindia.com/corporate/Shaibya_25062025222037_Concluded25062025.pdf","217 KB"
"PAKKA","PAKKA LIMITED","Board Meeting Intimation","PAKKA LIMITED has informed the Exchange about Board Meeting to be held on 28-Jun-2025 to consider and approve the Quarterly Audited Financial results of the Company for the period ended March 2025 and Other business.","25-Jun-2025 22:20:16","2025-06-25 22:20:16","25-Jun-2025 22:20:17","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_58430_1471407_25062025102016_WEB.xml","3 KB"
"ATGL","Adani Total Gas Limited","Shareholders meeting","Adani Total Gas Limited has informed the Exchange regarding Proceedings of undefined held on Jun 25, 2025","25-Jun-2025 22:13:04","2025-06-25 22:13:04","25-Jun-2025 22:13:05","00:00:01","https://nsearchives.nseindia.com/corporate/ATGL2024_25062025221237_ATGL_20th_AGM_Proceedings_250625.pdf","249 KB"
"PAKKA","PAKKA LIMITED","Resignation of Independent director","PAKKA LIMITED has informed the Exchange about Resignation of Independent director.","25-Jun-2025 22:12:26","2025-06-25 22:12:26","25-Jun-2025 22:12:27","00:00:01","https://nsearchives.nseindia.com/corporate/PAKKA_ROID_58429_KMP_Doc.zip","1.37 MB"
"ACLGATI","Allcargo Gati Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Allcargo Gati Limited has informed the Exchange about Schedule of meet","25-Jun-2025 22:04:24","2025-06-25 22:04:24","25-Jun-2025 22:04:25","00:00:01","https://nsearchives.nseindia.com/corporate/GATI_25062025220414_Signedintimation.pdf","266 KB"
"HDFCAMC","HDFC Asset Management Company Limited","Shareholders meeting","HDFC Asset Management Company Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on Jun 25, 2025. Further, the company has submitted the Exchange a copy of Srutinizers report along with voting results.","25-Jun-2025 22:03:43","2025-06-25 22:03:43","25-Jun-2025 22:03:44","00:00:01","https://nsearchives.nseindia.com/corporate/DEEPTI_25062025220219_NSEBSE_24.pdf","2.27 MB"
"PAKKA","PAKKA LIMITED","Updates","PAKKA LIMITED has informed the Exchange regarding 'Intimation of resignation of Mr. Shubham Ashok Tibrewal (DIN: 10274024), Independent Director of the Company under Regulation 30 of SEBI (LODR) Regulations, 2015 read with SEBI Circular SEBI/HO/CFD/CFD-PoD-1/P/CIR/2023/123 dated July 13, 2023.'.","25-Jun-2025 22:01:50","2025-06-25 22:01:50","25-Jun-2025 22:01:51","00:00:01","https://nsearchives.nseindia.com/corporate/yashpakka_25062025220141_2506_Disclosure_for_Resignation_of_Independent_Director.pdf","4.97 MB"
"INFY","Infosys Limited","Shareholders meeting","Infosys Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on Jun 25, 2025","25-Jun-2025 22:01:24","2025-06-25 22:01:24","25-Jun-2025 22:01:24","00:00:00","https://nsearchives.nseindia.com/corporate/Infosys_25062025215910_44th_AGM_proceedings.pdf","2.81 MB"
