"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"CAMS","Computer Age Management Services Limited","Board Meeting Intimation","COMPUTER AGE MANAGEMENT SERVICES LIMITED has informed the Exchange about Board Meeting to be held on 30-Jul-2025 to consider and approve the Quarterly Audited Financial results of the Company for the period ended June 2025 and Dividend.","04-Jul-2025 14:31:33","2025-07-04 14:31:33","04-Jul-2025 14:31:34","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_59043_1477252_04072025023133_WEB.xml","3 KB"
"TAJGVK","Taj GVK Hotels & Resorts Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","Taj GVK Hotels & Resorts Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","04-Jul-2025 14:31:23","2025-07-04 14:31:23","04-Jul-2025 14:31:24","00:00:01","https://nsearchives.nseindia.com/corporate/TAJGVK_04072025143103_RTAcertificate.pdf","302 KB"
"SOFTTECH","Softtech Engineers Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","Softtech Engineers Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","04-Jul-2025 14:30:38","2025-07-04 14:30:38","04-Jul-2025 14:30:39","00:00:01","https://nsearchives.nseindia.com/corporate/SOFTTECH_04072025143020_reg74final.pdf","1.07 MB"
"BIRLAMONEY","Aditya Birla Money Limited","General Updates","Aditya Birla Money Limited has informed the Exchange about General Updates -  Web-Link letter providing access to Annual Report FY 2024-25 has been sent to Shareholders on 03.07.2025.","04-Jul-2025 14:29:25","2025-07-04 14:29:25","04-Jul-2025 14:29:25","00:00:00","https://nsearchives.nseindia.com/corporate/BIRLAMONEY_04072025142721_WebLink_Letter_to_Shareholders_for_AR_24_25_04072025_Sgd.pdf","413 KB"
"BIOCON","Biocon Limited","Copy of Newspaper Publication","Biocon Limited has informed the Exchange about Copy of Newspaper Publication","04-Jul-2025 14:27:50","2025-07-04 14:27:50","04-Jul-2025 14:27:51","00:00:01","https://nsearchives.nseindia.com/corporate/Biocon2_04072025142736_IntimationPriorAGM.pdf","3.48 MB"
"VMART","V-Mart Retail Limited","Notice Of Shareholders Meetings-XBRL","V-Mart Retail Limited has informed the Exchange about Notice of Shareholders Meeting for Annual General Meeting to be held on 29-Jul-2025","04-Jul-2025 14:24:05","2025-07-04 14:24:05","04-Jul-2025 14:24:06","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/NOTICE_OF_SHAREHOLDERS_MEETINGS_1477247_04072025022405_WEB.xml","18 KB"
"INDIASHLTR","India Shelter Finance Corporation Limited","Copy of Newspaper Publication","India Shelter Finance Corporation Limited has informed the Exchange about Copy of Newspaper Publication","04-Jul-2025 14:21:28","2025-07-04 14:21:28","04-Jul-2025 14:21:29","00:00:01","https://nsearchives.nseindia.com/corporate/ISFC2010_04072025141950_Intimation_post_dispatch_publication.pdf","6.93 MB"
"RUBFILA","Rubfila International Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","Rubfila International Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","04-Jul-2025 14:13:20","2025-07-04 14:13:20","04-Jul-2025 14:13:21","00:00:01","https://nsearchives.nseindia.com/corporate/RUBFILA_04072025141302_ComplianceCertificateDP.pdf","2.91 MB"
"PVRINOX","PVR INOX Limited","General Updates","PVR INOX Limited has informed the Exchange about opening of 4 screen multiplex at SMR Vinay Mall, Ambedkar Nagar, Hafeezpet, Hyderabad, Telangana.","04-Jul-2025 14:12:43","2025-07-04 14:12:43","04-Jul-2025 14:12:44","00:00:01","https://nsearchives.nseindia.com/corporate/PVR_04072025141226_PVRINOXOpeningofscreens04072025.pdf","1017 KB"
"SHALBY","Shalby Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","Shalby Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018 - Reg. 74(5)","04-Jul-2025 14:10:40","2025-07-04 14:10:40","04-Jul-2025 14:10:41","00:00:01","https://nsearchives.nseindia.com/corporate/SHALBYLTD_04072025140031_19Cert745.pdf","483 KB"
"INDIASHLTR","India Shelter Finance Corporation Limited","Notice Of Shareholders Meetings-XBRL","INDIA SHELTER FINANCE CORPORATION LIMITED has informed the Exchange about Notice of Shareholders Meeting for Annual General Meeting to be held on 28-Jul-2025","04-Jul-2025 14:08:09","2025-07-04 14:08:09","04-Jul-2025 14:08:10","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/NOTICE_OF_SHAREHOLDERS_MEETINGS_1477243_04072025020808_WEB.xml","16 KB"
"ORIENTELEC","Orient Electric Limited","Copy of Newspaper Publication","Orient Electric Limited has informed the Exchange about Copy of Newspaper Publication","04-Jul-2025 14:07:53","2025-07-04 14:07:53","04-Jul-2025 14:07:54","00:00:01","https://nsearchives.nseindia.com/corporate/OEL_04072025140742_NewspaperPublication04072025.pdf","3.68 MB"
"IRB","IRB Infrastructure Developers Limited","Updates","IRB Infrastructure Developers Limited has informed the Exchange regarding 'Update on Non-Binding Offer from IRB Infrastructure Trust to IRB InvIT Fund'.","04-Jul-2025 14:06:59","2025-07-04 14:06:59","04-Jul-2025 14:06:59","00:00:00","https://nsearchives.nseindia.com/corporate/IRB_04072025140440_SE_Discl_Update_Zenith_sd.pdf","1012 KB"
"SUNDRMBRAK","Sundaram Brake Linings Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","Sundaram Brake Linings Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","04-Jul-2025 14:06:33","2025-07-04 14:06:33","04-Jul-2025 14:06:34","00:00:01","https://nsearchives.nseindia.com/corporate/SUNDRMBRAK_04072025140624_Reg7430062025.pdf","1003 KB"
"BIRLAMONEY","Aditya Birla Money Limited","Copy of Newspaper Publication","Aditya Birla Money Limited has informed the Exchange about Copy of Newspaper Publication","04-Jul-2025 14:05:41","2025-07-04 14:05:41","04-Jul-2025 14:05:42","00:00:01","https://nsearchives.nseindia.com/corporate/BIRLAMONEY_04072025140452_ABML_AGM_Post_Advt_04072025_Sgd.pdf","5.48 MB"
"MAHABANK","Bank of Maharashtra","Disclosure of material issue","Bank of Maharashtra has disclosed provisional business figures as on 30.06.2025","04-Jul-2025 14:01:15","2025-07-04 14:01:15","04-Jul-2025 14:01:16","00:00:01","https://nsearchives.nseindia.com/corporate/MAHABANK_04072025140057_LettertoSE_Provisional_Figures_04072025.pdf","210 KB"
"VMART","V-Mart Retail Limited","Shareholders meeting","V-Mart Retail Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 29, 2025","04-Jul-2025 13:57:10","2025-07-04 13:57:10","04-Jul-2025 13:57:11","00:00:01","https://nsearchives.nseindia.com/corporate/VMART_04072025135637_FinalNotice.pdf","1.06 MB"
"VINYLINDIA","Vinyl Chemicals (India) Limited","Copy of Newspaper Publication","Vinyl Chemicals (India) Limited has informed the Exchange about Copy of Newspaper Publication","04-Jul-2025 13:47:20","2025-07-04 13:47:20","04-Jul-2025 13:47:22","00:00:02","https://nsearchives.nseindia.com/corporate/VINYLINDIA_04072025134711_Vinyl_newspaper_AGM_Post.pdf","5.74 MB"
"MANAKCOAT","Manaksia Coated Metals & Industries Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","MANAKSIA COATED METALS & INDUSTRIES LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","04-Jul-2025 13:43:11","2025-07-04 13:43:11","04-Jul-2025 13:43:12","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CIM_59041_1477240_04072025014310_WEB.xml","3 KB"
"COMPINFO","Compuage Infocom Limited","Corporate Insolvency Resolution Process-XBRL","COMPUAGE INFOCOM LIMITED has informed the Exchange about Corporate Insolvency Resolution Process for the event related to Prior or Post-facto intimation of the meetings of Committee of Creditors","04-Jul-2025 13:37:44","2025-07-04 13:37:44","04-Jul-2025 13:37:45","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CIRP_1477232_04072025013743_WEB.xml","21 KB"
"STANLEY","Stanley Lifestyles Limited","Alteration Of Capital and Fund Raising-XBRL","STANLEY LIFESTYLES LIMITED has informed the Exchange regarding Allotment of Securities","04-Jul-2025 13:33:06","2025-07-04 13:33:06","04-Jul-2025 13:33:07","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1477231_04072025013305_WEB.xml","4 KB"
"ZYDUSWELL","Zydus Wellness Limited","General Updates","Zydus Wellness Limited has informed the Exchange about update on Special Leave Petition filed against Zydus Wellness Products Limited, a wholly owned subsidiary","04-Jul-2025 13:31:02","2025-07-04 13:31:02","04-Jul-2025 13:31:03","00:00:01","https://nsearchives.nseindia.com/corporate/ZYDUSWELL_04072025133049_SEIntimationReg04072025.pdf","675 KB"
"INNOVACAP","Innova Captab Limited","Shareholders meeting","Innova Captab Limited has informed the Exchange about Shareholders meeting","04-Jul-2025 13:28:15","2025-07-04 13:28:15","04-Jul-2025 13:28:15","00:00:00","https://nsearchives.nseindia.com/corporate/INNOVACAPTAB_04072025132702_Intimation_Annual_Reports_signed.pdf","8.92 MB"
"LLOYDSENT","Lloyds Enterprises Limited","Agreements,Contracts,Arrangements,MOU-XBRL","LLOYDS ENTERPRISES LIMITED has informed the Exchange regarding LLP Agreement","04-Jul-2025 13:18:01","2025-07-04 13:18:01","04-Jul-2025 13:18:02","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/ANN_AGREEMENT_1477230_04072025011800_WEB.xml","7 KB"
"KPIGREEN","KPI Green Energy Limited","Updates","KPI Green Energy Limited has informed the Exchange regarding 'repeat Letter of Award  for a total of 100 MW Solar Power Project under CPP Segment. Disclosure is attached herewith.'.","04-Jul-2025 13:14:20","2025-07-04 13:14:20","04-Jul-2025 13:14:22","00:00:02","https://nsearchives.nseindia.com/corporate/KPIGLOBAL_04072025131407_4_KPI_CPP_100MW_04072025_signed.pdf","363 KB"
"ARCHIES","Archies Limited","Resignation","Archies Limited has informed the Exchange regarding Resignation of  Mr. Arun Singhal as Non- Executive Independent Director of the company w.e.f. September 22, 2024.","04-Jul-2025 13:11:49","2025-07-04 13:11:49","04-Jul-2025 13:11:51","00:00:02","https://nsearchives.nseindia.com/corporate/pankaj_04072025131121_Intimation_of_Resignation_of_Arun_Singhal.pdf","819 KB"
"NUVAMA","Nuvama Wealth Management Limited","News Verification","The Exchange has sought clarification from Nuvama Wealth Management Limited with respect to recent news item captioned Jane Street effect: Nuvama shares slump 7% after Sebi order. What's the connection?.  The response from the Company is awaited.","04-Jul-2025 13:10:50","2025-07-04 13:10:50","04-Jul-2025 13:10:51","00:00:01","-","-"
