"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"TBOTEK","TBO Tek Limited","Analysts/Institutional Investor Meet/Con. Call Updates","TBO Tek Limited has informed the Exchange about Schedule of meet","10-Sep-2025 15:11:17","2025-09-10 15:11:17","10-Sep-2025 15:11:18","00:00:01","https://nsearchives.nseindia.com/corporate/7235938746_10092025151048_Schedule.pdf"
"PVP","PVP Ventures Limited","General Updates","PVP Ventures Limited has informed the Exchange about General Updates","10-Sep-2025 15:07:10","2025-09-10 15:07:10","10-Sep-2025 15:07:11","00:00:01","https://nsearchives.nseindia.com/corporate/Pvpchennai_10092025150640_Replynse_finalpricesensitivesigned.pdf"
"KICL","Kalyani Investment Company Limited","Copy of Newspaper Publication","Kalyani Investment Company Limited has informed the Exchange about Copy of Newspaper Publication","10-Sep-2025 15:06:40","2025-09-10 15:06:40","10-Sep-2025 15:06:41","00:00:01","https://nsearchives.nseindia.com/corporate/KICL_10092025150626_Reminder-1-NP_Publication_Special_Trading_Window_Physical_Trf-10092025.pdf"
"VMM","Vishal Mega Mart Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Vishal Mega Mart Limited has informed the Exchange about Schedule of meet","10-Sep-2025 15:04:48","2025-09-10 15:04:48","10-Sep-2025 15:04:48","00:00:00","https://nsearchives.nseindia.com/corporate/VMMP2024_10092025150338_Intimation_to_Stock_Exchanges_Investor_Meet_Sept_17_2025.pdf"
"DUCON","Ducon Infratechnologies Limited","Press Release","Ducon Infratechnologies Limited has informed the Exchange regarding a press release dated September 10, 2025, titled ""The Company hereby submits the press release under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"".","10-Sep-2025 15:00:25","2025-09-10 15:00:25","10-Sep-2025 15:00:25","00:00:00","https://nsearchives.nseindia.com/corporate/DUCON_10092025150011_finalCoveringandpressrelease.pdf"
"ASIANHOTNR","Asian Hotels (North) Limited","Credit Rating","Asian Hotels (North) Limited has informed the Exchange about Credit Rating","10-Sep-2025 14:59:58","2025-09-10 14:59:58","10-Sep-2025 14:59:59","00:00:01","https://nsearchives.nseindia.com/corporate/ASIANHOTNR_10092025144418_IntimatioofCreditrating10092025.pdf"
"TBZ","Tribhovandas Bhimji Zaveri Limited","Shareholders meeting","Tribhovandas Bhimji Zaveri Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 09, 2025","10-Sep-2025 14:58:45","2025-09-10 14:58:45","10-Sep-2025 14:58:45","00:00:00","https://nsearchives.nseindia.com/corporate/TBZ_10092025145742_TBZ_18AGM_Reg44_3_090925.pdf"
"CREDITACC","CREDITACCESS GRAMEEN LIMITED","Analysts/Institutional Investor Meet/Con. Call Updates","CREDITACCESS GRAMEEN LIMITED has informed the Exchange about Schedule of meet","10-Sep-2025 14:56:48","2025-09-10 14:56:48","10-Sep-2025 14:56:49","00:00:01","https://nsearchives.nseindia.com/corporate/CREDITACC_10092025145620_15092025_InvesterCall_Intimation.pdf"
"SERVOTECH","Servotech Renewable Power System Limited","Press Release","Servotech Renewable Power System Limited has informed the Exchange regarding a press release dated September 10, 2025, titled ""Servotech Renewable Power System Ltd. s Subsidiary Enters into an Agreement to Acquire Hertz & Pixelz"".","10-Sep-2025 14:53:19","2025-09-10 14:53:19","10-Sep-2025 14:53:20","00:00:01","https://nsearchives.nseindia.com/corporate/SERVOTECH_10092025144302_NSE.pdf"
"LEEL","LEEL Electricals Limited","Appointment","LEEL Electricals Limited has informed the Exchange regarding Appointment of Mr Kanwar Nitin Singh as Non- Executive Independent Director of the company w.e.f. September 10, 2025.","10-Sep-2025 14:53:01","2025-09-10 14:53:01","10-Sep-2025 14:53:02","00:00:01","https://nsearchives.nseindia.com/corporate/LEEL_10092025145238_BM_Outcome_10092025.pdf"
