"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"BALAJITELE","Balaji Telefilms Limited","General Updates","Balaji Telefilms Limited has informed the Exchange about the Composite Scheme of Arrangement becoming effective from June 20, 2025","20-Jun-2025 19:26:34","2025-06-20 19:26:34","20-Jun-2025 19:26:35","00:00:01","https://nsearchives.nseindia.com/corporate/BALAJITELE_20062025192544_SEdisclosurepostINC28.pdf","324 KB"
"EIHOTEL","EIH Limited","Analysts/Institutional Investor Meet/Con. Call Updates","EIH Limited has informed the Exchange about Schedule of meet","20-Jun-2025 19:26:33","2025-06-20 19:26:33","20-Jun-2025 19:26:34","00:00:01","https://nsearchives.nseindia.com/corporate/EIHOTEL01_20062025192357_EIH_Limited_STX_20062025.pdf","206 KB"
"GRPLTD","GRP Limited","Outcome of Board Meeting","GRP Limited has informed the Exchange regarding  Board meeting held on Jun 20, 2025.","20-Jun-2025 19:24:51","2025-06-20 19:24:51","20-Jun-2025 19:24:52","00:00:01","https://nsearchives.nseindia.com/corporate/GRPLTD_20062025192419_BM_Outcome_20062025.pdf","2.61 MB"
"BALAJITELE","Balaji Telefilms Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","BALAJI TELEFILMS LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","20-Jun-2025 19:21:48","2025-06-20 19:21:48","20-Jun-2025 19:21:49","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CIM_58232_1469207_20062025072147_WEB.xml","3 KB"
"RUSTOMJEE","Keystone Realtors Limited","Shareholders meeting","Keystone Realtors Limited has informed the Exchange regarding Notice of Postal Ballot","20-Jun-2025 19:21:39","2025-06-20 19:21:39","20-Jun-2025 19:21:39","00:00:00","https://nsearchives.nseindia.com/corporate/RUSTOMJEE_20062025192126_Postal_Ballot.pdf","599 KB"
"EIDPARRY","EID Parry India Limited","Alteration Of Capital and Fund Raising-XBRL","EID PARRY INDIA LIMITED has informed the Exchange regarding Allotment of Securities","20-Jun-2025 19:21:12","2025-06-20 19:21:12","20-Jun-2025 19:21:13","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1469205_20062025072111_WEB.xml","4 KB"
"ABHISHEK","Abhishek Corporation Limited","Trading Window","Abhishek Corporation Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","20-Jun-2025 19:21:05","2025-06-20 19:21:05","20-Jun-2025 19:21:06","00:00:01","https://nsearchives.nseindia.com/corporate/ABHISHEK_20062025192054_TWC.pdf","155 KB"
"UBL","United Breweries Limited","General Updates","United Breweries Limited has informed the Exchange about General Updates","20-Jun-2025 19:20:58","2025-06-20 19:20:58","20-Jun-2025 19:20:59","00:00:01","https://nsearchives.nseindia.com/corporate/UBLSJR_20062025192041_IntimationReminderLOU2025.pdf","244 KB"
"IRIS","Iris Business Services Limited","Change in Management","Iris Business Services Limited has informed the Exchange about change in Management","20-Jun-2025 19:20:53","2025-06-20 19:20:53","20-Jun-2025 19:20:54","00:00:01","https://nsearchives.nseindia.com/corporate/IRIS_20062025192040_IRIS_Outcome_BM_20June2025signed.pdf","325 KB"
"BALAJITELE","Balaji Telefilms Limited","Change in Management","Balaji Telefilms Limited has informed the Exchange regarding resignation of Group Head HR","20-Jun-2025 19:20:12","2025-06-20 19:20:12","20-Jun-2025 19:20:14","00:00:02","https://nsearchives.nseindia.com/corporate/BALAJITELE_20062025191940_Disclsmpchange.pdf","255 KB"
"ABHISHEK","Abhishek Corporation Limited","Trading Window-XBRL","Abhishek Corporation Limited has informed the Exchange about Closure of Trading Window","20-Jun-2025 19:18:44","2025-06-20 19:18:44","20-Jun-2025 19:18:45","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1469197_20062025071843_WEB.xml","2 KB"
"PARAGMILK","Parag Milk Foods Limited","Copy of Newspaper Publication","Parag Milk Foods Limited has informed the Exchange about Copy of Newspaper Publication","20-Jun-2025 19:17:37","2025-06-20 19:17:37","20-Jun-2025 19:17:38","00:00:01","https://nsearchives.nseindia.com/corporate/PARAGMILK_20062025191722_NewspaperIntimation-_.pdf","3.92 MB"
"RVNL","Rail Vikas Nigam Limited","Updates","Rail Vikas Nigam Limited has informed the Exchange regarding Change in the Senior Management- Re-Designation.","20-Jun-2025 19:15:53","2025-06-20 19:15:53","20-Jun-2025 19:15:54","00:00:01","https://nsearchives.nseindia.com/corporate/RVNL_20062025191543_Covering20062025.pdf","782 KB"
