"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"PRIVISCL","Privi Speciality Chemicals Limited","Trading Window-XBRL","Privi Speciality Chemicals Limited has informed the Exchange about Closure of Trading Window","27-Jun-2025 13:22:07","2025-06-27 13:22:07","27-Jun-2025 13:22:07","00:00:00","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1472849_27062025012206_WEB.xml","2 KB"
"HEXT","Hexaware Technologies Limited","Press Release","Hexaware Technologies Limited has informed the Exchange regarding a press release dated Jun 27, 2025, titled ""Hexaware Ranked #1 in Overall Client Satisfaction in Whitelane UK & Ireland IT Sourcing Study 2025"".","27-Jun-2025 13:20:14","2025-06-27 13:20:14","27-Jun-2025 13:20:15","00:00:01","https://nsearchives.nseindia.com/corporate/HEXAWARETECH_27062025132004_Press_Release_Today.pdf","310 KB"
"GPIL","Godawari Power And Ispat limited","Trading Window-XBRL","GODAWARI POWER AND ISPAT LIMITED has informed the Exchange about Closure of Trading Window","27-Jun-2025 13:19:53","2025-06-27 13:19:53","27-Jun-2025 13:19:55","00:00:02","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1472845_27062025011953_WEB.xml","2 KB"
"PRIVISCL","Privi Speciality Chemicals Limited","Trading Window","Privi Speciality Chemicals Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 13:19:46","2025-06-27 13:19:46","27-Jun-2025 13:19:48","00:00:02","https://nsearchives.nseindia.com/corporate/FAIRCHEMDP_27062025131919_LettertoBSEandNSETradingWindowClosureQ1.pdf","161 KB"
"MAHLIFE","Mahindra Lifespace Developers Limited","Press Release","Mahindra Lifespace Developers Limited has informed the Exchange regarding a press release dated Jun 26, 2025, titled """"Mahindra Lifespaces wins Mulund West redevelopment project worth &#8377;1,250 Crore"""".This is only an update on intimation and no change in the Press Release","27-Jun-2025 13:18:27","2025-06-27 13:18:27","27-Jun-2025 13:18:28","00:00:01","https://nsearchives.nseindia.com/corporate/MAHLIFE1_27062025131814_MLDL_ST_Pius_Intimationsgd.pdf","960 KB"
"DIXON","Dixon Technologies (India) Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Dixon Technologies (India) Limited has informed the Exchange about Investor Meet Outcome","27-Jun-2025 13:18:16","2025-06-27 13:18:16","27-Jun-2025 13:18:16","00:00:00","https://nsearchives.nseindia.com/corporate/DIXON_27062025131802_InvestorMeetOutcome27062025.pdf","636 KB"
"UNITEDPOLY","United Polyfab Gujarat Limited","Reply to Clarification- Financial results","The Exchange had sought clarification from United Polyfab Gujarat Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company was required to clarify the following:   -1. Consolidated Reconciliation of profit and loss not submitted The response of the Company is enclosed.","27-Jun-2025 13:17:58","2025-06-27 13:17:58","27-Jun-2025 13:18:00","00:00:02","https://nsearchives.nseindia.com/corporate/UNITEDPOLY_23062025162446_FinalFR.pdf","8.55 MB"
"SUVIDHAA","Suvidhaa Infoserve Limited","Trading Window-XBRL","SUVIDHAA INFOSERVE LIMITED has informed the Exchange about Closure of Trading Window","27-Jun-2025 13:15:56","2025-06-27 13:15:56","27-Jun-2025 13:15:57","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1472844_27062025011555_WEB.xml","2 KB"
"SBFC","SBFC Finance Limited","Change in Management","SBFC Finance Limited has informed the Exchange about change in Senior Management Personnel","27-Jun-2025 13:15:29","2025-06-27 13:15:29","27-Jun-2025 13:15:30","00:00:01","https://nsearchives.nseindia.com/corporate/SBFC_27062025131130_BSENSESMPINTIMATION.pdf","1.72 MB"
"MAHLIFE","Mahindra Lifespace Developers Limited","Disclosure of material issue","Mahindra Lifespace Developers Limited has informed regarding Disclosure of material issue","27-Jun-2025 13:15:27","2025-06-27 13:15:27","27-Jun-2025 13:15:28","00:00:01","https://nsearchives.nseindia.com/corporate/MAHLIFE1_27062025131448_MLDL_ST_Pius_Intimationsgd.pdf","960 KB"
"SUVIDHAA","Suvidhaa Infoserve Limited","Trading Window","Suvidhaa Infoserve Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 13:14:16","2025-06-27 13:14:16","27-Jun-2025 13:14:16","00:00:00","https://nsearchives.nseindia.com/corporate/SUVIDHAA_27062025131404_TradingWindowClosureQ1FY26.pdf","587 KB"
"KALAMANDIR","Sai Silks (Kalamandir) Limited","Trading Window-XBRL","SAI SILKS (KALAMANDIR) LIMITED has informed the Exchange about Closure of Trading Window","27-Jun-2025 13:13:44","2025-06-27 13:13:44","27-Jun-2025 13:13:45","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1472843_27062025011343_WEB.xml","2 KB"
"NGLFINE","NGL Fine-Chem Limited","Trading Window","NGL Fine-Chem Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 13:13:10","2025-06-27 13:13:10","27-Jun-2025 13:13:11","00:00:01","https://nsearchives.nseindia.com/corporate/NGL2022_27062025131232_Windowclosure.pdf","150 KB"
"SEJALLTD","Sejal Glass Limited","Trading Window","Sejal Glass Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 13:13:05","2025-06-27 13:13:05","27-Jun-2025 13:13:06","00:00:01","https://nsearchives.nseindia.com/corporate/SEJALLTD_27062025131256_Intimation_to_SE.pdf","570 KB"
"PGHH","Procter & Gamble Hygiene and Health Care Limited","Trading Window","Procter & Gamble Hygiene and Health Care Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 13:12:45","2025-06-27 13:12:45","27-Jun-2025 13:12:46","00:00:01","https://nsearchives.nseindia.com/corporate/PGHH_27062025131239_PGHH_Trading_window_closure_letter_30062025.pdf","262 KB"
"BDL","Bharat Dynamics Limited","Trading Window-XBRL","BHARAT DYNAMICS LIMITED has informed the Exchange about Closure of Trading Window","27-Jun-2025 13:12:35","2025-06-27 13:12:35","27-Jun-2025 13:12:36","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1472842_27062025011235_WEB.xml","2 KB"
"KALAMANDIR","Sai Silks (Kalamandir) Limited","Trading Window","Sai Silks (Kalamandir) Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","27-Jun-2025 13:12:16","2025-06-27 13:12:16","27-Jun-2025 13:12:17","00:00:01","https://nsearchives.nseindia.com/corporate/SSKL_27062025131207_TWCClosure.pdf","2.46 MB"
"NGLFINE","NGL Fine-Chem Limited","Trading Window-XBRL","NGL FINE-CHEM LIMITED has informed the Exchange about Closure of Trading Window","27-Jun-2025 13:10:41","2025-06-27 13:10:41","27-Jun-2025 13:10:43","00:00:02","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1472841_27062025011041_WEB.xml","2 KB"
