"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"DENTA","Denta Water and Infra Solutions Limited","Trading Window-XBRL","DENTA WATER AND INFRA SOLUTIONS LIMITED has informed the Exchange about Closure of Trading Window","30-Jun-2025 23:16:09","2025-06-30 23:16:09","30-Jun-2025 23:16:10","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1475353_30062025111608_WEB.xml","2 KB"
"PAKKA","PAKKA LIMITED","Updates","PAKKA LIMITED has informed the Exchange regarding 'Intimation of Appointment of Ms. Dinika Bhatia (DIN: 02724172) as an Additional Director (Independent) under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 read with Para A of Part A of Schedule III to the said Regulations'.","30-Jun-2025 23:02:53","2025-06-30 23:02:53","30-Jun-2025 23:02:55","00:00:02","https://nsearchives.nseindia.com/corporate/yashpakka_30062025230240_2506_Disclosure_of.pdf","4.94 MB"
"GABRIEL","Gabriel India Limited","General Updates","Gabriel India Limited has informed the Exchange about Business Update Presentation on Composite Scheme of Arrangement","30-Jun-2025 23:02:04","2025-06-30 23:02:04","30-Jun-2025 23:02:05","00:00:01","https://nsearchives.nseindia.com/corporate/GABRIEL_30062025230107_SEIntimationbusinessupdatepresentationsigned.pdf","1.28 MB"
"MAHSCOOTER","Maharashtra Scooters Limited","General Updates","Maharashtra Scooters Limited has informed the Exchange about Business Responsibility and Sustainability Report for FY2025","30-Jun-2025 23:01:28","2025-06-30 23:01:28","30-Jun-2025 23:01:30","00:00:02","https://nsearchives.nseindia.com/corporate/MAHSCOOTER_30062025230115_SignMSLFinalintimationBRSR.pdf","451 KB"
"AGSTRA","AGS Transact Technologies Limited","Trading Window-XBRL","AGS Transact Technologies Limited has informed the Exchange about Closure of Trading Window","30-Jun-2025 22:58:16","2025-06-30 22:58:16","30-Jun-2025 22:58:18","00:00:02","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1475348_30062025105815_WEB.xml","2 KB"
"MAHSCOOTER","Maharashtra Scooters Limited","Shareholders meeting","Maharashtra Scooters Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 23, 2025","30-Jun-2025 22:57:13","2025-06-30 22:57:13","30-Jun-2025 22:57:13","00:00:00","https://nsearchives.nseindia.com/corporate/MAHSCOOTER_30062025225656_FinalAGMIntimation.pdf","8.85 MB"
"AGSTRA","AGS Transact Technologies Limited","Trading Window","AGS Transact Technologies Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","30-Jun-2025 22:56:12","2025-06-30 22:56:12","30-Jun-2025 22:56:13","00:00:01","https://nsearchives.nseindia.com/corporate/AGSTRA_30062025225421_AGSTTLIntimationClosureoftradingwindow30June2025.pdf","760 KB"
"SYNGENE","Syngene International Limited","Shareholders meeting","Syngene International Limited has informed the Exchange regarding voting results of  Postal Ballot","30-Jun-2025 22:53:18","2025-06-30 22:53:18","30-Jun-2025 22:53:18","00:00:00","https://nsearchives.nseindia.com/corporate/SYNGENE3_30062025225233_VotingResultsScrutinizerReport.pdf","1.30 MB"
"SYNGENE","Syngene International Limited","Shareholders meeting","Syngene International Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot","30-Jun-2025 22:50:52","2025-06-30 22:50:52","30-Jun-2025 22:50:52","00:00:00","https://nsearchives.nseindia.com/corporate/SYNGENE3_30062025224931_VotingResultsScrutinizerReport.pdf","1.30 MB"
"ADANIGREEN","Adani Green Energy Limited","Updates","Adani Green Energy Limited has informed the Exchange regarding 'Operationalization of Projects'.","30-Jun-2025 22:49:39","2025-06-30 22:49:39","30-Jun-2025 22:49:40","00:00:01","https://nsearchives.nseindia.com/corporate/ADANIGREEN_30062025224813_Letters.pdf","129 KB"
"ORIENTCEM","Orient Cement Limited","Shareholders meeting","Orient Cement Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results.","30-Jun-2025 22:46:45","2025-06-30 22:46:45","30-Jun-2025 22:46:45","00:00:00","https://nsearchives.nseindia.com/corporate/ORIENTCEM_30062025224321_FinalSEPBResults.pdf","3.56 MB"
"PEL","Piramal Enterprises Limited","Shareholders meeting","Piramal Enterprises Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on June 30, 2025. Further, the company has submitted the Exchange a copy of Srutinizers report and Voting Results in Regulation 44(3).","30-Jun-2025 22:41:15","2025-06-30 22:41:15","30-Jun-2025 22:41:15","00:00:00","https://nsearchives.nseindia.com/corporate/PEL_30062025224040_SE_Cover_Letter_Voting_Proceedings_2025_sd.pdf","9.27 MB"
"GRINDWELL","Grindwell Norton Limited","Notice Of Shareholders Meetings-XBRL","Grindwell Norton Limited has informed the Exchange about Notice of Shareholders Meeting for Annual General Meeting to be held on 25-Jul-2025","30-Jun-2025 22:38:58","2025-06-30 22:38:58","30-Jun-2025 22:38:59","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/NOTICE_OF_SHAREHOLDERS_MEETINGS_1475342_30062025103857_WEB.xml","14 KB"
"PENINLAND","Peninsula Land Limited","Credit Rating- Others","Peninsula Land Limited has informed the Exchange about Credit Rating- Others","30-Jun-2025 22:37:34","2025-06-30 22:37:34","30-Jun-2025 22:37:35","00:00:01","https://nsearchives.nseindia.com/corporate/PENINLAND_30062025223718_REGULATION_30_CREDIT_RATING.pdf","722 KB"
"GRINDWELL","Grindwell Norton Limited","Trading Window-XBRL","Grindwell Norton Limited has informed the Exchange about Closure of Trading Window","30-Jun-2025 22:34:31","2025-06-30 22:34:31","30-Jun-2025 22:34:32","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1475336_30062025103430_WEB.xml","2 KB"
"HEXT","Hexaware Technologies Limited","General Updates","Hexaware Technologies Limited has informed the Exchange about allotment of shares under ESOP","30-Jun-2025 22:33:43","2025-06-30 22:33:43","30-Jun-2025 22:33:44","00:00:01","https://nsearchives.nseindia.com/corporate/HEXAWARETECH_30062025223319_Intimation.pdf","722 KB"
