"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"BHARATFORG","Bharat Forge Limited","Shareholders meeting","Bharat Forge Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot","23-Jun-2025 15:22:50","2025-06-23 15:22:50","23-Jun-2025 15:22:50","00:00:00","https://nsearchives.nseindia.com/corporate/ANILSHINDE_23062025152028_SEIntimationEvotingResults.pdf","3.97 MB"
"MITCON","MITCON Consultancy & Engineering Services Limited","Trading Window","MITCON Consultancy & Engineering Services Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","23-Jun-2025 15:22:21","2025-06-23 15:22:21","23-Jun-2025 15:22:23","00:00:02","https://nsearchives.nseindia.com/corporate/MITCON_23062025152201_IntimationofTradingWindowClosure.pdf","399 KB"
"LCCINFOTEC","LCC Infotech Limited","Appointment","LCC Infotech Limited has informed the Exchange regarding Appointment of Mrs Rachna Suman Shaw as Additional Director of the company w.e.f. Jun 23, 2025.","23-Jun-2025 15:21:51","2025-06-23 15:21:51","23-Jun-2025 15:21:53","00:00:02","https://nsearchives.nseindia.com/corporate/LCCINFOTEC_23062025152139_OUTCOME_OF_BM.pdf","1.40 MB"
"HUBTOWN","Hubtown Limited","Trading Window","Hubtown Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","23-Jun-2025 15:21:00","2025-06-23 15:21:00","23-Jun-2025 15:21:01","00:00:01","https://nsearchives.nseindia.com/corporate/HUBTOWN_23062025152034_Closure_of_Rdaing_WIndow_June_25s.pdf","181 KB"
"PGHH","Procter & Gamble Hygiene and Health Care Limited","Appointment","Procter & Gamble Hygiene and Health Care Limited has informed the Exchange regarding Appointment of  Mr. Gaurav Bhartia as Chief Financial Officer of the company w.e.f. July 01, 2025.","23-Jun-2025 15:18:06","2025-06-23 15:18:06","23-Jun-2025 15:18:07","00:00:01","https://nsearchives.nseindia.com/corporate/PGHH_23062025151751_PGHH_SE_letter-_Resignation_of_CFO_and_appointment.pdf","409 KB"
"PGHH","Procter & Gamble Hygiene and Health Care Limited","Cessation","Procter & Gamble Hygiene and Health Care Limited has informed the Exchange regarding resignation of  Ms. Mrinalini Srinivasan as Chief Financial Officer of the company w.e.f. Jun 30, 2025.","23-Jun-2025 15:18:06","2025-06-23 15:18:06","23-Jun-2025 15:18:07","00:00:01","https://nsearchives.nseindia.com/corporate/PGHH_23062025151627_PGHH_SE_letter-_Resignation_of_CFO_and_appointment.pdf","409 KB"
"KIOCL","KIOCL Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","KIOCL LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","23-Jun-2025 15:16:26","2025-06-23 15:16:26","23-Jun-2025 15:16:27","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CIM_58265_1469597_23062025031626_WEB.xml","3 KB"
"KIOCL","KIOCL Limited","Appointment","KIOCL Limited has informed the Exchange regarding Appointment of Mr Gopalkrishnan Ganesan as Non- Executive Director of the company w.e.f. Jun 11, 2025.","23-Jun-2025 15:15:34","2025-06-23 15:15:34","23-Jun-2025 15:15:35","00:00:01","https://nsearchives.nseindia.com/corporate/KIOCL_23062025151527_Letter_to_SE-Final.pdf","1.15 MB"
"PGHH","Procter & Gamble Hygiene and Health Care Limited","General Updates","Procter & Gamble Hygiene and Health Care Limited has informed the Exchange about Change in Chief Financial officer of the Company","23-Jun-2025 15:12:49","2025-06-23 15:12:49","23-Jun-2025 15:12:50","00:00:01","https://nsearchives.nseindia.com/corporate/PGHH_23062025151219_PGHH_SE_letter-_Resignation_of_CFO_and_appointment.pdf","409 KB"
"DRREDDY","Dr. Reddy's Laboratories Limited","Alteration Of Capital and Fund Raising-XBRL","DR. REDDY'S LABORATORIES LIMITED has informed the Exchange regarding Allotment of Securities","23-Jun-2025 15:12:41","2025-06-23 15:12:41","23-Jun-2025 15:12:43","00:00:02","https://nsearchives.nseindia.com/corporate/xbrl/ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1469595_23062025031241_WEB.xml","4 KB"
"LTFOODS","LT Foods Limited","Analysts/Institutional Investor Meet/Con. Call Updates","LT Foods Limited has informed the Exchange about Schedule of meet","23-Jun-2025 15:10:33","2025-06-23 15:10:33","23-Jun-2025 15:10:34","00:00:01","https://nsearchives.nseindia.com/corporate/532783_23062025151022_InvestorCall.pdf","444 KB"
"XPROINDIA","Xpro India Limited","Trading Window-XBRL","XPRO INDIA LIMITED has informed the Exchange about Closure of Trading Window","23-Jun-2025 15:10:26","2025-06-23 15:10:26","23-Jun-2025 15:10:27","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1469592_23062025031025_WEB.xml","2 KB"
"TDPOWERSYS","TD Power Systems Limited","Trading Window","TD Power Systems Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","23-Jun-2025 15:08:52","2025-06-23 15:08:52","23-Jun-2025 15:08:53","00:00:01","https://nsearchives.nseindia.com/corporate/TDPOWERSYS_23062025150840_Trading_Window_Closure-sg.pdf","533 KB"
"XPROINDIA","Xpro India Limited","Trading Window","Xpro India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","23-Jun-2025 15:07:59","2025-06-23 15:07:59","23-Jun-2025 15:08:00","00:00:01","https://nsearchives.nseindia.com/corporate/XPROINDIASKD_23062025150751_Closure_of_TW_23062025.pdf","522 KB"
"DRREDDY","Dr. Reddy's Laboratories Limited","ESOP/ESOS/ESPS","Dr. Reddy's Laboratories Limited has informed the Exchange regarding Allotment of 10685  Shares.","23-Jun-2025 15:07:58","2025-06-23 15:07:58","23-Jun-2025 15:07:59","00:00:01","https://nsearchives.nseindia.com/corporate/DRREDDY_23062025150746_SEIntimation_AllotmentofESOP_23062025_final_Signed.pdf","671 KB"
"SCI","Shipping Corporation Of India Limited","General Updates","Shipping Corporation Of India Limited has informed the Exchange about 'Disclosure under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 -Communication made to Physical Shareholders for updating KYC details'","23-Jun-2025 15:06:20","2025-06-23 15:06:20","23-Jun-2025 15:06:21","00:00:01","https://nsearchives.nseindia.com/corporate/SCI1_23062025145817_SEIntimationforKYC_Signed_1.pdf","629 KB"
"LTFOODS","LT Foods Limited","Analysts/Institutional Investor Meet/Con. Call Updates","LT Foods Limited has informed the Exchange about Schedule of meet","23-Jun-2025 15:05:45","2025-06-23 15:05:45","23-Jun-2025 15:05:47","00:00:02","https://nsearchives.nseindia.com/corporate/532783_23062025150530_InvestorsCall.pdf","430 KB"
"VAKRANGEE","Vakrangee Limited","Press Release","Vakrangee Limited has informed the Exchange regarding a press release dated Jun 23, 2025, titled ""VAKRANGEE LIMITED ENTERS INTO A STRATEGIC DISTRIBUTION PARTNERSHIP WITH AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED"".","23-Jun-2025 15:03:53","2025-06-23 15:03:53","23-Jun-2025 15:03:53","00:00:00","https://nsearchives.nseindia.com/corporate/VAKRANGEE_23062025150341_Press_release_-Partnership_with_Ageas_Federal_Life_Insurance_Signed.pdf","964 KB"
"ESTER","Ester Industries Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Ester Industries Limited has informed the Exchange about Schedule of meet","23-Jun-2025 15:02:59","2025-06-23 15:02:59","23-Jun-2025 15:03:00","00:00:01","https://nsearchives.nseindia.com/corporate/ESTER_23062025150248_DisclosurePlantVisit.pdf","1.78 MB"
"RICOAUTO","Rico Auto Industries Limited","Trading Window-XBRL","RICO AUTO INDUSTRIES LIMITED has informed the Exchange about Closure of Trading Window","23-Jun-2025 15:01:37","2025-06-23 15:01:37","23-Jun-2025 15:01:38","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1469585_23062025030136_WEB.xml","2 KB"
"PRAXIS","Praxis Home Retail Limited","Trading Window-XBRL","Praxis Home Retail Limited has informed the Exchange about Closure of Trading Window","23-Jun-2025 15:01:20","2025-06-23 15:01:20","23-Jun-2025 15:01:21","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1469584_23062025030119_WEB.xml","2 KB"
