Date,Close,High,Low,Open,Volume
2025-01-01,94350.2,94895.8,93408.3,94097.3,0
2025-01-02,96858.3,97709.7,94124.2,94358.2,0
2025-01-03,98074.7,98914.7,95983.7,96859.4,0
2025-01-04,98144.7,98695.9,97459.2,98074.6,0
2025-01-05,98312.1,98783.9,97184.9,98145.3,0
2025-01-06,102227.2,102462.1,97878.2,98312.4,0
2025-01-07,96908.4,102684.0,96074.1,102227.9,0
2025-01-08,95012.1,97213.3,92435.5,96906.1,0
2025-01-09,92511.6,95305.5,91157.1,95007.9,0
2025-01-10,94636.0,95797.8,92184.6,92511.0,0
2025-01-11,94504.8,94918.5,93759.8,94636.3,0
2025-01-12,94472.4,95318.7,93605.2,94504.8,0
2025-01-13,94478.8,95831.9,89161.4,94472.6,0
2025-01-14,96496.7,97312.1,94296.6,94477.5,0
2025-01-15,100475.5,100677.8,96429.0,96498.1,0
2025-01-16,99934.7,100831.4,97267.0,100476.9,0
2025-01-17,104041.9,105898.8,99885.4,99940.2,0
2025-01-18,104369.9,104868.0,102168.3,104041.9,0
2025-01-19,101196.3,106249.3,99501.9,104369.9,0
2025-01-20,102103.1,109285.6,99425.2,101196.3,0
2025-01-21,106112.9,107243.9,100035.6,102103.0,0
2025-01-22,103626.9,106366.2,103286.6,106113.4,0
2025-01-23,103887.4,106829.1,101193.8,103626.4,0
2025-01-24,104798.4,107131.7,102717.6,103886.5,0
2025-01-25,104668.4,105228.8,104042.2,104802.7,0
2025-01-26,102558.9,105397.3,102441.9,104668.5,0
2025-01-27,102026.1,103202.4,97682.7,102558.9,0
2025-01-28,101252.9,103721.4,100173.7,102027.7,0
2025-01-29,103708.9,104756.2,101237.9,101241.0,0
2025-01-30,104702.7,106419.4,103264.3,103708.8,0
2025-01-31,102349.2,106036.4,101464.8,104701.1,0
2025-02-01,100563.7,102716.5,100194.7,102349.2,0
2025-02-02,97632.9,101394.7,96126.1,100563.7,0
2025-02-03,101417.4,102529.9,91450.7,97633.5,0
2025-02-04,97711.7,101757.8,96109.7,101417.6,0
2025-02-05,96538.7,99165.2,96106.7,97711.7,0
2025-02-06,96522.4,99099.7,95650.1,96538.7,0
2025-02-07,96471.9,100169.9,95580.2,96526.8,0
2025-02-08,96411.1,96853.9,95629.9,96471.8,0
