Date,Close,High,Low,Open,Volume
2022-01-03 09:15:00,17473.2,17474.65,17387.15,17387.15,0
2022-01-03 09:20:00,17439.2,17478.1,17438.9,17470.95,0
2022-01-03 09:25:00,17462.35,17463.8,17436.35,17439.75,0
2022-01-03 09:30:00,17462.8,17473.1,17450.75,17463.2,0
2022-01-03 09:35:00,17473.5,17475.05,17461.4,17463.0,0
2022-01-03 09:40:00,17463.35,17474.35,17460.85,17473.55,0
2022-01-03 09:45:00,17484.8,17484.8,17461.0,17463.1,0
2022-01-03 09:50:00,17493.95,17497.35,17482.4,17484.9,0
2022-01-03 09:55:00,17497.5,17498.2,17485.25,17492.85,0
2022-01-03 10:00:00,17496.65,17499.25,17486.25,17496.3,0
2022-01-03 10:05:00,17493.2,17496.4,17486.55,17496.0,0
2022-01-03 10:10:00,17498.1,17501.65,17490.5,17493.3,0
2022-01-03 10:15:00,17491.8,17499.45,17488.0,17499.45,0
2022-01-03 10:20:00,17509.55,17510.55,17490.0,17491.95,0
2022-01-03 10:25:00,17512.75,17517.85,17509.65,17509.65,0
2022-01-03 10:30:00,17519.75,17526.55,17509.95,17512.8,0
2022-01-03 10:35:00,17507.3,17520.5,17507.3,17518.8,0
2022-01-03 10:40:00,17510.15,17513.2,17506.65,17506.65,0
2022-01-03 10:45:00,17509.4,17513.9,17506.6,17510.45,0
2022-01-03 10:50:00,17512.45,17518.55,17508.55,17510.0,0
2022-01-03 10:55:00,17517.3,17520.25,17510.55,17513.5,0
2022-01-03 11:00:00,17516.55,17521.05,17512.8,17518.9,0
2022-01-03 11:05:00,17511.1,17521.0,17511.1,17517.65,0
2022-01-03 11:10:00,17527.65,17527.9,17510.4,17512.1,0
2022-01-03 11:15:00,17525.2,17531.4,17516.45,17528.35,0
2022-01-03 11:20:00,17526.05,17528.8,17521.7,17525.4,0
2022-01-03 11:25:00,17523.6,17527.8,17522.25,17525.95,0
2022-01-03 11:30:00,17518.65,17524.7,17512.0,17523.4,0
2022-01-03 11:35:00,17519.85,17527.35,17516.05,17519.2,0
2022-01-03 11:40:00,17527.95,17532.7,17519.5,17520.1,0
2022-01-03 11:45:00,17524.35,17528.25,17521.4,17527.9,0
2022-01-03 11:50:00,17527.6,17528.25,17521.2,17524.0,0
2022-01-03 11:55:00,17531.2,17531.2,17521.2,17527.6,0
2022-01-03 12:00:00,17519.65,17534.0,17518.85,17530.9,0
2022-01-03 12:05:00,17518.8,17523.3,17516.75,17519.35,0
2022-01-03 12:10:00,17525.35,17527.15,17516.45,17518.5,0
2022-01-03 12:15:00,17537.65,17538.5,17523.7,17523.7,0
2022-01-03 12:20:00,17543.45,17545.1,17537.1,17538.0,0
2022-01-03 12:25:00,17545.0,17545.35,17540.55,17543.4,0
2022-01-03 12:30:00,17550.75,17556.5,17544.3,17544.55,0
2022-01-03 12:35:00,17561.35,17563.05,17551.05,17551.05,0
2022-01-03 12:40:00,17566.4,17578.95,17558.25,17561.2,0
2022-01-03 12:45:00,17573.4,17576.25,17565.1,17566.5,0
2022-01-03 12:50:00,17568.25,17574.85,17565.55,17573.85,0
2022-01-03 12:55:00,17570.05,17571.0,17561.85,17568.45,0
2022-01-03 13:00:00,17572.5,17575.5,17569.4,17570.05,0
2022-01-03 13:05:00,17572.85,17576.05,17568.5,17571.6,0
