Date,Close,High,Low,Open,Volume
2024-12-20 09:15:00,23923.3,23990.85,23887.9,23960.7,0
2024-12-20 09:20:00,23904.15,23936.1,23902.75,23925.5,0
2024-12-20 09:25:00,23913.0,23930.4,23892.7,23903.4,0
2024-12-20 09:30:00,23932.3,23935.5,23904.1,23913.3,0
2024-12-20 09:35:00,24032.1,24032.1,23922.75,23930.75,0
2024-12-20 09:40:00,24045.95,24065.8,24021.3,24032.15,0
2024-12-20 09:45:00,23862.65,24051.85,23854.5,24048.3,0
2024-12-20 09:50:00,23873.55,23894.6,23826.65,23863.05,0
2024-12-20 09:55:00,23847.9,23897.4,23844.85,23872.55,0
2024-12-20 10:00:00,23848.4,23863.8,23827.9,23844.4,0
2024-12-20 10:05:00,23815.35,23845.75,23807.3,23845.25,0
2024-12-20 10:10:00,23850.4,23862.6,23812.65,23815.6,0
2024-12-20 10:15:00,23944.9,23960.8,23835.15,23851.3,0
2024-12-20 10:20:00,23881.4,23948.75,23876.05,23943.75,0
2024-12-20 10:25:00,23894.7,23912.3,23868.1,23882.65,0
2024-12-20 10:30:00,23926.75,23949.1,23898.45,23898.45,0
2024-12-20 10:35:00,23944.6,23950.8,23918.5,23927.75,0
2024-12-20 10:40:00,23936.05,23962.9,23923.65,23944.6,0
2024-12-20 10:45:00,23933.1,23941.2,23909.95,23935.8,0
2024-12-20 10:50:00,23980.5,23993.9,23932.3,23932.85,0
2024-12-20 10:55:00,23956.0,23981.9,23951.5,23979.85,0
2024-12-20 11:00:00,23954.0,23969.95,23945.35,23955.75,0
2024-12-20 11:05:00,23969.3,23972.6,23949.15,23953.5,0
2024-12-20 11:10:00,23958.9,23976.3,23957.0,23967.95,0
2024-12-20 11:15:00,23908.85,23961.3,23901.35,23958.9,0
2024-12-20 11:20:00,23920.3,23939.8,23907.9,23908.2,0
2024-12-20 11:25:00,23912.9,23930.65,23908.45,23920.35,0
2024-12-20 11:30:00,23909.95,23915.6,23892.3,23912.7,0
2024-12-20 11:35:00,23918.7,23925.9,23906.2,23911.2,0
2024-12-20 11:40:00,23913.6,23926.4,23909.85,23918.65,0
2024-12-20 11:45:00,23921.85,23928.2,23908.5,23914.4,0
2024-12-20 11:50:00,23920.9,23932.65,23914.7,23921.8,0
2024-12-20 11:55:00,23939.5,23943.65,23915.7,23920.45,0
2024-12-20 12:00:00,23930.35,23945.25,23925.0,23939.85,0
2024-12-20 12:05:00,23912.8,23934.0,23906.95,23930.6,0
2024-12-20 12:10:00,23889.1,23918.65,23888.2,23915.6,0
2024-12-20 12:15:00,23857.05,23889.2,23840.9,23889.2,0
2024-12-20 12:20:00,23847.45,23861.35,23820.35,23858.0,0
2024-12-20 12:25:00,23841.0,23862.35,23836.7,23849.65,0
2024-12-20 12:30:00,23846.8,23854.85,23832.1,23841.75,0
2024-12-20 12:35:00,23843.2,23861.05,23837.3,23847.15,0
2024-12-20 12:40:00,23801.35,23846.15,23796.35,23843.95,0
2024-12-20 12:45:00,23768.7,23813.3,23762.0,23801.35,0
2024-12-20 12:50:00,23756.95,23772.3,23746.55,23767.5,0
2024-12-20 12:55:00,23756.1,23771.3,23749.7,23757.65,0
2024-12-20 13:00:00,23734.6,23771.0,23726.5,23756.05,0
