Date,Close,High,Low,Open,Volume
2025-01-01,2623.555,2626.005,2621.475,2625.098,0
2025-01-02,2658.295,2660.375,2622.448,2623.655,0
2025-01-03,2639.898,2665.185,2636.625,2658.275,0
2025-01-05,2640.848,2642.235,2638.815,2639.298,0
2025-01-06,2634.465,2649.305,2614.365,2640.835,0
2025-01-07,2649.555,2664.098,2632.775,2634.548,0
2025-01-08,2662.475,2669.844,2645.095,2649.465,0
2025-01-09,2669.795,2678.395,2655.305,2662.475,0
2025-01-10,2689.755,2697.709,2663.205,2669.865,0
2025-01-12,2690.868,2690.868,2687.189,2690.155,0
2025-01-13,2667.675,2693.245,2656.615,2690.819,0
2025-01-14,2675.415,2679.198,2659.645,2667.675,0
2025-01-15,2694.625,2697.448,2669.315,2675.455,0
2025-01-16,2714.448,2724.565,2689.725,2694.625,0
2025-01-17,2702.645,2717.375,2698.445,2714.355,0
2025-01-19,2696.245,2702.765,2690.875,2701.105,0
2025-01-20,2710.205,2713.655,2689.308,2696.185,0
2025-01-21,2744.058,2745.848,2702.745,2710.179,0
2025-01-22,2755.188,2763.205,2742.455,2744.058,0
2025-01-23,2754.365,2758.655,2735.665,2755.098,0
2025-01-24,2769.805,2785.825,2754.075,2754.375,0
2025-01-26,2767.285,2770.405,2764.455,2770.305,0
2025-01-27,2741.615,2772.415,2730.529,2767.278,0
2025-01-28,2762.545,2764.875,2734.738,2741.615,0
2025-01-29,2760.035,2765.985,2745.0,2762.575,0
2025-01-30,2795.965,2798.305,2758.475,2760.035,0
2025-01-31,2798.085,2816.935,2790.895,2795.948,0
2025-02-02,2792.545,2803.148,2782.548,2793.987,0
2025-02-03,2813.548,2830.305,2771.885,2792.108,0
2025-02-04,2841.035,2845.335,2806.925,2813.525,0
2025-02-05,2868.985,2882.215,2839.335,2841.095,0
2025-02-06,2857.835,2873.085,2833.955,2868.985,0
2025-02-07,2860.135,2886.605,2852.085,2857.845,0
2025-02-09,2867.198,2870.305,2854.448,2858.065,0
2025-02-10,2917.655,2921.455,2865.558,2867.198,0
2025-02-11,2898.375,2942.665,2881.635,2917.685,0
2025-02-12,2905.498,2909.035,2863.685,2898.375,0
2025-02-13,2930.935,2932.215,2901.188,2905.498,0
2025-02-14,2882.085,2939.935,2876.805,2930.935,0
2025-02-16,2879.075,2893.405,2878.015,2881.745,0
2025-02-17,2899.175,2906.215,2879.095,2879.095,0
2025-02-18,2933.778,2936.825,2891.775,2899.135,0
2025-02-19,2935.085,2946.865,2918.365,2933.778,0
2025-02-20,2941.205,2954.755,2923.945,2935.125,0
2025-02-21,2934.955,2949.545,2916.615,2941.255,0
2025-02-23,2936.635,2940.068,2933.198,2934.815,0
2025-02-24,2949.795,2956.035,2921.055,2936.485,0
2025-02-25,2918.405,2952.405,2888.085,2949.745,0
2025-02-26,2918.995,2929.995,2890.588,2918.485,0
2025-02-27,2875.815,2918.975,2867.565,2918.975,0
2025-02-28,2856.998,2884.925,2832.455,2875.825,0
2025-03-02,2870.608,2876.905,2855.075,2855.205,0
2025-03-03,2890.625,2894.985,2858.735,2870.608,0
2025-03-04,2914.075,2927.715,2881.648,2890.605,0
2025-03-05,2918.165,2929.748,2894.145,2913.945,0
2025-03-06,2910.058,2926.425,2890.815,2918.145,0
2025-03-07,2909.355,2930.185,2895.698,2910.058,0
2025-03-10,2884.405,2915.275,2879.935,2910.615,0
2025-03-11,2915.148,2922.048,2879.938,2884.475,0
2025-03-12,2937.925,2940.348,2905.755,2915.148,0
2025-03-13,2986.195,2989.785,2932.768,2937.925,0
2025-03-14,2983.795,3004.725,2978.085,2986.175,0
2025-03-16,2989.915,2993.905,2983.048,2984.285,0
2025-03-17,2999.518,3002.665,2981.975,2989.915,0
2025-03-18,3031.528,3038.058,2999.258,2999.508,0
2025-03-19,3049.875,3051.758,3022.315,3031.565,0
2025-03-20,3046.245,3057.245,3025.428,3049.895,0
2025-03-21,3022.705,3047.265,2999.268,3046.245,0
2025-03-23,3024.515,3026.045,3020.155,3020.155,0
2025-03-24,3009.595,3033.135,3002.145,3024.448,0
2025-03-25,3020.775,3035.905,3007.315,3009.615,0
2025-03-26,3021.395,3031.945,3012.125,3020.765,0
2025-03-27,3055.275,3059.518,3021.355,3021.368,0
2025-03-28,3083.898,3086.725,3054.685,3055.185,0
2025-03-30,3088.898,3097.715,3085.355,3086.498,0
2025-03-31,3120.348,3127.825,3076.485,3088.845,0
2025-04-01,3114.998,3148.835,3100.665,3120.265,0
2025-04-02,3162.475,3167.548,3104.175,3114.998,0
2025-04-03,3112.625,3164.575,3053.935,3162.455,0
2025-04-04,3037.998,3136.435,3015.335,3112.645,0
2025-04-06,2999.548,3032.185,2976.585,3006.765,0
2025-04-07,2981.075,3055.18,2956.125,2999.548,0
2025-04-08,2978.265,3022.485,2969.605,2980.985,0
2025-04-09,3086.495,3099.465,2971.745,2978.435,0
2025-04-10,3188.775,3191.045,3078.105,3086.495,0
2025-04-11,3236.375,3245.025,3184.665,3188.755,0
2025-04-13,3223.545,3229.205,3209.205,3229.155,0
2025-04-14,3212.395,3245.515,3193.315,3223.575,0
2025-04-15,3251.665,3251.665,3209.685,3212.375,0
2025-04-16,3349.885,3357.455,3251.455,3251.655,0
2025-04-17,3326.925,3356.065,3283.345,3349.925,0
2025-04-20,3347.975,3352.965,3327.985,3331.835,0
2025-04-21,3434.954,3444.045,3347.285,3348.295,0
2025-04-22,3336.315,3499.915,3312.625,3434.986,0
2025-04-23,3316.145,3386.375,3259.485,3336.345,0
2025-04-24,3348.745,3370.065,3306.245,3316.165,0
2025-04-25,3318.625,3362.685,3264.785,3348.755,0
2025-04-27,3302.415,3335.995,3298.275,3324.265,0
2025-04-28,3337.325,3352.835,3267.765,3302.485,0
2025-04-29,3316.775,3339.665,3299.325,3337.285,0
2025-04-30,3272.545,3327.865,3266.875,3316.825,0
2025-05-01,3236.955,3276.095,3201.685,3272.575,0
2025-05-02,3239.415,3268.805,3222.395,3237.129,0
2025-05-04,3247.745,3252.115,3236.745,3239.195,0
2025-05-05,3333.765,3337.495,3240.885,3247.775,0
2025-05-06,3400.385,3437.655,3321.108,3333.665,0
2025-05-07,3376.015,3401.075,3359.735,3400.495,0
2025-05-08,3316.025,3414.705,3288.445,3376.259,0
