Company,Annoucement_Time,Final_Sentiment,Chart_Pattern,ML_Prediction,ML_Confidence,Success_Chance,Trade_Execute_Or_Not
PRAJIND,13-Jun-2025 11:32:22,Positive,"Resistance Breakout, Volume Spike",STRONG BUY,0.69,83.27,yes
YESBANK,13-Jun-2025 21:08:18,Positive,"Resistance Breakout, Volume Spike",STRONG BUY,0.64,81.45,yes
