Company,Annoucement_Time,Final_Sentiment,Chart_Pattern,Success_Chance,Trade_Execute_Or_Not,ML_Prediction,ML_Confidence
GARFIBRES,12-Jun-2025 14:14:06,Positive,"Resistance Breakout, Volume Spike",84.0,yes,STRONG BUY,0.71
SASKEN,12-Jun-2025 16:04:12,Positive,"Resistance Breakout, Volume Spike",86.91,yes,STRONG BUY,0.79
