Company,Annoucement_Time,Final_Sentiment,Chart_Pattern,ML_Prediction,ML_Confidence,Success_Chance,Trade_Execute_Or_Not,Fii_Dii_BUYING
ATGL,25-Jun-2025 13:51:03,Positive,"Resistance Breakout, Volume Spike",STRONG BUY,0.6,80.0,yes,Fill Dii buy >30cr
AURIONPRO,https://www.bseindia.com/xml-data/corpfiling/AttachLive/94ec21b0-2eef-4634-b35d-d08ad0d81ea6.pdf,Positive,"Resistance Breakout, Volume Spike",STRONG BUY,0.6333,81.21,yes,
