SYMBOL,COMPANY NAME,ATTACHMENT,SUBJECT,DETAILS,BROADCAST DATE/TIME
Unknown,Manipal Finance Corporation Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d49570e6-4cb5-427a-bc61-70e2d1b195ed.pdf,"Compliance Of Regulation 33 Of SEBI (LODR) Regulations, 2015 For The Period Ended 31St March, 2025","The company has been informed to submit revised standalone results, statement of impact of audit qualifications (Annexure 1), the same has been uploaded.",19-06-2025 15:33:05
Unknown,Lords Chemicals Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e4109dfb-178c-4ced-ad03-1587dfe2f0da.pdf,Financial Results For The Quarter Ended 31.12.2024.,"Submission of documents under regulation 33 of SEBI (LODR), Regulation, 2015, for the quarter ended 31.12.2024.",19-06-2025 14:26:54
Unknown,Lords Chemicals Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/61bf34c7-5b69-4b25-b114-4315ea7ef89b.pdf,Financial Results For The Quarter And Half Year Ended 30.09.2024.,"Submission of documents under regulation 33 of SEBI (LODR) Regulation, 2015, for the quarter and half year ended 30.09.2024.",19-06-2025 14:22:27
Unknown,JLA Infraville Shoppers Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/00f64f35-1c2c-4cef-911d-8aa52e79bd55.pdf,"Submission Of Revised Financial Results Approved In The Meeting Of Board Of Directors Held On Friday, 30Th May, 2025 As Per SEBI (LODR), 2015 Due To Typographical Error.","Submission of Revised Financial Results Approved in the meeting of Board of Directors held on Friday, 30th May, 2025 for the half year ended on 31st March, 2025 as per SEBI (LODR), 2015 .... Read More..",19-06-2025 13:47:23
Unknown,Deep Polymers Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/6e1aa0fe-e984-49e8-94a1-f01a71fe6184.pdf,REVISED AUDITED FINANCIAL STATEMENT AS ON 31.03.2025.,REVISED AUDITED FINANCIAL STATEMENT AS ON 31.03.2025.,19-06-2025 11:11:59
Unknown,K&R Rail Engineering Ltd,https://www.bseindia.com/xml-data/corpfiling/AttachLive/82895656-98bf-4170-a226-af2bb57fe310.pdf,"Revised Outcome Of The Board Meeting Held On Saturday,14.06.2025",Revised Board Meeting Outcome,19-06-2025 11:11:58
