SYMBOL,COMPANY NAME,ATTACHMENT,SUBJECT,DETAILS,BROADCAST DATE/TIME
HEROMOTOCO.NS,Hero MotoCorp Ltd,Announcement under Regulation 30 (LODR)-Newspaper Publication,Please find enclosed herewith copies of the newspaper advertisement published for the attention of the shareholders intimating that the 42nd Annual General Meeting of the Company is scheduled .... Read More..,24-06-2025 20:05:26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1e63af6c-2ea7-4125-be0a-2508755925be.pdf
539122,Bodhtree Consulting Ltd,Rights Issue,"Rights Issue Committee of the Board of Directors of the company Fixed June 28, 2025 as the Record date for the purpose of determining eligible shareholders for proposed Rights Issue.",24-06-2025 20:04:24,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1ea59144-79bb-4eee-9e25-544482d6cc35.pdf
TOLINS.NS,Tolins Tyres Ltd,Closure of Trading Window,Closure of Trading Window.,24-06-2025 20:01:34,https://www.bseindia.com/xml-data/corpfiling/AttachLive/db68b21a-0824-4b7e-b60f-80d6ebe19db6.pdf
KFINTECH.NS,KFin Technologies Ltd,Intimation Of Appointment Of Secretarial Auditors,Please find attached Intimation of Appointment of Secretarial Auditors of the Company for a period of five years,24-06-2025 20:01:17,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3def1cfa-e1cb-4dbc-aadc-ed1e75fd49e2.pdf
INOXWIND.NS,Inox Wind Ltd,Announcement under Regulation 30 (LODR)-Allotment,Allotment of equity shares pursuant to Scheme of Arrangement,24-06-2025 19:59:20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/412578e5-e593-4ef2-8fcb-4a897ffc47fb.pdf
139083,Unknown,Announcement under Regulation 30 (LODR)-Allotment,Allotment of equity shares pursuant to Scheme of Arrangement,24-06-2025 19:59:20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/412578e5-e593-4ef2-8fcb-4a897ffc47fb.pdf
NELCO.NS,Nelco Ltd,Shareholder Meeting / Postal Ballot-Scrutinizer''s Report,Summary of AGM and Scrutinizer Report,24-06-2025 19:59:04,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c7d87c53-2165-4f63-b0cc-971bff79c8d0.pdf
KFINTECH.NS,KFin Technologies Ltd,Announcement under Regulation 30 (LODR)-Change in Directorate,Please find attached Intimation of Re-appointment of Mr. Vishwanathan Mavila Nair as a Non-Executive Director and Chairperson of the Board of directors of the Company,24-06-2025 19:56:25,https://www.bseindia.com/xml-data/corpfiling/AttachLive/71221b0f-f52f-455b-8392-349ef1600845.pdf
NELCO.NS,Nelco Ltd,Shareholder Meeting / Postal Ballot-Outcome of AGM,Summary and proceeding of Annual General Meeting,24-06-2025 19:55:57,https://www.bseindia.com/xml-data/corpfiling/AttachLive/dc9b1e99-59d9-4162-98ba-fb98d733ccb0.pdf
UNIONBANK.NS,Union Bank of India,Announcement under Regulation 30 (LODR)-Cessation,Union Bank of India has informed the exchange about cessation of Pankaj Dwivedi Executive Director of the Bank.,24-06-2025 19:55:34,https://www.bseindia.com/xml-data/corpfiling/AttachLive/5f8e4ae4-3964-492e-86e6-5c5242528b6e.pdf
532217,Siel Financial Services Ltd,Open Offer,"Mark Corporate Advisors Pvt Ltd (""Manager to the Offer"") has submitted to BSE a copy of Public Announcement under Regulations 3(1) and 4 read with regulations 13(1), 14 and 15(1) of the .... Read More..",24-06-2025 19:55:23,https://www.bseindia.com/xml-data/corpfiling/AttachLive/B0177C35-8E79-4F3A-B777-D1230D6AA6F8-195339.pdf
VALIANTORG.NS,Valiant Organics Ltd,Postponement Of Board Meeting Scheduled On June 25 2025,Please refer our intimation in the captioned subject,24-06-2025 19:54:47,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2e451dfe-cce7-46bd-b008-15de3a8aa948.pdf
OIL.NS,Oil India Ltd,Brief Profile Of Government Nominee Director,Brief Profile of Government Nominee Director,24-06-2025 19:53:13,https://www.bseindia.com/xml-data/corpfiling/AttachLive/0daf42fe-e68d-4ac4-84e3-307db8a488e4.pdf
