SYMBOL,COMPANY NAME,ATTACHMENT,SUBJECT,DETAILS,BROADCAST DATE/TIME
540192,LKP Securities Ltd,Shareholder Meeting / Postal Ballot-Scrutinizer''s Report,"Outcome of AGM, Voting Results and Scrutinizer''s Report",24-06-2025 21:22:30,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ce9076c9-50ef-4c27-b310-f5910acc330f.pdf
IIFL.NS,IIFL Finance Ltd,"Annual General Meeting Of Company Will Be Held On July 18, 2025 At 11.30 A.M.","IIFL Finance Limited informs the Exchanges that Annual General Meeting of the company will be held on July 18, 2025 at 11.30 a.m.",24-06-2025 21:21:26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f123d52d-fa6c-49b5-a7a6-3db361243138.pdf
132636,Unknown,"Annual General Meeting Of Company Will Be Held On July 18, 2025 At 11.30 A.M.","IIFL Finance Limited informs the Exchanges that Annual General Meeting of the company will be held on July 18, 2025 at 11.30 a.m.",24-06-2025 21:21:26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f123d52d-fa6c-49b5-a7a6-3db361243138.pdf
JUBLPHARMA.NS,Jubilant Pharmova Ltd,Shareholder Meeting / Postal Ballot-Notice of Postal Ballot,Disclosure under Regulation 30 - Notice of Postal Ballot,24-06-2025 21:18:23,https://www.bseindia.com/xml-data/corpfiling/AttachLive/16bbf937-6e9a-497c-965a-421fc6e815b3.pdf
KTKBANK.NS,Karnataka Bank Ltd,Re-Appointment Of Non-Executive Independent Directors Of The Bank,Re-appointment of Non-Executive Independent Directors of the Bank,24-06-2025 21:13:32,https://www.bseindia.com/xml-data/corpfiling/AttachLive/06062f8a-0466-48be-beaa-1d3dd52d153c.pdf
538569,Triveni Enterprises Ltd,Closure of Trading Window,Intimation of Closure of Trading window,24-06-2025 21:12:41,https://www.bseindia.com/xml-data/corpfiling/AttachLive/cb99e812-1082-4b76-9366-03e684185bf8.pdf
ACC.NS,ACC Ltd,Intimation,ACC Limited has informed the Exchange about Schedule of meet on 30th June 2025 and 01st July 2025.,24-06-2025 21:10:40,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c247883e-38ee-4fae-a35e-645a757d3d14.pdf
MAHEPC.NS,Mahindra EPC Irrigation Ltd,Reg. 34 (1) Annual Report.,"In compliance with regulation 30 and 34 of the SEBI Listing Regulation please find enclosed Notice of the 43rd Annual General Meeting scheduled to be held on Friday, 18 July 2025 at 3:00 .... Read More..",24-06-2025 21:08:00,https://www.bseindia.com/xml-data/corpfiling/AttachLive/993ecc4a-78b7-4b6c-9335-cf5ce64abc17.pdf
526544,SGL Resources Ltd,"Intimation Regarding Delay In Submission Of Financial Results For The Year Ended 31St March, 2025","Intimation regarding dely in submission of financial results for the year ended 31st March , 2025 due to various circumstances.",24-06-2025 21:01:36,https://www.bseindia.com/xml-data/corpfiling/AttachLive/cd6f2bdd-faf6-4e7d-8fb0-999d08266e1e.pdf
544354,Solarium Green Energy Ltd,Announcement under Regulation 30 (LODR)-Award_of_Order_Receipt_of_Order,"We are pleased to Inform that our Company has received work order of Rs. 35,32,50,000/- (approx.) exclusive of GST from Kirloskar Solar Technologies Private Limited dated June 17, 2025 .... Read More..",24-06-2025 21:00:06,https://www.bseindia.com/xml-data/corpfiling/AttachLive/46640f8d-b100-4c83-9081-e3faa9917a7b.pdf
MAHEPC.NS,Mahindra EPC Irrigation Ltd,"Notice Of The 43Rd Annual General Meeting Scheduled To Be Held On Friday, 18 July 2025 At 3:00 P.M. (IST) Through Video Conference/Any Other Audio-Visual Means Facility","In compliance with regulation 30 and 34 of the SEBI Listing Regulation please find enclosed Notice of the 43rd Annual General Meeting scheduled to be held on Friday, 18 July 2025 at 3:00 .... Read More..",24-06-2025 20:59:30,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7aab37ad-e69a-4ae2-8749-02fb1f220e6e.pdf
526544,SGL Resources Ltd,Announcement under Regulation 30 (LODR)-Resignation of Director,"Intimation of Resignation of Independent Director(s) under Regulation 30 of Securities and Exchange Board of India (LODR) Regulations, 2015",24-06-2025 20:57:25,https://www.bseindia.com/xml-data/corpfiling/AttachLive/73c7eec4-ffa4-4b78-acdc-04ffccafbd2f.pdf
526544,SGL Resources Ltd,Announcement under Regulation 30 (LODR)-Resignation of Statutory Auditors,"Intimation of Resignation of Statutory Auditor of the Company pursuant to Regulation 30 of Securities and Exchange Board of India (LODR) Regulations, 2015",24-06-2025 20:53:14,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3d06c60c-9cc6-443b-a7c0-d5b6756df4a4.pdf
ORIENTCEM.NS,Orient Cement Ltd,Intimation,Orient Cement Limited has informed the Exchange about Schedule of meet on 30th June 2025 and 01st July 2025.,24-06-2025 20:52:03,https://www.bseindia.com/xml-data/corpfiling/AttachLive/062aceb6-c3b1-44c3-827e-ce13a0e21323.pdf
SHANKARA.NS,Shankara Building Products Ltd,Shareholder Meeting / Postal Ballot-Outcome of AGM,Proceeding of Annual General Meeting,24-06-2025 20:49:51,https://www.bseindia.com/xml-data/corpfiling/AttachLive/446171b0-ae68-4d17-829e-8081a9d4207a.pdf
SHRIRAMFIN.NS,Shriram Finance Ltd,"Intimation Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015 ('Listing Regulations'). Letter To Shareholders Regarding 46Th Annual General Meeting Of The Company.","Pursuant to Regulation 36(1) (b) of the SEBI (LODR) Regulations 2015, a letter is being sent to the shareholders whose e-mail addresses are not updated with Company/RTA.",24-06-2025 20:47:58,https://www.bseindia.com/xml-data/corpfiling/AttachLive/5c489cac-87ca-42c4-8760-c54378f05d8a.pdf
517526,Inditalia Refcon Ltd,"Board Meeting Intimation for Board Meeting Scheduled On July 01, 2025","Inditalia Refcon Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 01/07/2025 ,inter alia, to consider and approve Change in designation of Mr. Vipul Gandhi Read More..",24-06-2025 20:46:33,https://www.bseindia.com/xml-data/corpfiling/AttachLive/0060c5b0-c4fb-4993-b10b-3fb881b42adc.pdf
MAHEPC.NS,Mahindra EPC Irrigation Ltd,Business Responsibility and Sustainability Reporting (BRSR),"Pursuant to Regulation 34(2)(f)of SEBI(LODR) Regulations 2015, please find enclosed herewith the Business Responsibility and Sustainability Report for the Financial Year 2024-2025",24-06-2025 20:45:42,https://www.bseindia.com/xml-data/corpfiling/AttachLive/00dc07c1-b528-4dba-b5a6-966deb626ddd.pdf
