bse_code,nse_symbol
532735,RSYSTEMS.NS
532737,EMKAY.NS
532738,TICL.NS
532740,LOKESHMACH.NS
532741,KAMDHENU.NS
532748,PFOCUS.NS
532749,ALLCARGO.NS
532754,GMRAIRPORT.NS
532755,TECHM.NS
532756,CIEINDIA.NS
532757,VOLTAMP.NS
532759,ATLANTAA.NS
532761,HOVS.NS
532762,ACE.NS
532764,GEECEE.NS
532767,GAYAPROJ.NS
532768,FIEMIND.NS
532771,JHS.NS
532772,DCBBANK.NS
532773,GLOBALVECT.NS
532774,INSPIRISYS.NS
532775,GTLINFRA.NS
532776,SHIVAMAUTO.NS
532777,NAUKRI.NS
532779,TORNTPOWER.NS
532780,PARSVNATH.NS
532782,SUTLEJTEX.NS
532783,LTFOODS.NS
532784,SOBHA.NS
532785,RUCHIRA.NS
532790,TANLA.NS
532794,ZEEMEDIA.NS
532795,SITINET.NS
532796,LUMAXTECH.NS
532797,AUTOIND.NS
532798,NETWORK18.NS
532799,HUBTOWN.NS
532801,CTE.NS
532804,TIIL.NS
532805,REDINGTON.NS
532807,CINELINE.NS
532808,PGIL.NS
532809,FSL.NS
532810,PFC.NS
532811,AHLUCONT.NS
532812,TFL.NS
532814,INDIANB.NS
532815,SMSPHARMA.NS
532817,ORIENTALTL.NS
532822,IDEA.NS
