Company,companyname,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment,Chart_Pattern,Fii_Dii_BUYING
DCI,DC Infotech and Communication Limited,Credit Rating- New,DC Infotech & Communication Limited Achieves BBB Credit Rating from CRISIL with Stable Outlook,30-Dec-2025 16:49:30,https://nsearchives.nseindia.com/corporate/DCI_30122025164512_Letter_for_Crisil_Rating_upload_on_NSE_and_BSE.pdf,0.9962,0.0316558441558441,0.6596733927726746,0.4202994826643602,Positive,,
RBLBANK,RBL Bank Limited,Appointment,"RBL Bank Limited has informed the Exchange regarding Appointment of Mr Deepak Ruiya as Chief Financial Officer of the company w.e.f. December 30, 2025.",30-Dec-2025 15:36:37,https://nsearchives.nseindia.com/corporate/RBLBANK_30122025153559_OutcomeofBMandOtherDisclosure30122025.pdf,0.9937,0.0808587808587808,0.5426586270332336,0.3002713549848131,Positive,,
RBLBANK,RBL Bank Limited,Change in Management,RBL Bank Limited has informed the Exchange about change in Management,30-Dec-2025 15:33:31,https://nsearchives.nseindia.com/corporate/RBLBANK_30122025153312_OutcomeofBMandOtherDisclosure30122025.pdf,0.9937,0.0831048581048581,0.5494413375854492,0.3024262437710113,Positive,,
RBLBANK,RBL Bank Limited,Change in Director(s),RBL Bank Limited has informed the Exchange regarding Change in Director(s) of the company.,30-Dec-2025 15:30:23,https://nsearchives.nseindia.com/corporate/RBLBANK_30122025152957_OutcomeofBMandOtherDisclosure30122025.pdf,0.9937,0.0831048581048581,0.5505521893501282,0.3027109304556198,Positive,,
RBLBANK,RBL Bank Limited,Outcome of Board Meeting,"RBL Bank Limited has informed the Exchange regarding  Board meeting held on December 30, 2025 and other disclosure.",30-Dec-2025 15:25:36,https://nsearchives.nseindia.com/corporate/RBLBANK_30122025152518_OutcomeofBMandOtherDisclosure30122025.pdf,0.9937,0.0774804024804024,0.5466028451919556,0.3005923017523366,Positive,,
TVSMOTOR,TVS Motor Company Limited,Press Release,"TVS Motor Company Limited has informed the Exchange regarding a press release dated December 30, 2025, titled ""TVS MOTOR COMPANY PARTNERS WITH MANBA FINANCE LIMITED TO STRENGTHEN FINANCING SOLUTIONS FOR COMMERCIAL MOBILITY CUSTOMERS"".",30-Dec-2025 12:30:11,https://nsearchives.nseindia.com/corporate/TVSMOTOR_30122025122337_NSEBSEIntimation_sd.pdf,0.9985,0.0948331713637836,0.4216869175434112,0.5740027412628977,Positive,,
