Company,companyname,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment,Chart_Pattern,Fii_Dii_BUYING
LTTS,L&T Technology Services Limited,Press Release,"L&T Technology Services Limited has informed the Exchange regarding a press release dated Jun 30, 2025, titled ""L&T Technology Services and thyssenkrupp Steering business unit enter into a strategic partnership to establish a global software hub in Pune, India"".",30-Jun-2025 13:13:32,https://nsearchives.nseindia.com/corporate/LTTS_30062025130452_PressReleaseSigned.pdf,0.9965,0.1257875103619784,0.2012810707092285,0.2246057917051929,Positive,,Fill Dii buy >30cr
CENTRALBK,Central Bank of India,General Updates,Central Bank of India has informed the Exchange about Letter to Shareholders - Weblink of AGM Notice and Annual Report,30-Jun-2025 12:54:32,https://nsearchives.nseindia.com/corporate/CENTRALBK_30062025125043_Final_SE_Letter_Shareholders.pdf,0.9666,0.076093951093951,0.4607680737972259,0.2720639915561277,Positive,,Fill Dii buy >30cr
LTTS,L&T Technology Services Limited,Press Release,"L&T Technology Services Limited has informed the Exchange regarding a press release dated Jun 30, 2025, titled ""L&T Technology Services and thyssenkrupp Steering business unit enter into a strategic partnership to establish a global software hub in Pune, India"".",30-Jun-2025 13:13:32,https://nsearchives.nseindia.com/corporate/LTTS_30062025130452_PressReleaseSigned.pdf,0.9965,0.1257875103619784,0.2012810707092285,0.2246057917051929,Positive,,Fill Dii buy >30cr
CENTRALBK,Central Bank of India,General Updates,Central Bank of India has informed the Exchange about Letter to Shareholders - Weblink of AGM Notice and Annual Report,30-Jun-2025 12:54:32,https://nsearchives.nseindia.com/corporate/CENTRALBK_30062025125043_Final_SE_Letter_Shareholders.pdf,0.9666,0.076093951093951,0.4607680737972259,0.2720639915561277,Positive,,Fill Dii buy >30cr
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Investor Presentation,JB Chemicals & Pharmaceuticals Limited has informed the Exchange about Investor Presentation,30-Jun-2025 13:33:43,https://nsearchives.nseindia.com/corporate/JBCHEPHARM_30062025133259_NSE_Presentation30062025.pdf,0.9966,0.0515567765567765,0.0706724002957344,0.4771089209623418,Positive,"Resistance Breakout, Volume Spike",Fill Dii buy >30cr
HINDUNILVR,Hindustan Unilever Limited,Shareholders meeting,"Hindustan Unilever Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on Jun 30, 2025",30-Jun-2025 21:14:40,https://nsearchives.nseindia.com/corporate/HINDUNILVR_30062025211420_sigProceedingsofAGM202425Final.pdf,0.891,0.0243100649350649,0.3857988715171814,0.2240629646824552,Positive,,Fill Dii buy >30cr
SMCGLOBAL,SMC Global Securities Limited,Updates,Smc Global Securities Limited has informed the Exchange regarding 'Declaration of Final Dividend by Shareholders at AGM held on 28 June 2025'.,30-Jun-2025 20:43:52,https://nsearchives.nseindia.com/corporate/SMCGLOBAL_30062025204344_Decleration_of_Dividend.pdf,0.9524,0.0244708994708994,0.2326341271400451,0.201157950927467,Positive,"Resistance Breakout, Volume Spike",Fill Dii buy >30cr
SMCGLOBAL,SMC Global Securities Limited,General Updates,Smc Global Securities Limited has informed the Exchange about Declaration of Final Dividend by Shareholders at AGM held on 28 June 2025,30-Jun-2025 20:42:02,https://nsearchives.nseindia.com/corporate/SMCGLOBAL_30062025204151_Decleration_of_Dividend.pdf,0.9524,0.0258145363408521,0.2908942699432373,0.2159929299370089,Positive,"Resistance Breakout, Volume Spike",Fill Dii buy >30cr
AFCONS,Afcons Infrastructure Limited,General Updates,"Afcons Infrastructure Limited has informed the Exchange about intimation of letter sent to Members under Regulation 36(1)(b) of SEBI LODR regulation, 2015",30-Jun-2025 19:13:36,https://nsearchives.nseindia.com/corporate/AFCONS_30062025191320_Afcons_Intimation_Letter_to_Members_under_Regulation_36_dated3062025.pdf,0.9565,0.0424796747967479,0.283763974905014,0.2185641817411756,Positive,,Fill Dii buy >30cr
VSTIND,VST Industries Limited,Shareholders meeting,"VST Industries Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 23, 2025",30-Jun-2025 19:07:48,https://nsearchives.nseindia.com/corporate/VSTIND_30062025190733_SEAnnualReport2025.pdf,0.9988,0.1312770562770562,0.117306962609291,0.2745785238445321,Positive,"Resistance Breakout, Volume Spike",Fill Dii buy >30cr
