Company,companyname,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment,Chart_Pattern,Fii_Dii_BUYING
IRB,IRB Infrastructure Developers Limited,Updates,IRB Infrastructure Developers Limited has informed the Exchange regarding 'Update on Non-Binding Offer from IRB Infrastructure Trust to IRB InvIT Fund'.,04-Jul-2025 14:06:59,https://nsearchives.nseindia.com/corporate/IRB_04072025140440_SE_Discl_Update_Zenith_sd.pdf,0.9986,-0.0208049886621315,0.2581299245357513,0.2100251669685586,Positive,Resistance Breakout,Fill Dii buy >30cr
KRBL,KRBL Limited,Change in Director(s),KRBL Limited has informed the Exchange regarding Change in Director(s) of the company.,04-Jul-2025 12:46:30,https://nsearchives.nseindia.com/corporate/BIBHU_04072025124606_Reg30_App_DR_Dogra_Sd.pdf,0.9875,0.0367438867438867,0.2180328071117401,0.2087414026210514,Positive,,Fill Dii buy >30cr
DOLLAR,Dollar Industries Limited,Copy of Newspaper Publication,Dollar Industries Limited has informed the Exchange about Copy of Newspaper Publication of Notice w.r.t 32nd Annual General Meeting (AGM) of the Company.,04-Jul-2025 12:32:42,https://nsearchives.nseindia.com/corporate/DOLLAR_04072025123051_Newspaper.pdf,0.9809,0.0875664811379097,0.2467919886112213,0.2244777782131509,Positive,"Resistance Breakout, Volume Spike",Fill Dii buy >30cr
GMMPFAUDLR,GMM Pfaudler Limited,Press Release,"GMM Pfaudler Limited has informed the Exchange regarding a press release dated July 04, 2025, titled ""GMM Pfaudler Ltd to acquire SEMCO Tecnologia em Processos Ltda."".",04-Jul-2025 10:27:57,https://nsearchives.nseindia.com/corporate/GMMPFAUDLR_04072025102741_Press_Release-Upload_file.pdf,0.9894,0.1405884995507637,0.7961879968643188,0.3747792006978877,Positive,,
TATAPOWER,Tata Power Company Limited,Press Release,"Tata Power Company Limited has informed the Exchange regarding a press release dated July 04, 2025, titled ""Tata Power Renewables achieves record 45,500 Rooftop Installations with 220 MW installed capacity in Q1 FY26"".",04-Jul-2025 09:19:06,https://nsearchives.nseindia.com/corporate/VPTPCL_04072025091838_PressRelease04072025.pdf,0.9985,0.1083333333333333,0.4209949970245361,0.3761818950322146,Positive,,Fill Dii buy >30cr
POONAWALLA,Poonawalla Fincorp Limited,General Updates,Poonawalla Fincorp Limited has informed the Exchange about General Updates,04-Jul-2025 07:45:52,https://nsearchives.nseindia.com/corporate/POONAWALLA_04072025074537_Business_Update_Q1FY26.pdf,0.926,-0.0787496816908581,0.5485718250274658,0.3528733580977064,Positive,"Resistance Breakout, Volume Spike",Fill Dii buy >30cr
BALAJITELE,Balaji Telefilms Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Balaji Telefilms Limited has informed the Exchange about Presentation,04-Jul-2025 00:39:17,https://nsearchives.nseindia.com/corporate/BALAJITELE_04072025003907_SEInvestorPresentationEarningCall.pdf,0.9983,0.15421363227967,0.2044683694839477,0.2315437774050306,Positive,,
SAMPANN,Sampann Utpadan India Limited,Disclosure under SEBI Takeover Regulations,"Sampann Utpadan India Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",04-Jul-2025 00:34:39,https://nsearchives.nseindia.com/corporate/team_sandeshc_09052025122306_14.pdf,0.9531,0.1232142857142857,0.3589089512825012,0.2526720422233854,Positive,,Fill Dii buy >30cr
SUPREMEIND,Supreme Industries Limited,Disclosure under SEBI Takeover Regulations,"Mahaveerprasad Surajmal Taparia has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",04-Jul-2025 00:17:16,https://nsearchives.nseindia.com/corporate/team_sandeshc_08052025120450_18.pdf,0.9493,0.1257142857142857,0.1771192699670791,0.206942313602141,Positive,,Fill Dii buy >30cr
BALAJITELE,Balaji Telefilms Limited,Press Release,"Balaji Telefilms Limited has informed the Exchange regarding a press release dated July 03, 2025, titled ""Balaji Telefilms Reports Full-Year Consolidated Revenue at &#8377; 453.1 Cr; FY25 PAT reported at &#8377; 84.6 Cr"".",04-Jul-2025 00:03:49,https://nsearchives.nseindia.com/corporate/BALAJITELE_04072025000336_PRESSRELEASEMARCH25.pdf,0.9984,0.1456408175158175,0.1704069375991821,0.221331346295827,Positive,,
