Company,companyname,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment,Chart_Pattern,Fii_Dii_BUYING
LTTS,L&T Technology Services Limited,Press Release,"L&T Technology Services Limited has informed the Exchange regarding a press release dated Jun 25, 2025, titled ""L&T Technology Services Awarded USD 50 Million plus Agreement by Global Energy Major in Sustainability segment."".",25-Jun-2025 08:55:49,https://nsearchives.nseindia.com/corporate/LTTS_25062025085538_PressReleaseDSC.pdf,0.9969,0.0695300267108777,0.2297130078077316,0.2206411004318495,Positive,,Fill Dii buy >30cr
LTTS,L&T Technology Services Ltd,Announcement under Regulation 30 (LODR)-Press Release / Media Release,"Pursuant to Reg 30 of the SEBI (LODR) Regulations, 2015, please find attached the copy of the press release.",25-06-2025 08:49:17,https://www.bseindia.com/xml-data/corpfiling/AttachLive/cd18c7e8-6c73-46ff-a29d-a331f5fb597c.pdf,0.9965,0.0744736324281778,0.3253031373023987,0.2453800040191668,Positive,,Fill Dii buy >30cr
LTTS.NS,L&T Technology Services Ltd,Announcement under Regulation 30 (LODR)-Press Release / Media Release,"Pursuant to Reg 30 of the SEBI (LODR) Regulations, 2015, please find attached the copy of the press release.",25-06-2025 08:49:17,https://www.bseindia.com/xml-data/corpfiling/AttachLive/cd18c7e8-6c73-46ff-a29d-a331f5fb597c.pdf,0.9965,0.0744736324281778,0.3253031373023987,0.2453800040191668,Positive,,
GATECH,GACM Technologies Limited,Updates,"GACM Technologies Limited has informed the Exchange regarding 'Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015 : Strategic Acquisition of 30% Stake in WEXL Education Private Limited",25-Jun-2025 10:54:22,https://nsearchives.nseindia.com/corporate/STAMPEDE_25062025105409_GACM_wexl_LODR_Announcement.pdf,0.9493,0.000268817204301,0.5357612371444702,0.2737924449479708,Positive,,
STARHEALTH,Star Health and Allied Insurance Company Limited,Press Release,"Star Health and Allied Insurance Company Limited has informed the Exchange regarding a press release dated Jun 25, 2025, titled ""Star Health Insurance Partners with Medi Assist to Transform Claims through AI and Digital Innovation"".",25-Jun-2025 10:21:05,https://nsearchives.nseindia.com/corporate/STARHEALTH_25062025101705_PR25Jun25.pdf,0.9951,0.1662414965986395,0.4022940397262573,0.5816401082529339,Positive,,
GATECHDVR,GACM Technologies Limited,Updates,"GACM Technologies Limited has informed the Exchange regarding 'Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015-   Strategic Acquisition of 30% Stake in WEXL Education Private Limited",25-Jun-2025 10:56:44,https://nsearchives.nseindia.com/corporate/SCAPDVR_25062025105633_GACM_wexl_LODR_Announcement.pdf,0.9493,0.000268817204301,0.4956422746181488,0.264832387152923,Positive,,
LALPATHLAB,Dr. Lal Path Labs Ltd.,Press Release,"Dr. Lal Path Labs Ltd. has informed the Exchange regarding a press release dated Jun 25, 2025, titled ""Dr. Lal PathLabs strengthens its genomics capabilities with Illumina s NovaSeq X Series"".",25-Jun-2025 11:25:20,https://nsearchives.nseindia.com/corporate/LALPATHLAB_25062025112327_FINALPressRelease25062025.pdf,0.997,0.1759636639955789,0.7175082564353943,0.4638162672997256,Positive,"Resistance Breakout, Volume Spike",Fill Dii buy >30cr
URAVIDEF,Uravi Defence and Technology Limited,Acquisition,"Uravi Defence and Technology Limited informs the stock exchange that Bharat Technology Limited, wholly owned subsidiary of company has entered into Share Purchase Agreement to acquire 100 % of Spafax International Holdings Limited.",25-Jun-2025 12:17:53,https://nsearchives.nseindia.com/corporate/URAVI_25062025121741_Spafax_Acquisition_Signed.pdf,0.9942,0.0444612590799031,0.2454788386821746,0.2188153947140633,Positive,,
RELINFRA,Reliance Infrastructure Limited,Press Release,"Reliance Infrastructure Limited has informed the Exchange regarding a press release dated Jun 25, 2025, titled ""Media Release"".",25-Jun-2025 14:46:29,https://nsearchives.nseindia.com/corporate/RELINFRA_25062025144551_Mediareleasedefence25062025.pdf,0.9963,0.0698107448107448,0.3169393241405487,0.24245937700046,Positive,,
ATGL,Adani Total Gas Limited,Press Release,"Adani Total Gas Limited has informed the Exchange regarding a press release dated Jun 25, 2025, titled ""Adani Total Gas Limited and Jio-bp Partner to Enhance Quality Fuel Offerings"".",25-Jun-2025 13:51:03,https://nsearchives.nseindia.com/corporate/ATGL2024_25062025135044_ATGL_Media_Release_250625.pdf,0.993,0.0699460916442048,0.4232123792171478,0.3844810297831371,Positive,Resistance Breakout,Fill Dii buy >30cr
