Company,companyname,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment,Chart_Pattern,Fii_Dii_BUYING
HCLTECH,HCL Technologies Limited,Updates,HCL Technologies Limited has informed the Exchange regarding ' Release - HCLTech recognized as the 2025 Global Alliances AI Partner of the Year by Dell Technologies '.,23-Jun-2025 12:01:31,https://nsearchives.nseindia.com/corporate/HCLTECH_23062025120115_Release23June2025signed.pdf,0.9831,0.0507382707382707,0.419014573097229,0.5584495065430397,Positive,,Fill Dii buy >30cr
ABLBL,Aditya Birla Lifestyle Brands Limited,Press Release,"Aditya Birla Lifestyle Brands Limited has informed the Exchange regarding a press release dated Jun 23, 2025, titled ""Aditya Birla Lifestyle Brands Limited debuts on the bourses"".",23-Jun-2025 10:49:55,https://nsearchives.nseindia.com/corporate/ABLBL_23062025104943_SEPressrelease.pdf,0.9942,0.0893653516295026,0.2011485993862152,0.2167130990767969,Positive,,
VAKRANGEE,Vakrangee Limited,Press Release,"Vakrangee Limited has informed the Exchange regarding a press release dated Jun 23, 2025, titled ""VAKRANGEE LIMITED ENTERS INTO A STRATEGIC DISTRIBUTION PARTNERSHIP WITH AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED"".",23-Jun-2025 15:03:53,https://nsearchives.nseindia.com/corporate/VAKRANGEE_23062025150341_Press_release_-Partnership_with_Ageas_Federal_Life_Insurance_Signed.pdf,0.9895,0.0395502645502645,0.2129222601652145,0.2085168160047165,Positive,,
INDUSINDBK,IndusInd Bank Limited,Press Release,"Indusind Bank Limited has informed the Exchange regarding a press release dated Jun 23, 2025, titled ""IndusInd Bank Strengthens WealthManagement Business with Expansion of PIONEER Branch Network"".",23-Jun-2025 13:10:30,https://nsearchives.nseindia.com/corporate/INDUSINDBK1_23062025131023_PressReleasefinal.pdf,0.9982,0.1161738970249608,0.5310564637184143,0.4037088924066666,Positive,,
JITFINFRA,JITF Infralogistics Limited,Shareholders meeting,"JITF Infralogistics Limited has informed the Exchange regarding Proceedings of  Extraordinary General Meeting held on Jun 23, 2025 along with a copy of minutes.",23-Jun-2025 12:58:04,https://nsearchives.nseindia.com/corporate/JITFINFRA_23062025125656_EGMOUTCOME.pdf,0.9913,0.0005376344086021,0.4047523438930511,0.2491311807585018,Positive,"Resistance Breakout, Volume Spike",Fill Dii buy >30cr
