Company,companyname,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment,Chart_Pattern,Fii_Dii_BUYING
BIOCON,Biocon Limited,General Updates,Biocon Limited has informed the Exchange about Communication to the shareholders w.r.t. TDS on Final Dividend,26-Jun-2025 08:42:57,https://nsearchives.nseindia.com/corporate/Biocon2_26062025084212_SEIntimation.pdf,0.9858,0.0368027210884353,0.423704445362091,0.259738068188291,Positive,"Resistance Breakout, Volume Spike",Fill Dii buy >30cr
BIOCON,Biocon Ltd,Communication To The Shareholders W.R.T. TDS On Final Dividend,Communication to the shareholders w.r.t. TDS on Final Dividend,26-06-2025 08:44:41,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c8f1ac4c-a7de-4f08-8b6a-67312af85c40.pdf,0.9868,0.0385154061624649,0.4455378949642181,0.2657887530269075,Positive,Resistance Breakout,Fill Dii buy >30cr
LLOYDSME,Lloyds Metals and Energy Ltd,Receipt Of Environment Clearance For Expansion Of Iron Ore Mining Capacity To 55 MTPA,Receipt of Environment Clearance for Expansion of Iron Ore Mining Capacity to 55 MTPA,26-06-2025 05:30:18,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1963c824-282a-4918-bf65-80b738187945.pdf,0.9899,0.1563736263736263,0.597751259803772,0.2069463342949584,Positive,,Fill Dii buy >30cr
BIOCON,Biocon Ltd,Communication To The Shareholders W.R.T. TDS On Final Dividend,Communication to the shareholders w.r.t. TDS on Final Dividend,26-06-2025 08:44:41,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c8f1ac4c-a7de-4f08-8b6a-67312af85c40.pdf,0.9868,0.0385154061624649,0.4455378949642181,0.2657887530269075,Positive,,Fill Dii buy >30cr
LLOYDSME,Lloyds Metals and Energy Ltd,Receipt Of Environment Clearance For Expansion Of Iron Ore Mining Capacity To 55 MTPA,Receipt of Environment Clearance for Expansion of Iron Ore Mining Capacity to 55 MTPA,26-06-2025 05:30:18,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1963c824-282a-4918-bf65-80b738187945.pdf,0.9899,0.1563736263736263,0.597751259803772,0.2069463342949584,Positive,"Resistance Breakout, Volume Spike",Fill Dii buy >30cr
BIOCON.NS,Biocon Ltd,Communication To The Shareholders W.R.T. TDS On Final Dividend,Communication to the shareholders w.r.t. TDS on Final Dividend,26-06-2025 08:44:41,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c8f1ac4c-a7de-4f08-8b6a-67312af85c40.pdf,0.9868,0.0385154061624649,0.4455378949642181,0.2657887530269075,Positive,,
LLOYDSME.NS,Lloyds Metals and Energy Ltd,Receipt Of Environment Clearance For Expansion Of Iron Ore Mining Capacity To 55 MTPA,Receipt of Environment Clearance for Expansion of Iron Ore Mining Capacity to 55 MTPA,26-06-2025 05:30:18,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1963c824-282a-4918-bf65-80b738187945.pdf,0.9899,0.1563736263736263,0.597751259803772,0.2069463342949584,Positive,,
RATEGAIN,Rategain Travel Technologies Limited,Press Release,"Rategain Travel Technologies Limited has informed the Exchange regarding a press release dated Jun 26, 2025, titled ""Press Release on  RateGain Moves Up 20 Places in Great Place to Work® India List, Among Top 100 Workplaces Again "".",26-Jun-2025 10:40:22,https://nsearchives.nseindia.com/corporate/RATEGAIN_26062025103935_PR26062025.pdf,0.9973,0.2658706108706108,0.4405312240123749,0.3126419596389316,Positive,,Fill Dii buy >30cr
IXIGO,Le Travenues Technology Limited,Updates,Le Travenues Technology Limited has informed the Exchange regarding 'Media Release - AbhiBus and CheckMyBus Announce Partnership to Expand Global Access to India s Bus Network'.,26-Jun-2025 11:22:33,https://nsearchives.nseindia.com/corporate/IXIGO_26062025112217_Announcement_Media_Release_AbhiBus_and_Checkmybus_announce_partnership.pdf,0.9908,0.0941107503607503,0.7607067227363586,0.2295563716021107,Positive,,
WEWIN,WE WIN LIMITED,Updates,"WE WIN LIMITED has informed the Exchange regarding 'Intimation under Regulation 57(4) of SEBI (LODR) Regulations, 2015'.",26-Jun-2025 12:42:55,https://nsearchives.nseindia.com/corporate/SUREVIN_26062025124245_Regulation57.pdf,0.9337,0.2532467532467533,0.2008332759141922,0.2343541594388423,Positive,,
