Company,companyname,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment,Chart_Pattern,Fii_Dii_BUYING
RTNINDIA,RattanIndia Enterprises Limited,Press Release,"RattanIndia Enterprises Limited has informed the Exchange regarding a press release dated Jun 27, 2025, titled ""Revolt Motors Expands Sri Lanka Portfolio with the Launch of RV1 and RV1+ at EV Motor Show Colombo 2025"".",27-Jun-2025 07:59:57,https://nsearchives.nseindia.com/corporate/RTNINDIA_27062025075438_RELPR27062025.pdf,0.9964,0.1597851335656214,0.2213466763496399,0.2368453261544618,Positive,Resistance Breakout,Fill Dii buy >30cr
LTTS,L&T Technology Services Limited,Updates,"L&T Technology Services Limited has informed the Exchange regarding 'L&T Technology Services Launches New Engineering Design Center in Plano, Texas to Propel advancements in AI, Tech & Digital Manufacturing'.",27-Jun-2025 06:01:37,https://nsearchives.nseindia.com/corporate/LTTS_27062025060121_PressReleaseSigned.pdf,0.9958,0.1003226333415012,0.1502195745706558,0.2065860142440697,Positive,,Fill Dii buy >30cr
JKCEMENT,JK Cement Limited,Updates,JK Cement Limited has informed the Exchange regarding 'annual feport'.,27-Jun-2025 00:00:32,https://nsearchives.nseindia.com/corporate/JKCEMENT_27062025000022_finL_AR.pdf,0.995,0.0707093253968254,0.3146505057811737,0.2415841567563632,Positive,,Fill Dii buy >30cr
RATEGAIN,Rategain Travel Technologies Limited,Press Release,"Rategain Travel Technologies Limited has informed the Exchange regarding a press release dated Jun 27, 2025, titled ""TezJet Partners with RateGain to Strengthen Pricing Agility and Route Profitability in Central Asia"".",27-Jun-2025 10:14:46,https://nsearchives.nseindia.com/corporate/RATEGAIN_27062025101415_PR27062025.pdf,0.9985,0.1973582251082251,0.3705990314483642,0.3790221787410058,Positive,,Fill Dii buy >30cr
SOUTHWEST,South West Pinnacle Exploration Limited,Updates,"South West Pinnacle Exploration Limited has informed the Exchange regarding 'Announcement for Award of Contract to M/s Alara Resources LLC, Oman, a JV company of M/s South west Pinnacle Exploration Ltd'.",27-Jun-2025 11:10:02,https://nsearchives.nseindia.com/corporate/SOUTHWEST_27062025110717_ANNOUNCEMENT.pdf,0.991,0.0142526455026455,0.4080520570278168,0.2526162434478916,Positive,,Fill Dii buy >30cr
RTNINDIA,Rattanindia Enterprises Ltd,Announcement under Regulation 30 (LODR)-Press Release / Media Release,Please find enclosed herewith a copy of the press release from the Company for your information and records. This information will also be hosted on Company''s website at www.rattanindia.com,27-06-2025 07:58:15,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9897c2dd-0ff4-43c8-ba31-04964c5a6d2c.pdf,0.9967,0.1655654761904762,0.2003470212221145,0.2324132597767171,Positive,Resistance Breakout,
LTTS,L&T Technology Services Ltd,"L&T Technology Services Launches New Engineering Design Center In Plano, Texas To Propel Advancements In AI, Tech & Digital Manufacturing",Please find attached intimation,27-06-2025 05:59:48,https://www.bseindia.com/xml-data/corpfiling/AttachLive/dcab6aa7-f814-4e3b-96a0-f4f7e7d12049.pdf,0.9962,0.1036255411255411,0.1651650220155716,0.2111074372897158,Positive,,
THOMASCOOK,Thomas Cook  (India)  Limited,Press Release,"Thomas Cook  (India)  Limited has informed the Exchange regarding a press release dated Jun 27, 2025, titled ""Thomas Cook India and SOTC Travel Tap into Rising Demand for Monsoon Holidays"".",27-Jun-2025 11:53:13,https://nsearchives.nseindia.com/corporate/THOMASCOOK_27062025114957_pressrelease_27062025.pdf,0.9992,0.1888457556935817,0.6506385207176208,0.2227058955187136,Positive,,Fill Dii buy >30cr
HEXT,Hexaware Technologies Limited,Press Release,"Hexaware Technologies Limited has informed the Exchange regarding a press release dated Jun 27, 2025, titled ""Hexaware Ranked #1 in Overall Client Satisfaction in Whitelane UK & Ireland IT Sourcing Study 2025"".",27-Jun-2025 13:20:14,https://nsearchives.nseindia.com/corporate/HEXAWARETECH_27062025132004_Press_Release_Today.pdf,0.9988,0.137531887755102,0.3746482729911804,0.370387698180103,Positive,"Resistance Breakout, Volume Spike",
HCLTECH,HCL Technologies Limited,Updates,HCL Technologies Limited has informed the Exchange regarding 'Release -  HCLTech wins top honors at AWS GenAI Premier League (GPL) Awards 2025 '.,27-Jun-2025 13:54:04,https://nsearchives.nseindia.com/corporate/HCLTECH_27062025135343_Release27June2025.pdf,0.9967,0.1301608751608751,0.7538802623748779,0.4633824430843209,Positive,,Fill Dii buy >30cr
TVSMOTOR,TVS Motor Company Limited,Press Release,"TVS Motor Company Limited has informed the Exchange regarding a press release dated Jun 27, 2025, titled ""INDIA S MOST POWERFUL 160 CC MOTORCYCLE - TVSAPACHE RTR 160 NOW WITH DUAL CHANNEL ABS"".",27-Jun-2025 14:08:59,https://nsearchives.nseindia.com/corporate/TVSMOTOR_27062025140756_SEIntimationPressReleaseApacheSD.pdf,0.998,0.245055315055315,0.5968947410583496,0.4471080414081716,Positive,,Fill Dii buy >30cr
RTNINDIA,Rattanindia Enterprises Ltd,Announcement under Regulation 30 (LODR)-Press Release / Media Release,Please find enclosed herewith a copy of the press release from the Company for your information and records. This information will also be hosted on Company''s website at www.rattanindia.com,27-06-2025 07:58:15,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9897c2dd-0ff4-43c8-ba31-04964c5a6d2c.pdf,0.9967,0.1655654761904762,0.2003470212221145,0.2324132597767171,Positive,,Fill Dii buy >30cr
CENTURYPLY,Century Plyboards (India) Ltd-$,"This is to inform you that the newly set-up particle board manufacturing unit of the Company at SIPCOT Industrial Park, Thervoy Kandigai, Gummidipoondi, Tiruvallur, Tamil Nadu has successfully .... Read More..",27-06-2025 11:16:42,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2e67671c-77a9-4ee9-ac79-a97e38e529d2.pdf,Commencement Of Commercial Production,0.4939,0.4621212121212121,0.5828718543052673,0.3616171170811977,Positive,,Fill Dii buy >30cr
RTNINDIA,Rattanindia Enterprises Ltd,Announcement under Regulation 30 (LODR)-Press Release / Media Release,Please find enclosed herewith a copy of the press release from the Company for your information and records. This information will also be hosted on Company''s website at www.rattanindia.com,27-06-2025 07:58:15,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9897c2dd-0ff4-43c8-ba31-04964c5a6d2c.pdf,0.9967,0.1655654761904762,0.2003470212221145,0.2324132597767171,Positive,Resistance Breakout,Fill Dii buy >30cr
LTTS,L&T Technology Services Ltd,"L&T Technology Services Launches New Engineering Design Center In Plano, Texas To Propel Advancements In AI, Tech & Digital Manufacturing",Please find attached intimation,27-06-2025 05:59:48,https://www.bseindia.com/xml-data/corpfiling/AttachLive/dcab6aa7-f814-4e3b-96a0-f4f7e7d12049.pdf,0.9962,0.1036255411255411,0.1651650220155716,0.2111074372897158,Positive,,Fill Dii buy >30cr
ZODIAC,Zodiac Energy Limited,General Updates,Zodiac Energy Limited has informed the Exchange about General Updates,27-Jun-2025 14:57:58,https://nsearchives.nseindia.com/corporate/ZODIAC_27062025145641_Intimation_Reg_30_signed.pdf,0.9042,0.1633928571428571,0.7256488800048828,0.2286056058543069,Positive,Resistance Breakout,Fill Dii buy >30cr
MMFL,MM Forgings Limited,Disclosure under SEBI Takeover Regulations," Vidyashankar Krishnan has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",27-Jun-2025 14:47:43,https://nsearchives.nseindia.com/corporate/team_bbodade_02052025165323_MMFL3.pdf,0.9612,0.1469387755102041,0.3548144698143005,0.2584074300469185,Positive,,Fill Dii buy >30cr
RTNINDIA,Rattanindia Enterprises Ltd,Announcement under Regulation 30 (LODR)-Press Release / Media Release,Please find enclosed herewith a copy of the press release from the Company for your information and records. This information will also be hosted on Company''s website at www.rattanindia.com,27-06-2025 07:58:15,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9897c2dd-0ff4-43c8-ba31-04964c5a6d2c.pdf,0.9967,0.1655654761904762,0.2003470212221145,0.2324132597767171,Positive,"Resistance Breakout, Volume Spike",Fill Dii buy >30cr
LTTS,L&T Technology Services Ltd,"L&T Technology Services Launches New Engineering Design Center In Plano, Texas To Propel Advancements In AI, Tech & Digital Manufacturing",Please find attached intimation,27-06-2025 05:59:48,https://www.bseindia.com/xml-data/corpfiling/AttachLive/dcab6aa7-f814-4e3b-96a0-f4f7e7d12049.pdf,0.9962,0.1036255411255411,0.1651650220155716,0.2111074372897158,Positive,,Fill Dii buy >30cr
CENTURYPLY,Century Plyboards (India) Ltd-$,"This is to inform you that the newly set-up particle board manufacturing unit of the Company at SIPCOT Industrial Park, Thervoy Kandigai, Gummidipoondi, Tiruvallur, Tamil Nadu has successfully .... Read More..",27-06-2025 11:16:42,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2e67671c-77a9-4ee9-ac79-a97e38e529d2.pdf,Commencement Of Commercial Production,0.4939,0.4621212121212121,0.5828718543052673,0.3616171170811977,Positive,"Resistance Breakout, Volume Spike",Fill Dii buy >30cr
MMFL,MM Forgings Limited,Disclosure under SEBI Takeover Regulations,"S Lakshman has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",27-Jun-2025 14:52:20,https://nsearchives.nseindia.com/corporate/team_bbodade_02052025163235_MMFL.pdf,0.9349,0.1331632653061224,0.2581797242164612,0.2249110241330399,Positive,,Fill Dii buy >30cr
