Company,companyname,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment,Chart_Pattern,Fii_Dii_BUYING
IDEA,Vodafone Idea Limited,Investor Presentation,Vodafone Idea Limited has informed the Exchange about Investor Presentation,20-Jun-2025 18:50:36,https://nsearchives.nseindia.com/corporate/IDEA_20062025184913_InvestorPresentations.pdf,0.9975,0.15203211517165,0.1635128706693649,0.2206601234992939,Positive,,
AEGISLOG,Aegis Logistics Limited,General Updates,"Aegis Logistics Limited has informed the Exchange about ""Communication to Shareholders - Intimation on Tax Deduction on  Interim Dividend"".",20-Jun-2025 18:45:41,https://nsearchives.nseindia.com/corporate/AEGISCHEM_20062025184506_ALL_TDS_Communication_Interim_Dividend_S.pdf,0.9846,0.0498949579831932,0.1943764090538025,0.2047245780157442,Positive,,
SERVOTECH,Servotech Renewable Power System Limited,Press Release,"Servotech Renewable Power System Limited has informed the Exchange regarding a press release dated Jun 20, 2025, titled ""Servotech Renewable Power System Ltd. acquires 27% Stake in Rhine Solar Ltd., Bolstering Solar Manufacturing Capabilities"".",20-Jun-2025 17:18:17,https://nsearchives.nseindia.com/corporate/SERVOTECH_20062025171614_NSE.pdf,0.9976,0.1499998196248196,0.3928102552890777,0.5416529160834149,Positive,,
UTKARSHBNK,Utkarsh Small Finance Bank Limited,Credit Rating,Utkarsh Small Finance Bank Limited has informed the Exchange about Credit Rating,20-Jun-2025 16:40:22,https://nsearchives.nseindia.com/corporate/UTKARSHBANK_20062025163957_revised.pdf,0.9382,-0.0325396825396825,-0.1611671447753906,0.4291692946131267,Positive,,
ALMONDZ,Almondz Global Securities Limited,Disclosure under SEBI Takeover Regulations,"Innovative Money Matters Pvt. Ltd. has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",20-Jun-2025 15:32:14,https://nsearchives.nseindia.com/corporate/team_sandeshc_23042025132249_10.pdf,0.969,0.1393784786641929,0.1615868508815765,0.2105522346174783,Positive,"Resistance Breakout, Volume Spike",
RBA,Restaurant Brands Asia Limited,Updates,Restaurant Brands Asia Limited has informed the Exchange regarding 'Receipt of Awards at Burger King International Convention '.,20-Jun-2025 11:50:51,https://nsearchives.nseindia.com/corporate/RBA_20062025114953_FinalUpload.pdf,0.5423,0.057312925170068,0.7682539224624634,0.3389686808144691,Positive,,
SHALBY,Shalby Limited,General Updates,"Shalby Limited has informed the Exchange about General Updates - Krishna Shalby Hospital, Ghuma, Ahmedabad honored with AACI International Accreditation Standards for Healthcare Organizations V6.0",20-Jun-2025 11:01:49,https://nsearchives.nseindia.com/corporate/SHALBYLTD_20062025105824_17AACIAcreditationKirhnaShalby.pdf,0.9756,0.0698412698412698,0.917212724685669,0.4870666006336158,Positive,,
