Company,companyname,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment,Chart_Pattern,Fii_Dii_BUYING
BHARATFORG,Bharat Forge Limited,Press Release,"Bharat Forge Limited has informed the Exchange regarding a press release dated July 02, 2025, titled ""Bharat Forge successfully completes acquisition of AAM India Manufacturing Private Limited"".",02-Jul-2025 14:22:33,https://nsearchives.nseindia.com/corporate/ANILSHINDE_02072025142111_SEIntimationPressRelease.pdf,0.9766,0.1280455060812203,0.3458670079708099,0.2600929191154712,Positive,"Resistance Breakout, Volume Spike",Fill Dii buy >30cr
HCLTECH,HCL Technologies Limited,Updates,HCL Technologies Limited has informed the Exchange regarding 'Release -  HCLTech and Equinor expand digital collaboration '.,02-Jul-2025 13:37:44,https://nsearchives.nseindia.com/corporate/HCLTECH_02072025133730_Release2July2025-signed.pdf,0.992,0.038704481792717,0.4430866539478302,0.3624716337094245,Positive,,Fill Dii buy >30cr
RITCO,Ritco Logistics Limited,Monthly Business Updates,Ritco Logistics Limited has informed the Exchange regarding Monthly Business Updates for the month of June 2025,02-Jul-2025 11:46:11,https://nsearchives.nseindia.com/corporate/RITCO_02072025114535_Monthly_update_June_2025.pdf,0.9986,0.2043048424443773,0.8402196168899536,0.4185092788164054,Positive,,Fill Dii buy >30cr
SPANDANA,Spandana Sphoorty Financial Limited,Credit Rating,Spandana Sphoorty Financial Limited has informed the Exchange about Credit Rating,02-Jul-2025 11:46:29,https://nsearchives.nseindia.com/corporate/SPANDANA_02072025114030_SECR02072025.pdf,0.9891,0.0272574955908289,-0.3652845919132232,0.2117369586008356,Positive,,Fill Dii buy >30cr
TVSMOTOR,TVS Motor Company Limited,Press Release,"TVS Motor Company Limited has informed the Exchange regarding a press release dated July 02, 2025, titled ""TVS MOTOR COMPANY INTRODUCES NEW 3.1 kWh TVS IQUBE VARIANT WITH ENHANCED FEATURES AND 123 KM RANGE"".",02-Jul-2025 10:30:58,https://nsearchives.nseindia.com/corporate/TVSMOTOR_02072025103035_NSEBSEIntimation_sd.pdf,0.9976,0.2014231601731602,0.5313078761100769,0.2953343924001182,Positive,,Fill Dii buy >30cr
RAJRILTD,Raj Rayon Industries Limited,General Updates,Raj Rayon Industries Limited has informed the Exchange about General Updates Corporate Presentation   Quarter 4- F.Y.         2024-25 .,02-Jul-2025 10:16:20,https://nsearchives.nseindia.com/corporate/RAJRAYON1_02072025101608_PPTReg30dsc.pdf,0.9806,0.1068309141838553,0.225910946726799,0.2230076703100205,Positive,,Fill Dii buy >30cr
TCIEXP,TCI Express Limited,General Updates,TCI Express Limited has informed the Exchange about General Updates,02-Jul-2025 00:29:20,https://nsearchives.nseindia.com/corporate/TCIEXP_02072025002910_IntimationPhyLetters.pdf,0.9808,0.062253193960511,0.2577488422393799,0.222097058269565,Positive,,Fill Dii buy >30cr
CHEMBOND,Chembond Material Technologies Limited,Credit Rating- Revision,Chembond Material Technologies Limited has informed the Exchange about Credit Rating- Revision,02-Jul-2025 21:14:30,https://nsearchives.nseindia.com/corporate/CHEMBOND_02072025210051_RevisedCreditRatingIntimationSigned.pdf,0.5106,-0.0423809523809523,-0.2447834312915802,0.4577860366656667,Positive,,Fill Dii buy >30cr
WELCORP,Welspun Corp Limited,Credit Rating- Revision,Welspun Corp Limited has informed the Exchange about Credit Rating- Revision,02-Jul-2025 21:03:20,https://nsearchives.nseindia.com/corporate/WELCORP_02072025210304_SEcrisil.pdf,0.9972,0.1129345914502164,0.5440236926078796,0.6078925580534174,Positive,Resistance Breakout,Fill Dii buy >30cr
TINNARUBR,Tinna Rubber and Infrastructure Limited,Institutional Placement Programme,"Tinna Rubber and Infrastructure Limited has informed the Exchange about institutional Placement Programme, for Press Release on Successful Fund Raising of Rs. 78.70 Crores through Qualified Institutions Placement",02-Jul-2025 19:36:33,https://nsearchives.nseindia.com/corporate/TINNARUBBER_02072025193616_SEIntimation_TRIL_QIP_Press_Release_02Jul2025submission.pdf,0.9989,0.2093506493506493,0.3350476026535034,0.2795456575381291,Positive,,Fill Dii buy >30cr
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,General Updates,Deepak Fertilizers And Petrochemicals Corporation Limited has informed the Exchange about communication to Shareholders regarding Tax Deduction at Source (TDS) / withholding tax on Dividend.,02-Jul-2025 17:54:05,https://nsearchives.nseindia.com/corporate/DEEPAKFERT_02072025175349_Intimation.pdf,0.9916,0.0153467908902691,0.2068474143743515,0.2026844304224596,Positive,,Fill Dii buy >30cr
