Company,companyname,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment,Chart_Pattern,Fii_Dii_BUYING
IVP,IVP Limited,General Updates,IVP Limited has informed the Exchange about letters sent to Non-Email registered shareholders,07-Jul-2025 19:32:54,https://nsearchives.nseindia.com/corporate/IVP_07072025193235_Lettertononemailshareholder.pdf,0.9842,0.0756802721088435,0.1787400543689727,0.2058757708204847,Positive,,
ZYDUSWELL,Zydus Wellness Limited,Shareholders meeting,"Zydus Wellness Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 30, 2025",07-Jul-2025 19:20:42,https://nsearchives.nseindia.com/corporate/ZYDUSWELL_07072025192016_SEintimation31stAnnualReport.pdf,0.9988,0.1386018237082066,0.1377387344837188,0.2118600730341256,Positive,,
LODHA,Macrotech Developers Limited,Updates,Macrotech Developers Limited has informed the Exchange regarding 'Key Operational Updates for Q1FY26'.,07-Jul-2025 18:52:35,https://nsearchives.nseindia.com/corporate/LODHA_07072025185040_Lodha_Q1FY26_Operational_Updates_07072025.pdf,0.5719,0.0846926406926406,0.2769482135772705,0.2248189215415516,Positive,"Resistance Breakout, Volume Spike",Fill Dii buy >30cr
EUREKAFORB,Eureka Forbes Limited,Press Release (Revised),"Eureka Forbes Limited has informed the Exchange regarding a revised press release dated July 07, 2025, titled ""Revised Press Release"".",07-Jul-2025 18:36:59,https://nsearchives.nseindia.com/corporate/PRAGYAKAUL_07072025183649_BSE_Intimation_-_Eureka_Forbes_-_Revised_signed.pdf,0.9724,0.0453650793650793,0.6356797814369202,0.6084755957378755,Positive,Resistance Breakout,Fill Dii buy >30cr
ALEMBICLTD,Alembic Limited,General Updates,Alembic Limited has informed the Exchange about General Updates,07-Jul-2025 18:22:48,https://nsearchives.nseindia.com/corporate/ALEMBICLTD_07072025181449_SE_Intimation_letter_to_shareholders.pdf,0.9371,0.0396074646074646,0.2710172533988952,0.2099658266417001,Positive,,Fill Dii buy >30cr
TATAMOTORS,Tata Motors Limited,Press Release,"Tata Motors Limited has informed the Exchange regarding a press release dated July 07, 2025, titled ""Jaguar Land Rover Automotive plc ( JLR ) Reports its Wholesale and Retail Sales for Q1FY26"".",07-Jul-2025 18:08:25,https://nsearchives.nseindia.com/corporate/TATAMOTORSSJS_07072025180741_NSEBSEJLRSALES.pdf,0.9312,0.0692600609267276,-0.1937732845544815,0.4600460095863446,Positive,"Resistance Breakout, Volume Spike",Fill Dii buy >30cr
EMUDHRA,eMudhra Limited,Analysts/Institutional Investor Meet/Con. Call Updates,eMudhra Limited has informed the Exchange about Transcript,07-Jul-2025 16:48:40,https://nsearchives.nseindia.com/corporate/EMUDHRA2008_07072025164747_Transcript.pdf,0.9976,0.1214285714285714,0.7506468892097473,0.36138144699846,Positive,,Fill Dii buy >30cr
BANARBEADS,Banaras Beads Limited,Updates,Banaras Beads Limited has informed the Exchange regarding 'letter sent to Members providing web link of Annual Report 2024-25'.,07-Jul-2025 16:47:06,https://nsearchives.nseindia.com/corporate/BANARBEADS_07072025164651_shareholderletter.pdf,0.9821,0.1068877551020408,0.2238938808441162,0.2228791862380748,Positive,,Fill Dii buy >30cr
PNGJL,P N Gadgil Jewellers Limited,Updates,P N Gadgil Jewellers Limited has informed the Exchange regarding 'Quarterly Update - Q1 FY26'.,07-Jul-2025 16:09:00,https://nsearchives.nseindia.com/corporate/PNGJEWELLERS_07072025160842_IntimationforQ1FY26Signed.pdf,0.9953,0.0540153519320185,0.2380722463130951,0.3191455197292013,Positive,"Resistance Breakout, Volume Spike",Fill Dii buy >30cr
NIITLTD,NIIT Limited,Press Release,"NIIT Limited has informed the Exchange regarding a press release dated July 07, 2025, titled ""Press Release for  NIIT Ltd. strengthens leadership with appointment of Harsh Kundra as Head of Technology ."".",07-Jul-2025 15:40:12,https://nsearchives.nseindia.com/corporate/RARORA_07072025153902_PressRelease07072025.pdf,0.9829,0.0371506166789185,0.6326569318771362,0.3968780278093269,Positive,,Fill Dii buy >30cr
