Company,companyname,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment,Chart_Pattern,Fii_Dii_BUYING
VERANDA,Veranda Learning Solutions Limited,Press Release,"Veranda Learning Solutions Limited has informed the Exchange regarding a press release dated September 11, 2025.",11-Sep-2025 13:50:17,https://nsearchives.nseindia.com/corporate/Verandaipo_11092025134908_REG30PRESS11092025.pdf,0.9964,0.0775829725829725,0.2197980433702469,0.2195885465079142,Positive,,
INDOCO,Indoco Remedies Limited,Shareholders meeting,"Indoco Remedies Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 11, 2025",11-Sep-2025 13:02:52,https://nsearchives.nseindia.com/corporate/INDOCO_11092025130202_IntimationAGMProceedings110925.pdf,0.9201,0.025563909774436,0.380131334066391,0.230173798359516,Positive,,
APOLLO,Apollo Micro Systems Limited,Updates,Apollo Micro Systems Limited has informed the Exchange regarding 'Business Update'.,11-Sep-2025 11:57:15,https://nsearchives.nseindia.com/corporate/APOLLO_11092025115701_AMSBusinessUpdate11092025signed.pdf,0.9675,0.082418430335097,0.5505203008651733,0.3875105466915711,Positive,,
VERTOZ,Vertoz Limited,Press Release,"Vertoz Limited has informed the Exchange regarding a press release dated September 11, 2025, titled ""Vertoz wins communications mandate for XLRI Jamshedpur"".",11-Sep-2025 11:35:02,https://nsearchives.nseindia.com/corporate/VERTOZ_11092025113451_11092025_PR_Vertoz_XLRI_sd.pdf,0.9971,0.1763675718221172,0.6548073887825012,0.348553343890371,Positive,,
ADANIPORTS,Adani Ports and Special Economic Zone Limited,General Updates,Adani Ports and Special Economic Zone Limited has informed the Exchange about Acquisition,10-Sep-2025 21:16:23,https://nsearchives.nseindia.com/corporate/rkbhagia_10092025211543_Disclosure_Reg_30.pdf,0.2023,0.1339285714285714,0.0,0.2773607142857143,Positive,,
ESSARSHPNG,Essar Shipping Limited,General Updates,"Essar Shipping Limited has informed the Exchange clarification in response to the deficiency observed in the Financial Results, submitted as an Outcome of the Board Meeting dated August 13, 2025, We, Essar Shipping Limited (the Company), submit the following:The Un-Audited Consolidated and Standalone Financial Results for the Quarter Ended June 30, 2025, as approved by the Board of Director at their Meeting, were signed by Mr. Rajesh Desai, Executive Director of the Company, who is duly authorised by the Board of Directors, to do so. Please find enclosed the certified true extracts of the Resolutions passed by the Board of Directors, at their Meeting held on August 13, 2025, as Annexure to this clarification.We confirm that the signing of the aforementioned Financial Results were in due compliance with Regulation 33 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015.Request you to kindly take this response on your records and oblige.",10-Sep-2025 21:12:18,https://nsearchives.nseindia.com/corporate/ESSARSHPNG_10092025211206_ESL_NSE_Response_to_Query_100925.pdf,0.8804,0.0732142857142857,0.0,0.2347428571428571,Positive,,
WCIL,Western Carriers (India) Limited,Updates,"Western Carriers (India) Limited has informed the Exchange regarding 'Disclosure under Regulation 29 (2) of Securities and Exchange Board of India (Substantial acquisition of Shares and Takeovers) Regulations, 2011'.",10-Sep-2025 20:38:01,https://nsearchives.nseindia.com/corporate/WCIL_10092025203740_WCIL_INTIMATION_RS_SIGNED.pdf,0.3612,-0.0357142857142857,0.0,0.2831571428571429,Positive,,
CUPID,Cupid Limited,Updates,"Cupid Limited has informed the Exchange regarding 'Disclosure u/r 29(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011'.",10-Sep-2025 19:02:03,https://nsearchives.nseindia.com/corporate/CUPID_10092025190154_Disclosure_29_2__BSE_NSE.pdf,0.0772,-0.0714285714285714,0.0,0.2050142857142857,Positive,,
HSCL,Himadri Speciality Chemical Limited,Spurt in Volume,"Significant increase in volume has been observed in Himadri Speciality Chemical Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so that the interest of the investors is safeguarded, has written to the company. The response from the company is awaited.",10-Sep-2025 18:43:54,-,0.8578,0.3008928571428572,0.0,0.2746285714285714,Positive,,
ICIL,Indo Count Industries Limited,Spurt in Volume,"Significant increase in volume has been observed in Indo Count Industries Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so that the interest of the investors is safeguarded, has written to the company. The response from the company is awaited.",10-Sep-2025 18:43:46,-,0.8578,0.3008928571428572,0.0,0.2746285714285714,Positive,,
