Company,companyname,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment,Chart_Pattern,Fii_Dii_BUYING
JSWENERGY,JSW Energy Limited,Updates,JSW Energy Limited has informed the Exchange regarding 'JSW Energy maintains inclusion in FTSE Russell s FTSE4Good Index'.,09-Jul-2025 20:11:20,https://nsearchives.nseindia.com/corporate/RITESHJSWEL_09072025201112_LettertobsenseFTSE.pdf,0.9965,0.0945932539682539,0.2514273822307586,0.2338972211953193,Positive,,
NIITMTS,NIIT Learning Systems Limited,Press Release,"NIIT Learning Systems Limited has informed the Exchange regarding a press release dated July 09, 2025, titled ""NIIT Learning Systems Limited (NIIT MTS) acquires MST Group, Germany to expand Managed Learning Services Portfolio in Europe"".",09-Jul-2025 19:38:59,https://nsearchives.nseindia.com/corporate/NLSL_09072025193840_NLSLPressRelease09072025.pdf,0.9967,0.0797477324263038,0.1846627444028854,0.5004823004177368,Positive,,
SHAREINDIA,Share India Securities Limited,Press Release,"Share India Securities Limited has informed the Exchange regarding a press release dated July 09, 2025, titled ""Share India Further Invests in Metropolitan Stock Exchange to Drive Financial Innovation.""",09-Jul-2025 18:08:46,https://nsearchives.nseindia.com/corporate/SISL_09072025180759_PressReleaseMSE.pdf,0.9991,0.1077369756680101,0.5275510549545288,0.3775728660102957,Positive,,
ACC,ACC Limited,Commencement of commercial production/operations,ACC Limited has informed the Exchange about Commencement of commercial production/operations,09-Jul-2025 17:13:29,https://nsearchives.nseindia.com/corporate/ACC_1_09072025171302_ACC_Disclosure_Sindri.pdf,0.9413,0.1535714285714285,0.8614819049835205,0.4814022206854848,Positive,,
AMBUJACEM,Ambuja Cements Limited,Commencement of commercial production/operations,Ambuja Cements Limited has informed the Exchange about Commencement of commercial production/operations - Commissioning of Project,09-Jul-2025 17:11:26,https://nsearchives.nseindia.com/corporate/AMBUJACEM_09072025171117_ACL_SindriPlant.pdf,0.936,0.1178571428571428,0.8277789354324341,0.4645142815838072,Positive,,
PTL,PTL Enterprises Limited,General Updates,Letter to Shareholders of the Company,09-Jul-2025 16:32:34,https://nsearchives.nseindia.com/corporate/meenakshi_cs13_gmail_com_09072025163212_PTL_intimation_to_letter_to_shareholders.pdf,0.9883,0.0516461608566871,0.2190344333648681,0.2121712268860743,Positive,,
ZODIAC,Zodiac Energy Limited,General Updates,Zodiac Energy Limited has informed the Exchange about General Updates,09-Jul-2025 15:56:16,https://nsearchives.nseindia.com/corporate/ZODIAC_09072025155558_Reg_30_sdd.pdf,0.9042,0.1633928571428571,0.736357569694519,0.2960871385472161,Positive,,
GESHIP,The Great Eastern Shipping Company Limited,Copy of Newspaper Publication,The Great Eastern Shipping Company Limited has informed the Exchange about Copy of Newspaper Publication,09-Jul-2025 15:41:09,https://nsearchives.nseindia.com/corporate/GESHIP_09072025154043_postnewspaperad.pdf,0.9766,0.0695436507936508,0.2203129082918167,0.2131430905496317,Positive,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,Updates,Bombay Dyeing & Mfg Company Limited has informed the Exchange regarding 'Communication to Shareholders: Dividend for FY 2024-25   Intimation on Tax         Deduction at Source (TDS) / withholding tax on Dividend'.,09-Jul-2025 15:39:28,https://nsearchives.nseindia.com/corporate/Savita_09072025153917_Disclosure_signed.pdf,0.9878,-0.0058473389355742,0.2552476525306701,0.2095955030638296,Positive,,
BSL,BSL Limited,Updates,BSL Limited has informed the Exchange regarding 'E-Mail Communication To Shareholders In Respect Of Tax Deduction At Source (TDS) On Dividend For Financial Year 2024-25'.,09-Jul-2025 15:08:01,https://nsearchives.nseindia.com/corporate/BSL_09072025150753_BSLTDS.pdf,0.9926,0.0634920634920634,0.4144655764102936,0.264466952568198,Positive,,
