SYMBOL,,FinInstrmId,bse_code,nse_symbol,,
ACCELYA,"""ACCELYA.NS"",",500083,500096,DABUR.NS,,""""","
ACCURACY,"""ACCURACY.NS"",",500084,500097,DALMIASUG.NS,,""""","
ACE,"""ACE.NS"",",500085,500101,ARVIND.NS,,""""","
ACEINTEG,"""ACEINTEG.NS"",",500086,500103,BHEL.NS,,""""","
ACI,"""ACI.NS"",",500087,500104,HINDPETRO.NS,,""""","
ACL,"""ACL.NS"",",500089,500106,IFCI.NS,,""""","
ACLGATI,"""ACLGATI.NS"",",500092,500108,MTNL.NS,,""""","
ACMESOLAR,"""ACMESOLAR.NS"",",500093,500109,MRPL.NS,,""""","
ACUTAAS,"""ACUTAAS.NS"",",500096,500110,CHENNPETRO.NS,,""""","
ADANIENSOL,"""ADANIENSOL.NS"",",500097,500112,SBIN.NS,,""""","
ADANIENT,"""ADANIENT.NS"",",500101,500113,SAIL.NS,,""""","
ADANIGREEN,"""ADANIGREEN.NS"",",500103,500114,TITAN.NS,,""""","
ADANIPORTS,"""ADANIPORTS.NS"",",500104,500116,IDBI.NS,,""""","
ADANIPOWER,"""ADANIPOWER.NS"",",500106,500117,DCW.NS,,""""","
ADFFOODS,"""ADFFOODS.NS"",",500108,500119,DHAMPURSUG.NS,,""""","
ADL,"""ADL.NS"",",500109,500120,DIAMINESQ.NS,,""""","
ADOR,"""ADOR.NS"",",500110,500124,DRREDDY.NS,,""""","
ADROITINFO,"""ADROITINFO.NS"",",500112,500125,EIDPARRY.NS,,""""","
ADSL,"""ADSL.NS"",",500113,500126,PGHL.NS,,""""","
ADVANIHOTR,"""ADVANIHOTR.NS"",",500114,500128,ELECTCAST.NS,,""""","
ADVENZYMES,"""ADVENZYMES.NS"",",500116,500133,ESABINDIA.NS,,""""","
AEGISLOG,"""AEGISLOG.NS"",",500117,500135,EPL.NS,,""""","
AEGISVOPAK,"""AEGISVOPAK.NS"",",500119,500136,ESTER.NS,,""""","
AEROFLEX,"""AEROFLEX.NS"",",500120,500144,FINCABLES.NS,,""""","
AETHER,"""AETHER.NS"",",500123,500148,UFLEX.NS,500123,"""500123"","
AFCONS,"""AFCONS.NS"",",500124,500150,FOSECOIND.NS,,""""","
AFFLE,"""AFFLE.NS"",",500125,500151,GOLDENTOBC.NS,,""""","
AFFORDABLE,"""AFFORDABLE.NS"",",500126,500153,GANESHBE.NS,,""""","
AFIL,"""AFIL.NS"",",500128,500160,GTL.NS,,""""","
AFSL,"""AFSL.NS"",",500133,500163,GODFRYPHLP.NS,,""""","
AGARIND,"""AGARIND.NS"",",500135,500164,GODREJIND.NS,,""""","
AGARWALEYE,"""AGARWALEYE.NS"",",500136,500165,KANSAINER.NS,,""""","
AGI,"""AGI.NS"",",500142,500171,GHCL.NS,500142,"""500142"","
AGIIL,"""AGIIL.NS"",",500143,500173,GFLLIMITED.NS,500143,"""500143"","
AGRITECH,"""AGRITECH.NS"",",500144,500174,GLFL.NS,,""""","
AGROPHOS,"""AGROPHOS.NS"",",500147,500179,HCL-INSYS.NS,500147,"""500147"","
AGSTRA,"""AGSTRA.NS"",",500148,500180,HDFCBANK.NS,,""""","
AHLADA,"""AHLADA.NS"",",500150,500182,HEROMOTOCO.NS,,""""","
AHLEAST,"""AHLEAST.NS"",",500151,500183,HFCL.NS,,""""","
AHLUCONT,"""AHLUCONT.NS"",",500153,500184,HSCL.NS,,""""","
AIAENG,"""AIAENG.NS"",",500159,500185,HCC.NS,500159,"""500159"","
AIIL,"""AIIL.NS"",",500160,500186,HINDOILEXP.NS,,""""","
AIRAN,"""AIRAN.NS"",",500163,500187,AGI.NS,,""""","
AIROLAM,"""AIROLAM.NS"",",500164,500188,HINDZINC.NS,,""""","
AJANTPHARM,"""AJANTPHARM.NS"",",500165,500189,NDLVENTURE.NS,,""""","
AJAXENGG,"""AJAXENGG.NS"",",500166,500191,HMT.NS,500166,"""500166"","
AJMERA,"""AJMERA.NS"",",500168,500193,HLVLTD.NS,500168,"""500168"","
AJOONI,"""AJOONI.NS"",",500170,500199,IGPL.NS,500170,"""500170"","
AKASH,"""AKASH.NS"",",500171,500201,INDIAGLYCO.NS,,""""","
AKG,"""AKG.NS"",",500173,500207,INDORAMA.NS,,""""","
AKI,"""AKI.NS"",",500179,500209,INFY.NS,,""""","
AKSHAR,"""AKSHAR.NS"",",500180,500210,INGERRAND.NS,,""""","
AKSHARCHEM,"""AKSHARCHEM.NS"",",500182,500214,IONEXCHANG.NS,,""""","
AKSHOPTFBR,"""AKSHOPTFBR.NS"",",500183,500215,SUNDROP.NS,,""""","
AKUMS,"""AKUMS.NS"",",500184,500219,JISLJALEQS.NS,,""""","
AKZOINDIA,"""AKZOINDIA.NS"",",500185,500227,JINDALPOLY.NS,,""""","
ALANKIT,"""ALANKIT.NS"",",500186,500228,JSWSTEEL.NS,,""""","
ALBERTDAVD,"""ALBERTDAVD.NS"",",500187,500231,UMANGDAIRY.NS,,""""","
ALEMBICLTD,"""ALEMBICLTD.NS"",",500188,500233,KAJARIACER.NS,,""""","
ALICON,"""ALICON.NS"",",500189,500234,KAKATCEM.NS,,""""","
ALIVUS,"""ALIVUS.NS"",",500191,500235,KSL.NS,,""""","
ALKALI,"""ALKALI.NS"",",500192,500238,WHIRLPOOL.NS,500192,"""500192"","
ALKEM,"""ALKEM.NS"",",500193,500241,KIRLOSBROS.NS,,""""","
ALKYLAMINE,"""ALKYLAMINE.NS"",",500199,500243,KIRLOSIND.NS,,""""","
ALLCARGO,"""ALLCARGO.NS"",",500201,500247,KOTAKBANK.NS,,""""","
ALLDIGI,"""ALLDIGI.NS"",",500202,500249,KSB.NS,500202,"""500202"","
ALMONDZ,"""ALMONDZ.NS"",",500206,500250,LGBBROSLTD.NS,500206,"""500206"","
ALOKINDS,"""ALOKINDS.NS"",",500207,500251,TRENT.NS,,""""","
ALPA,"""ALPA.NS"",",500209,500252,LMW.NS,,""""","
ALPHAGEO,"""ALPHAGEO.NS"",",500210,500253,LICHSGFIN.NS,,""""","
AMBER,"""AMBER.NS"",",500213,500257,LUPIN.NS,500213,"""500213"","
AMBICAAGAR,"""AMBICAAGAR.NS"",",500214,500259,LYKALABS.NS,,""""","
AMBIKCO,"""AMBIKCO.NS"",",500215,500260,RAMCOCEM.NS,,""""","
AMBUJACEM,"""AMBUJACEM.NS"",",500219,500262,HYBRIDFIN.NS,,""""","
AMDIND,"""AMDIND.NS"",",500220,500265,MAHSEAMLES.NS,500220,"""500220"","
AMJLAND,"""AMJLAND.NS"",",500227,500266,MAHSCOOTER.NS,,""""","
AMNPLST,"""AMNPLST.NS"",",500228,500268,MANALIPETC.NS,,""""","
AMRUTANJAN,"""AMRUTANJAN.NS"",",500231,500271,MFSL.NS,,""""","
ANANDRATHI,"""ANANDRATHI.NS"",",500233,500279,MIRCELECTR.NS,,""""","
ANANTRAJ,"""ANANTRAJ.NS"",",500234,500280,CENTENKA.NS,,""""","
ANDHRAPAP,"""ANDHRAPAP.NS"",",500235,500282,MODTHREAD.NS,,""""","
ANDHRSUGAR,"""ANDHRSUGAR.NS"",",500238,500284,LORDSCHLO.NS,,""""","
ANGELONE,"""ANGELONE.NS"",",500239,500288,MOREPENLAB.NS,500239,"""500239"","
ANIKINDS,"""ANIKINDS.NS"",",500240,500290,MRF.NS,500240,"""500240"","
ANKITMETAL,"""ANKITMETAL.NS"",",500241,500292,HEIDELBERG.NS,,""""","
ANMOL,"""ANMOL.NS"",",500243,500294,NCC.NS,,""""","
ANSALAPI,"""ANSALAPI.NS"",",500245,500295,VEDL.NS,500245,"""500245"","
